"Four-Year Graduation Rates, 2011-12"
"All Districts, Gender"

"",,,,"Graduates",
"District","District Code","Gender","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Female",8,6,"*"
"Amistad Academy District","=""2790013""","Male",13,9,"*"
"Ansonia School District","=""0020011""","Female",99,82,82.8
"Ansonia School District","=""0020011""","Male",106,74,69.8
"Avon School District","=""0040011""","Female",141,138,97.9
"Avon School District","=""0040011""","Male",144,136,94.4
"Berlin School District","=""0070011""","Female",147,141,95.9
"Berlin School District","=""0070011""","Male",116,108,93.1
"Bethel School District","=""0090011""","Female",128,124,96.9
"Bethel School District","=""0090011""","Male",111,101,91.0
"Bloomfield School District","=""0110011""","Female",104,83,79.8
"Bloomfield School District","=""0110011""","Male",92,70,76.1
"Bolton School District","=""0120011""","Female",37,35,94.6
"Bolton School District","=""0120011""","Male",36,31,86.1
"Branford School District","=""0140011""","Female",129,123,95.3
"Branford School District","=""0140011""","Male",129,117,90.7
"Bridgeport School District","=""0150011""","Female",632,459,72.6
"Bridgeport School District","=""0150011""","Male",641,385,60.1
"Bristol School District","=""0170011""","Female",319,278,87.1
"Bristol School District","=""0170011""","Male",312,259,83.0
"Brookfield School District","=""0180011""","Female",141,"*","*"
"Brookfield School District","=""0180011""","Male",113,"*","*"
"Canton School District","=""0230011""","Female",61,61,100.0
"Canton School District","=""0230011""","Male",58,55,94.8
"Capitol Region Education Council","=""2410014""","Female",167,141,84.4
"Capitol Region Education Council","=""2410014""","Male",168,125,74.4
"Cheshire School District","=""0250011""","Female",199,191,96.0
"Cheshire School District","=""0250011""","Male",212,203,95.8
"Clinton School District","=""0270011""","Female",61,"*","*"
"Clinton School District","=""0270011""","Male",62,"*","*"
"Colchester School District","=""0280011""","Female",140,134,95.7
"Colchester School District","=""0280011""","Male",106,99,93.4
"Common Ground High School District","=""2680013""","Female",13,"*","*"
"Common Ground High School District","=""2680013""","Male",18,"*","*"
"Connecticut Technical High School System","=""9000016""","Female",948,906,95.6
"Connecticut Technical High School System","=""9000016""","Male",1583,1522,96.1
"Coventry School District","=""0320011""","Female",70,63,90.0
"Coventry School District","=""0320011""","Male",83,69,83.1
"Cromwell School District","=""0330011""","Female",74,71,95.9
"Cromwell School District","=""0330011""","Male",78,68,87.2
"Danbury School District","=""0340011""","Female",393,320,81.4
"Danbury School District","=""0340011""","Male",364,261,71.7
"Darien School District","=""0350011""","Female",162,"*","*"
"Darien School District","=""0350011""","Male",149,"*","*"
"Derby School District","=""0370011""","Female",49,39,79.6
"Derby School District","=""0370011""","Male",57,41,71.9
"East Granby School District","=""0400011""","Female",31,"*","*"
"East Granby School District","=""0400011""","Male",30,"*","*"
"East Haddam School District","=""0410011""","Female",58,"*","*"
"East Haddam School District","=""0410011""","Male",44,"*","*"
"East Hampton School District","=""0420011""","Female",77,75,97.4
"East Hampton School District","=""0420011""","Male",88,81,92.0
"East Hartford School District","=""0430011""","Female",292,242,82.9
"East Hartford School District","=""0430011""","Male",299,211,70.6
"East Haven School District","=""0440011""","Female",119,95,79.8
"East Haven School District","=""0440011""","Male",111,71,64.0
"East Lyme School District","=""0450011""","Female",159,153,96.2
"East Lyme School District","=""0450011""","Male",144,133,92.4
"East Windsor School District","=""0470011""","Female",45,40,88.9
"East Windsor School District","=""0470011""","Male",44,37,84.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",47,38,80.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",39,30,76.9
"Ellington School District","=""0480011""","Female",100,89,89.0
"Ellington School District","=""0480011""","Male",103,94,91.3
"Elm City College Preparatory School District","=""2890013""","Female",10,"*","*"
"Elm City College Preparatory School District","=""2890013""","Male",9,"*","*"
"Enfield School District","=""0490011""","Female",254,226,89.0
"Enfield School District","=""0490011""","Male",258,210,81.4
"Explorations District","=""2720013""","Female",18,"*","*"
"Explorations District","=""2720013""","Male",10,"*","*"
"Fairfield School District","=""0510011""","Female",383,363,94.8
"Fairfield School District","=""0510011""","Male",307,287,93.5
"Farmington School District","=""0520011""","Female",152,148,97.4
"Farmington School District","=""0520011""","Male",152,138,90.8
"Glastonbury School District","=""0540011""","Female",247,242,98.0
"Glastonbury School District","=""0540011""","Male",265,249,94.0
"Granby School District","=""0560011""","Female",98,"*","*"
"Granby School District","=""0560011""","Male",91,"*","*"
"Greenwich School District","=""0570011""","Female",315,299,94.9
"Greenwich School District","=""0570011""","Male",331,297,89.7
"Griswold School District","=""0580011""","Female",86,76,88.4
"Griswold School District","=""0580011""","Male",98,85,86.7
"Groton School District","=""0590011""","Female",167,132,79.0
"Groton School District","=""0590011""","Male",178,150,84.3
"Guilford School District","=""0600011""","Female",149,146,98.0
"Guilford School District","=""0600011""","Male",138,134,97.1
"Hamden School District","=""0620011""","Female",258,227,88.0
"Hamden School District","=""0620011""","Male",265,214,80.8
"Hartford School District","=""0640011""","Female",687,476,69.3
"Hartford School District","=""0640011""","Male",709,426,60.1
"Killingly School District","=""0690011""","Female",92,75,81.5
"Killingly School District","=""0690011""","Male",99,72,72.7
"Lebanon School District","=""0710011""","Female",70,62,88.6
"Lebanon School District","=""0710011""","Male",62,54,87.1
"Ledyard School District","=""0720011""","Female",114,107,93.9
"Ledyard School District","=""0720011""","Male",98,87,88.8
"Lisbon School District","=""0730011""","Female","*","*","*"
"Lisbon School District","=""0730011""","Male","*","*","*"
"Litchfield School District","=""0740011""","Female",51,"*","*"
"Litchfield School District","=""0740011""","Male",52,"*","*"
"Madison School District","=""0760011""","Female",174,171,98.3
"Madison School District","=""0760011""","Male",161,153,95.0
"Manchester School District","=""0770011""","Female",255,201,78.8
"Manchester School District","=""0770011""","Male",263,178,67.7
"Meriden School District","=""0800011""","Female",336,242,72.0
"Meriden School District","=""0800011""","Male",291,194,66.7
"Middletown School District","=""0830011""","Female",181,144,79.6
"Middletown School District","=""0830011""","Male",166,120,72.3
"Milford School District","=""0840011""","Female",252,226,89.7
"Milford School District","=""0840011""","Male",263,217,82.5
"Monroe School District","=""0850011""","Female",156,"*","*"
"Monroe School District","=""0850011""","Male",183,"*","*"
"Montville School District","=""0860011""","Female",108,95,88.0
"Montville School District","=""0860011""","Male",115,98,85.2
"Naugatuck School District","=""0880011""","Female",180,162,90.0
"Naugatuck School District","=""0880011""","Male",188,148,78.7
"New Britain School District","=""0890011""","Female",326,204,62.6
"New Britain School District","=""0890011""","Male",338,198,58.6
"New Canaan School District","=""0900011""","Female",175,"*","*"
"New Canaan School District","=""0900011""","Male",154,"*","*"
"New Fairfield School District","=""0910011""","Female",130,127,97.7
"New Fairfield School District","=""0910011""","Male",102,100,98.0
"New Haven School District","=""0930011""","Female",739,566,76.6
"New Haven School District","=""0930011""","Male",593,378,63.7
"New London School District","=""0950011""","Female",107,67,62.6
"New London School District","=""0950011""","Male",132,81,61.4
"New Milford School District","=""0960011""","Female",182,171,94.0
"New Milford School District","=""0960011""","Male",208,181,87.0
"Newington School District","=""0940011""","Female",156,149,95.5
"Newington School District","=""0940011""","Male",182,152,83.5
"Newtown School District","=""0970011""","Female",200,190,95.0
"Newtown School District","=""0970011""","Male",206,195,94.7
"North Branford School District","=""0990011""","Female",88,81,92.0
"North Branford School District","=""0990011""","Male",74,67,90.5
"North Haven School District","=""1010011""","Female",148,138,93.2
"North Haven School District","=""1010011""","Male",144,132,91.7
"North Stonington School District","=""1020011""","Female",19,19,"*"
"North Stonington School District","=""1020011""","Male",35,28,80.0
"Norwalk School District","=""1030011""","Female",449,400,89.1
"Norwalk School District","=""1030011""","Male",424,341,80.4
"Norwich Free Academy District","=""9010022""","Female",351,313,89.2
"Norwich Free Academy District","=""9010022""","Male",294,242,82.3
"Norwich School District","=""1040011""","Female",33,7,21.2
"Norwich School District","=""1040011""","Male",34,8,23.5
"Old Saybrook School District","=""1060011""","Female",78,"*","*"
"Old Saybrook School District","=""1060011""","Male",66,"*","*"
"Oxford School District","=""1080011""","Female",69,"*","*"
"Oxford School District","=""1080011""","Male",77,"*","*"
