"Four-Year Graduation Rates, 2011-12"
"All Districts, Special Education Status"

"",,,,"Non-Graduates",,,
"District","District Code","Special Education Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Non-Special Education",21,"*","*","*","*"
"Ansonia School District","=""0020011""","Non-Special Education",180,"*","*","*","*"
"Ansonia School District","=""0020011""","Special Education",25,"*","*","*","*"
"Avon School District","=""0040011""","Non-Special Education",248,"*","*","*","*"
"Avon School District","=""0040011""","Special Education",37,"*","*","*","*"
"Berlin School District","=""0070011""","Non-Special Education",223,"*","*","*","*"
"Berlin School District","=""0070011""","Special Education",40,"*","*","*","*"
"Bethel School District","=""0090011""","Non-Special Education",210,"*","*","*","*"
"Bethel School District","=""0090011""","Special Education",29,"*","*","*","*"
"Bloomfield School District","=""0110011""","Non-Special Education",168,"*","*","*","*"
"Bloomfield School District","=""0110011""","Special Education",28,"*","*","*","*"
"Bolton School District","=""0120011""","Non-Special Education",64,"*","*","*","*"
"Bolton School District","=""0120011""","Special Education",9,"*","*","*","*"
"Branford School District","=""0140011""","Non-Special Education",224,"*","*","*","*"
"Branford School District","=""0140011""","Special Education",34,"*","*","*","*"
"Bridgeport School District","=""0150011""","Non-Special Education",1089,74,6.8,258,23.7
"Bridgeport School District","=""0150011""","Special Education",184,44,23.9,52,28.3
"Bristol School District","=""0170011""","Non-Special Education",538,22,4.1,43,8.0
"Bristol School District","=""0170011""","Special Education",93,19,20.4,10,10.8
"Brookfield School District","=""0180011""","Non-Special Education",235,"*","*","*","*"
"Brookfield School District","=""0180011""","Special Education",19,"*","*",0,"*"
"Canton School District","=""0230011""","Non-Special Education",107,"*","*","*","*"
"Canton School District","=""0230011""","Special Education",12,"*","*",0,"*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",274,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Special Education",61,"*","*","*","*"
"Cheshire School District","=""0250011""","Non-Special Education",362,"*","*","*","*"
"Cheshire School District","=""0250011""","Special Education",49,"*","*","*","*"
"Clinton School District","=""0270011""","Non-Special Education",102,"*","*","*","*"
"Clinton School District","=""0270011""","Special Education",21,0,0.0,"*","*"
"Colchester School District","=""0280011""","Non-Special Education",218,"*","*","*","*"
"Colchester School District","=""0280011""","Special Education",28,"*","*","*","*"
"Common Ground High School District","=""2680013""","Non-Special Education","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Non-Special Education",2309,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Special Education",222,"*","*","*","*"
"Coventry School District","=""0320011""","Non-Special Education",128,"*","*","*","*"
"Coventry School District","=""0320011""","Special Education",25,"*","*","*","*"
"Cromwell School District","=""0330011""","Non-Special Education",130,"*","*","*","*"
"Cromwell School District","=""0330011""","Special Education",22,"*","*","*","*"
"Danbury School District","=""0340011""","Non-Special Education",676,63,9.3,74,10.9
"Danbury School District","=""0340011""","Special Education",81,29,35.8,10,12.3
"Darien School District","=""0350011""","Non-Special Education",268,"*","*","*","*"
"Darien School District","=""0350011""","Special Education",43,"*","*",0,0.0
"Derby School District","=""0370011""","Non-Special Education",95,"*","*","*","*"
"Derby School District","=""0370011""","Special Education",11,"*","*","*","*"
"East Granby School District","=""0400011""","Non-Special Education",52,0,0.0,"*","*"
"East Granby School District","=""0400011""","Special Education",9,"*","*",0,"*"
