"Four-Year Graduation Rates, 2010-11"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"District","District Code","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""",29,"*","*","*","*"
"Ansonia School District","=""0020011""",188,23,12.2,35,18.6
"Avon School District","=""0040011""",254,"*","*","*","*"
"Berlin School District","=""0070011""",261,"*","*","*","*"
"Bethel School District","=""0090011""",250,"*","*","*","*"
"Bloomfield School District","=""0110011""",187,27,14.4,21,11.2
"Bolton School District","=""0120011""",74,0,0.0,"*","*"
"Branford School District","=""0140011""",284,8,2.8,10,3.5
"Bridgeport School District","=""0150011""",1437,189,13.2,379,26.4
"Bristol School District","=""0170011""",709,68,9.6,97,13.7
"Brookfield School District","=""0180011""",265,6,2.3,8,3.0
"Canton School District","=""0230011""",120,"*","*","*","*"
"Capitol Region Education Council","=""2410014""",299,16,5.4,33,11.0
"Cheshire School District","=""0250011""",375,13,3.5,6,1.6
"Clinton School District","=""0270011""",145,"*","*","*","*"
"Colchester School District","=""0280011""",250,12,4.8,6,2.4
"Common Ground High School District","=""2680013""",38,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""",2343,12,0.5,142,6.1
"Coventry School District","=""0320011""",153,8,5.2,7,4.6
"Cromwell School District","=""0330011""",170,"*","*","*","*"
"Danbury School District","=""0340011""",758,75,9.9,98,12.9
"Darien School District","=""0350011""",327,7,2.1,7,2.1
"Derby School District","=""0370011""",125,16,12.8,20,16.0
"East Granby School District","=""0400011""",76,"*","*","*","*"
"East Haddam School District","=""0410011""",97,"*","*","*","*"
"East Hampton School District","=""0420011""",139,"*","*","*","*"
"East Hartford School District","=""0430011""",598,52,8.7,70,11.7
"East Haven School District","=""0440011""",300,16,5.3,29,9.7
"East Lyme School District","=""0450011""",325,"*","*","*","*"
"East Windsor School District","=""0470011""",93,8,8.6,9,9.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",59,"*","*","*","*"
"Ellington School District","=""0480011""",182,"*","*","*","*"
"Enfield School District","=""0490011""",525,46,8.8,52,9.9
"Explorations District","=""2720013""",34,8,23.5,8,23.5
"Fairfield School District","=""0510011""",656,26,4.0,18,2.7
"Farmington School District","=""0520011""",338,"*","*","*","*"
"Glastonbury School District","=""0540011""",551,11,2.0,8,1.5
"Granby School District","=""0560011""",194,"*","*","*","*"
"Greenwich School District","=""0570011""",632,26,4.1,9,1.4
"Griswold School District","=""0580011""",200,14,7.0,24,12.0
"Groton School District","=""0590011""",336,11,3.3,54,16.1
"Guilford School District","=""0600011""",271,"*","*","*","*"
"Hamden School District","=""0620011""",586,43,7.3,55,9.4
"Hartford School District","=""0640011""",1603,183,11.4,406,25.3
"Killingly School District","=""0690011""",198,13,6.6,45,22.7
"Lebanon School District","=""0710011""",160,"*","*","*","*"
"Ledyard School District","=""0720011""",235,10,4.3,14,6.0
