"Four-Year Graduation Rates, 2010-11"
"All Districts, High Needs Status"

"",,,,"Graduates",
"District","District Code","High Needs Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","High Needs",16,"*","*"
"Amistad Academy District","=""2790013""","Non-High Needs",13,"*","*"
"Ansonia School District","=""0020011""","High Needs",104,58,55.8
"Ansonia School District","=""0020011""","Non-High Needs",84,72,85.7
"Avon School District","=""0040011""","High Needs",32,27,84.4
"Avon School District","=""0040011""","Non-High Needs",222,216,97.3
"Berlin School District","=""0070011""","High Needs",44,38,86.4
"Berlin School District","=""0070011""","Non-High Needs",217,207,95.4
"Bethel School District","=""0090011""","High Needs",46,34,73.9
"Bethel School District","=""0090011""","Non-High Needs",204,198,97.1
"Bloomfield School District","=""0110011""","High Needs",84,56,66.7
"Bloomfield School District","=""0110011""","Non-High Needs",103,83,80.6
"Bolton School District","=""0120011""","High Needs",10,"*","*"
"Bolton School District","=""0120011""","Non-High Needs",64,"*","*"
"Branford School District","=""0140011""","High Needs",70,56,80.0
"Branford School District","=""0140011""","Non-High Needs",214,210,98.1
"Bridgeport School District","=""0150011""","High Needs",1357,822,60.6
"Bridgeport School District","=""0150011""","Non-High Needs",80,47,58.8
"Bristol School District","=""0170011""","High Needs",243,149,61.3
"Bristol School District","=""0170011""","Non-High Needs",466,395,84.8
"Brookfield School District","=""0180011""","High Needs",20,16,80.0
"Brookfield School District","=""0180011""","Non-High Needs",245,235,95.9
"Canton School District","=""0230011""","High Needs",19,"*","*"
"Canton School District","=""0230011""","Non-High Needs",101,"*","*"
"Capitol Region Education Council","=""2410014""","High Needs",126,98,77.8
"Capitol Region Education Council","=""2410014""","Non-High Needs",173,152,87.9
"Cheshire School District","=""0250011""","High Needs",55,42,76.4
"Cheshire School District","=""0250011""","Non-High Needs",320,314,98.1
"Clinton School District","=""0270011""","High Needs",35,31,88.6
"Clinton School District","=""0270011""","Non-High Needs",110,103,93.6
"Colchester School District","=""0280011""","High Needs",42,36,85.7
"Colchester School District","=""0280011""","Non-High Needs",208,196,94.2
"Common Ground High School District","=""2680013""","High Needs",27,22,81.5
"Common Ground High School District","=""2680013""","Non-High Needs",11,11,"*"
"Connecticut Technical High School System","=""9000016""","High Needs",486,433,89.1
"Connecticut Technical High School System","=""9000016""","Non-High Needs",1857,1756,94.6
"Coventry School District","=""0320011""","High Needs",28,20,71.4
"Coventry School District","=""0320011""","Non-High Needs",125,118,94.4
"Cromwell School District","=""0330011""","High Needs",35,"*","*"
"Cromwell School District","=""0330011""","Non-High Needs",135,"*","*"
"Danbury School District","=""0340011""","High Needs",325,205,63.1
"Danbury School District","=""0340011""","Non-High Needs",433,380,87.8
"Darien School District","=""0350011""","High Needs",41,36,87.8
"Darien School District","=""0350011""","Non-High Needs",286,277,96.9
"Derby School District","=""0370011""","High Needs",56,34,60.7
"Derby School District","=""0370011""","Non-High Needs",69,55,79.7
"East Granby School District","=""0400011""","High Needs",7,"*","*"
"East Granby School District","=""0400011""","Non-High Needs",69,"*","*"
"East Haddam School District","=""0410011""","High Needs",12,10,"*"
"East Haddam School District","=""0410011""","Non-High Needs",85,79,92.9
"East Hampton School District","=""0420011""","High Needs",20,15,75.0
"East Hampton School District","=""0420011""","Non-High Needs",119,112,94.1
"East Hartford School District","=""0430011""","High Needs",356,267,75.0
"East Hartford School District","=""0430011""","Non-High Needs",242,209,86.4
"East Haven School District","=""0440011""","High Needs",97,68,70.1
"East Haven School District","=""0440011""","Non-High Needs",203,187,92.1
"East Lyme School District","=""0450011""","High Needs",45,"*","*"
"East Lyme School District","=""0450011""","Non-High Needs",280,"*","*"
"East Windsor School District","=""0470011""","High Needs",37,27,73.0
"East Windsor School District","=""0470011""","Non-High Needs",56,49,87.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","High Needs",19,13,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-High Needs",40,31,77.5
"Ellington School District","=""0480011""","High Needs",26,23,88.5
"Ellington School District","=""0480011""","Non-High Needs",156,149,95.5
"Enfield School District","=""0490011""","High Needs",131,80,61.1
"Enfield School District","=""0490011""","Non-High Needs",394,347,88.1
"Explorations District","=""2720013""","High Needs",18,8,"*"
"Explorations District","=""2720013""","Non-High Needs",16,10,"*"
"Fairfield School District","=""0510011""","High Needs",102,74,72.5
"Fairfield School District","=""0510011""","Non-High Needs",554,538,97.1
"Farmington School District","=""0520011""","High Needs",52,42,80.8
"Farmington School District","=""0520011""","Non-High Needs",286,278,97.2
"Glastonbury School District","=""0540011""","High Needs",92,76,82.6
"Glastonbury School District","=""0540011""","Non-High Needs",459,455,99.1
"Granby School District","=""0560011""","High Needs",19,17,"*"
"Granby School District","=""0560011""","Non-High Needs",175,171,97.7
"Greenwich School District","=""0570011""","High Needs",136,113,83.1
"Greenwich School District","=""0570011""","Non-High Needs",496,484,97.6
"Griswold School District","=""0580011""","High Needs",50,27,54.0
"Griswold School District","=""0580011""","Non-High Needs",150,135,90.0
"Groton School District","=""0590011""","High Needs",122,77,63.1
"Groton School District","=""0590011""","Non-High Needs",214,194,90.7
"Guilford School District","=""0600011""","High Needs",39,33,84.6
"Guilford School District","=""0600011""","Non-High Needs",232,223,96.1
"Hamden School District","=""0620011""","High Needs",197,135,68.5
"Hamden School District","=""0620011""","Non-High Needs",389,353,90.7
"Hartford School District","=""0640011""","High Needs",1456,887,60.9
"Hartford School District","=""0640011""","Non-High Needs",147,126,85.7
"Killingly School District","=""0690011""","High Needs",72,38,52.8
"Killingly School District","=""0690011""","Non-High Needs",126,102,81.0
"Lebanon School District","=""0710011""","High Needs",32,25,78.1
"Lebanon School District","=""0710011""","Non-High Needs",128,123,96.1
"Ledyard School District","=""0720011""","High Needs",57,45,78.9
"Ledyard School District","=""0720011""","Non-High Needs",178,166,93.3
"Lisbon School District","=""0730011""","High Needs","*","*","*"
