"Four-Year Graduation Rates, 2013-14"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"District","District Code","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""",23,"*","*","*","*"
"Ansonia School District","=""0020011""",157,10,6.4,27,17.2
"Avon School District","=""0040011""",272,"*","*","*","*"
"Berlin School District","=""0070011""",235,"*","*","*","*"
"Bethel School District","=""0090011""",244,12,4.9,6,2.5
"Bloomfield School District","=""0110011""",169,14,8.3,7,4.1
"Bolton School District","=""0120011""",103,"*","*","*","*"
"Branford School District","=""0140011""",299,10,3.3,17,5.7
"Bridgeport School District","=""0150011""",1247,117,9.4,238,19.1
"Bristol School District","=""0170011""",699,63,9.0,64,9.2
"Brookfield School District","=""0180011""",232,"*","*","*","*"
"Canton School District","=""0230011""",136,"*","*","*","*"
"Capitol Region Education Council","=""2410014""",317,7,2.2,29,9.1
"Cheshire School District","=""0250011""",389,12,3.1,6,1.5
"Clinton School District","=""0270011""",133,"*","*","*","*"
"Colchester School District","=""0280011""",248,"*","*","*","*"
"Common Ground High School District","=""2680013""",29,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""",2423,25,1.0,69,2.8
"Coventry School District","=""0320011""",133,"*","*","*","*"
"Cromwell School District","=""0330011""",134,"*","*","*","*"
"Danbury School District","=""0340011""",761,83,10.9,84,11.0
"Darien School District","=""0350011""",336,"*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*","*","*"
"Derby School District","=""0370011""",102,10,9.8,9,8.8
"East Granby School District","=""0400011""",66,"*","*","*","*"
"East Haddam School District","=""0410011""",105,"*","*","*","*"
"East Hampton School District","=""0420011""",121,"*","*","*","*"
"East Hartford School District","=""0430011""",507,59,11.6,51,10.1
"East Haven School District","=""0440011""",260,11,4.2,39,15.0
"East Lyme School District","=""0450011""",274,"*","*","*","*"
"East Windsor School District","=""0470011""",109,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",66,7,10.6,10,15.2
"Ellington School District","=""0480011""",194,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""",24,"*","*","*","*"
"Enfield School District","=""0490011""",424,21,5.0,37,8.7
"Explorations District","=""2720013""",27,"*","*","*","*"
"Fairfield School District","=""0510011""",728,27,3.7,18,2.5
"Farmington School District","=""0520011""",344,"*","*","*","*"
"Glastonbury School District","=""0540011""",585,17,2.9,6,1.0
"Granby School District","=""0560011""",205,"*","*","*","*"
"Greenwich School District","=""0570011""",670,25,3.7,8,1.2
"Griswold School District","=""0580011""",170,10,5.9,16,9.4
"Groton School District","=""0590011""",317,11,3.5,37,11.7
"Guilford School District","=""0600011""",286,12,4.2,9,3.1
"Hamden School District","=""0620011""",458,34,7.4,16,3.5
"Hartford School District","=""0640011""",1370,174,12.7,216,15.8
"Killingly School District","=""0690011""",218,19,8.7,23,10.6
"Learn","=""2450014""",153,"*","*","*","*"
"Lebanon School District","=""0710011""",105,"*","*","*","*"
"Ledyard School District","=""0720011""",247,14,5.7,9,3.6
"Lisbon School District","=""0730011""","*","*","*","*","*"
"Litchfield School District","=""0740011""",69,"*","*","*","*"
"Madison School District","=""0760011""",320,"*","*","*","*"
"Manchester School District","=""0770011""",454,38,8.4,43,9.5
"Meriden School District","=""0800011""",615,50,8.1,97,15.8
"Middletown School District","=""0830011""",334,36,10.8,22,6.6
"Milford School District","=""0840011""",508,25,4.9,15,3.0
"Monroe School District","=""0850011""",300,"*","*","*","*"
"Montville School District","=""0860011""",193,7,3.6,15,7.8
"Naugatuck School District","=""0880011""",333,23,6.9,37,11.1
"New Britain School District","=""0890011""",656,117,17.8,122,18.6
"New Canaan School District","=""0900011""",312,"*","*",0,0.0
"New Fairfield School District","=""0910011""",239,"*","*","*","*"
"New Haven School District","=""0930011""",1309,104,7.9,217,16.6
"New London School District","=""0950011""",228,23,10.1,43,18.9
"New Milford School District","=""0960011""",383,14,3.7,25,6.5
"Newington School District","=""0940011""",364,18,4.9,8,2.2
"Newtown School District","=""0970011""",423,"*","*","*","*"
"North Branford School District","=""0990011""",150,"*","*","*","*"
"North Haven School District","=""1010011""",320,17,5.3,20,6.3
"North Stonington School District","=""1020011""",56,0,0.0,"*","*"
"Norwalk School District","=""1030011""",822,82,10.0,51,6.2
"Norwich Free Academy District","=""9010022""",613,17,2.8,63,10.3
"Old Saybrook School District","=""1060011""",137,"*","*","*","*"
"Oxford School District","=""1080011""",174,"*","*","*","*"
"Plainfield School District","=""1090011""",174,11,6.3,17,9.8
"Plainville School District","=""1100011""",176,10,5.7,10,5.7
"Plymouth School District","=""1110011""",139,11,7.9,7,5.0
"Portland School District","=""1130011""",112,"*","*","*","*"
"Putnam School District","=""1160011""",66,"*","*","*","*"
"Regional School District 01","=""2010012""",121,6,5.0,7,5.8
"Regional School District 04","=""2040012""",136,"*","*","*","*"
"Regional School District 05","=""2050012""",420,"*","*","*","*"
"Regional School District 06","=""2060012""",93,"*","*","*","*"
"Regional School District 07","=""2070012""",211,"*","*","*","*"
"Regional School District 08","=""2080012""",297,"*","*","*","*"
"Regional School District 09","=""2090012""",252,"*","*","*","*"
"Regional School District 10","=""2100012""",218,6,2.8,6,2.8
"Regional School District 11","=""2110012""",40,"*","*","*","*"
"Regional School District 12","=""2120012""",81,"*","*","*","*"
"Regional School District 13","=""2130012""",134,"*","*","*","*"
"Regional School District 14","=""2140012""",211,"*","*","*","*"
"Regional School District 15","=""2150012""",329,"*","*","*","*"
"Regional School District 16","=""2160012""",181,"*","*","*","*"
"Regional School District 17","=""2170012""",153,"*","*",0,0.0
"Regional School District 18","=""2180012""",108,"*","*","*","*"
"Regional School District 19","=""2190012""",293,14,4.8,6,2.0
"Ridgefield School District","=""1180011""",459,"*","*","*","*"
"Rocky Hill School District","=""1190011""",183,"*","*","*","*"
"Seymour School District","=""1240011""",138,8,5.8,10,7.2
"Shelton School District","=""1260011""",369,17,4.6,15,4.1
"Simsbury School District","=""1280011""",400,13,3.3,9,2.3
"Somers School District","=""1290011""",131,0,0.0,"*","*"
"South Windsor School District","=""1320011""",348,16,4.6,6,1.7
"Southington School District","=""1310011""",512,25,4.9,9,1.8
"Stafford School District","=""1340011""",142,"*","*","*","*"
"Stamford Academy District","=""2820013""",57,32,56.1,11,19.3
"Stamford School District","=""1350011""",1200,73,6.1,60,5.0
"Stonington School District","=""1370011""",177,"*","*","*","*"
"Stratford School District","=""1380011""",646,31,4.8,21,3.3
"Suffield School District","=""1390011""",214,"*","*","*","*"
"The Bridge Academy District","=""2690013""",34,"*","*","*","*"
