"Four-Year Graduation Rates, 2012-13"
"All Districts, Gender"

"",,,,"Graduates",
"District","District Code","Gender","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Female",12,9,"*"
"Amistad Academy District","=""2790013""","Male",11,7,"*"
"Ansonia School District","=""0020011""","Female",105,94,89.5
"Ansonia School District","=""0020011""","Male",107,66,61.7
"Avon School District","=""0040011""","Female",122,116,95.1
"Avon School District","=""0040011""","Male",141,136,96.5
"Berlin School District","=""0070011""","Female",139,"*","*"
"Berlin School District","=""0070011""","Male",123,"*","*"
"Bethel School District","=""0090011""","Female",118,108,91.5
"Bethel School District","=""0090011""","Male",116,109,94.0
"Bloomfield School District","=""0110011""","Female",82,75,91.5
"Bloomfield School District","=""0110011""","Male",83,71,85.5
"Bolton School District","=""0120011""","Female",45,"*","*"
"Bolton School District","=""0120011""","Male",36,"*","*"
"Branford School District","=""0140011""","Female",153,143,93.5
"Branford School District","=""0140011""","Male",118,107,90.7
"Bridgeport School District","=""0150011""","Female",617,448,72.6
"Bridgeport School District","=""0150011""","Male",612,379,61.9
"Bristol School District","=""0170011""","Female",297,245,82.5
"Bristol School District","=""0170011""","Male",338,262,77.5
"Brookfield School District","=""0180011""","Female",124,120,96.8
"Brookfield School District","=""0180011""","Male",118,112,94.9
"Canton School District","=""0230011""","Female",63,"*","*"
"Canton School District","=""0230011""","Male",61,"*","*"
"Capitol Region Education Council","=""2410014""","Female",138,117,84.8
"Capitol Region Education Council","=""2410014""","Male",108,92,85.2
"Cheshire School District","=""0250011""","Female",189,182,96.3
"Cheshire School District","=""0250011""","Male",195,180,92.3
"Clinton School District","=""0270011""","Female",70,64,91.4
"Clinton School District","=""0270011""","Male",75,64,85.3
"Colchester School District","=""0280011""","Female",128,123,96.1
"Colchester School District","=""0280011""","Male",125,113,90.4
"Common Ground High School District","=""2680013""","Female",16,"*","*"
"Common Ground High School District","=""2680013""","Male",22,"*","*"
"Connecticut Technical High School System","=""9000016""","Female",896,856,95.5
"Connecticut Technical High School System","=""9000016""","Male",1587,1536,96.8
"Coventry School District","=""0320011""","Female",72,66,91.7
"Coventry School District","=""0320011""","Male",66,59,89.4
"Cromwell School District","=""0330011""","Female",78,71,91.0
"Cromwell School District","=""0330011""","Male",67,62,92.5
"Danbury School District","=""0340011""","Female",387,309,79.8
"Danbury School District","=""0340011""","Male",392,279,71.2
"Darien School District","=""0350011""","Female",159,155,97.5
"Darien School District","=""0350011""","Male",157,152,96.8
"Department of Mental Health and Addiction Services","=""3370015""","Female","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Male","*","*","*"
"Derby School District","=""0370011""","Female",44,26,59.1
"Derby School District","=""0370011""","Male",47,33,70.2
"East Granby School District","=""0400011""","Female",32,"*","*"
"East Granby School District","=""0400011""","Male",39,"*","*"
"East Haddam School District","=""0410011""","Female",51,"*","*"
"East Haddam School District","=""0410011""","Male",49,"*","*"
"East Hampton School District","=""0420011""","Female",67,"*","*"
"East Hampton School District","=""0420011""","Male",65,"*","*"
"East Hartford School District","=""0430011""","Female",259,216,83.4
"East Hartford School District","=""0430011""","Male",297,216,72.7
"East Haven School District","=""0440011""","Female",113,94,83.2
"East Haven School District","=""0440011""","Male",133,88,66.2
"East Lyme School District","=""0450011""","Female",160,153,95.6
"East Lyme School District","=""0450011""","Male",151,140,92.7
"East Windsor School District","=""0470011""","Female",50,42,84.0
"East Windsor School District","=""0470011""","Male",46,37,80.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",39,33,84.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",30,21,70.0
"Ellington School District","=""0480011""","Female",106,98,92.5
"Ellington School District","=""0480011""","Male",92,84,91.3
"Elm City College Preparatory School District","=""2890013""","Female",7,"*","*"
"Elm City College Preparatory School District","=""2890013""","Male",6,"*","*"
"Enfield School District","=""0490011""","Female",220,197,89.5
"Enfield School District","=""0490011""","Male",225,192,85.3
"Explorations District","=""2720013""","Female",17,10,"*"
"Explorations District","=""2720013""","Male",15,11,"*"
"Fairfield School District","=""0510011""","Female",344,323,93.9
"Fairfield School District","=""0510011""","Male",364,333,91.5
"Farmington School District","=""0520011""","Female",163,159,97.5
"Farmington School District","=""0520011""","Male",163,151,92.6
"Glastonbury School District","=""0540011""","Female",276,268,97.1
"Glastonbury School District","=""0540011""","Male",276,268,97.1
"Granby School District","=""0560011""","Female",99,"*","*"
"Granby School District","=""0560011""","Male",98,"*","*"
"Greenwich School District","=""0570011""","Female",326,311,95.4
"Greenwich School District","=""0570011""","Male",365,344,94.2
"Griswold School District","=""0580011""","Female",93,83,89.2
"Griswold School District","=""0580011""","Male",77,65,84.4
"Groton School District","=""0590011""","Female",168,144,85.7
"Groton School District","=""0590011""","Male",159,125,78.6
"Guilford School District","=""0600011""","Female",139,"*","*"
"Guilford School District","=""0600011""","Male",142,"*","*"
"Hamden School District","=""0620011""","Female",232,207,89.2
"Hamden School District","=""0620011""","Male",223,181,81.2
"Hartford School District","=""0640011""","Female",731,552,75.5
"Hartford School District","=""0640011""","Male",687,457,66.5
"Killingly School District","=""0690011""","Female",110,92,83.6
"Killingly School District","=""0690011""","Male",113,75,66.4
"Learn","=""2450014""","Female",23,20,87.0
"Learn","=""2450014""","Male",20,15,75.0
"Lebanon School District","=""0710011""","Female",72,"*","*"
"Lebanon School District","=""0710011""","Male",46,"*","*"
"Ledyard School District","=""0720011""","Female",115,106,92.2
"Ledyard School District","=""0720011""","Male",117,102,87.2
"Lisbon School District","=""0730011""","Female","*","*","*"
"Lisbon School District","=""0730011""","Male","*","*","*"
"Litchfield School District","=""0740011""","Female",46,"*","*"
"Litchfield School District","=""0740011""","Male",42,"*","*"
"Madison School District","=""0760011""","Female",159,"*","*"
"Madison School District","=""0760011""","Male",158,"*","*"
"Manchester School District","=""0770011""","Female",221,174,78.7
"Manchester School District","=""0770011""","Male",258,184,71.3
"Meriden School District","=""0800011""","Female",325,245,75.4
"Meriden School District","=""0800011""","Male",314,203,64.6
"Middletown School District","=""0830011""","Female",169,143,84.6
"Middletown School District","=""0830011""","Male",210,164,78.1
"Milford School District","=""0840011""","Female",261,233,89.3
"Milford School District","=""0840011""","Male",264,213,80.7
"Monroe School District","=""0850011""","Female",162,160,98.8
"Monroe School District","=""0850011""","Male",147,140,95.2
"Montville School District","=""0860011""","Female",79,73,92.4
"Montville School District","=""0860011""","Male",109,88,80.7
"Naugatuck School District","=""0880011""","Female",160,133,83.1
"Naugatuck School District","=""0880011""","Male",175,128,73.1
"New Britain School District","=""0890011""","Female",320,213,66.6
"New Britain School District","=""0890011""","Male",334,185,55.4
"New Canaan School District","=""0900011""","Female",177,173,97.7
"New Canaan School District","=""0900011""","Male",162,158,97.5
"New Fairfield School District","=""0910011""","Female",133,131,98.5
"New Fairfield School District","=""0910011""","Male",125,116,92.8
"New Haven School District","=""0930011""","Female",711,550,77.4
"New Haven School District","=""0930011""","Male",604,389,64.4
"New London School District","=""0950011""","Female",122,83,68.0
"New London School District","=""0950011""","Male",135,82,60.7
"New Milford School District","=""0960011""","Female",196,175,89.3
"New Milford School District","=""0960011""","Male",196,165,84.2
"Newington School District","=""0940011""","Female",190,177,93.2
"Newington School District","=""0940011""","Male",186,162,87.1
"Newtown School District","=""0970011""","Female",228,215,94.3
"Newtown School District","=""0970011""","Male",243,228,93.8
"North Branford School District","=""0990011""","Female",92,88,95.7
"North Branford School District","=""0990011""","Male",78,75,96.2
"North Haven School District","=""1010011""","Female",151,142,94.0
"North Haven School District","=""1010011""","Male",163,133,81.6
"North Stonington School District","=""1020011""","Female",30,"*","*"
"North Stonington School District","=""1020011""","Male",18,"*","*"
"Norwalk School District","=""1030011""","Female",402,351,87.3
"Norwalk School District","=""1030011""","Male",378,310,82.0
"Norwich Free Academy District","=""9010022""","Female",326,279,85.6
