"Four-Year Graduation Rates, 2010-11"
"All Districts, Special Education Status"

"",,,,"Graduates",
"District","District Code","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Non-Special Education",29,17,58.6
"Ansonia School District","=""0020011""","Non-Special Education",166,121,72.9
"Ansonia School District","=""0020011""","Special Education",22,9,40.9
"Avon School District","=""0040011""","Non-Special Education",229,"*","*"
"Avon School District","=""0040011""","Special Education",25,"*","*"
"Berlin School District","=""0070011""","Non-Special Education",232,"*","*"
"Berlin School District","=""0070011""","Special Education",29,"*","*"
"Bethel School District","=""0090011""","Non-Special Education",222,215,96.8
"Bethel School District","=""0090011""","Special Education",28,17,60.7
"Bloomfield School District","=""0110011""","Non-Special Education",159,126,79.2
"Bloomfield School District","=""0110011""","Special Education",28,13,46.4
"Bolton School District","=""0120011""","Non-Special Education","*","*","*"
"Bolton School District","=""0120011""","Special Education","*","*","*"
"Branford School District","=""0140011""","Non-Special Education",248,238,96.0
"Branford School District","=""0140011""","Special Education",36,28,77.8
"Bridgeport School District","=""0150011""","Non-Special Education",1253,802,64.0
"Bridgeport School District","=""0150011""","Special Education",184,67,36.4
"Bristol School District","=""0170011""","Non-Special Education",631,497,78.8
"Bristol School District","=""0170011""","Special Education",78,47,60.3
"Brookfield School District","=""0180011""","Non-Special Education",253,"*","*"
"Brookfield School District","=""0180011""","Special Education",12,"*","*"
"Canton School District","=""0230011""","Non-Special Education",103,"*","*"
"Canton School District","=""0230011""","Special Education",17,"*","*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",277,236,85.2
"Capitol Region Education Council","=""2410014""","Special Education",22,14,63.6
"Cheshire School District","=""0250011""","Non-Special Education",334,327,97.9
"Cheshire School District","=""0250011""","Special Education",41,29,70.7
"Clinton School District","=""0270011""","Non-Special Education",126,"*","*"
"Clinton School District","=""0270011""","Special Education",19,"*","*"
"Colchester School District","=""0280011""","Non-Special Education",224,210,93.8
"Colchester School District","=""0280011""","Special Education",26,22,84.6
"Common Ground High School District","=""2680013""","Non-Special Education",30,"*","*"
"Common Ground High School District","=""2680013""","Special Education",8,"*","*"
"Connecticut Technical High School System","=""9000016""","Non-Special Education",2159,2015,93.3
"Connecticut Technical High School System","=""9000016""","Special Education",184,174,94.6
"Coventry School District","=""0320011""","Non-Special Education",133,125,94.0
"Coventry School District","=""0320011""","Special Education",20,13,65.0
"Cromwell School District","=""0330011""","Non-Special Education",147,"*","*"
"Cromwell School District","=""0330011""","Special Education",23,"*","*"
"Danbury School District","=""0340011""","Non-Special Education",682,541,79.3
"Danbury School District","=""0340011""","Special Education",76,44,57.9
"Darien School District","=""0350011""","Non-Special Education",291,"*","*"
"Darien School District","=""0350011""","Special Education",36,"*","*"
"Derby School District","=""0370011""","Non-Special Education",116,83,71.6
"Derby School District","=""0370011""","Special Education",9,6,"*"
"East Granby School District","=""0400011""","Non-Special Education",69,"*","*"
"East Granby School District","=""0400011""","Special Education",7,"*","*"
"East Haddam School District","=""0410011""","Non-Special Education","*","*","*"
"East Haddam School District","=""0410011""","Special Education","*","*","*"
"East Hampton School District","=""0420011""","Non-Special Education",125,118,94.4
"East Hampton School District","=""0420011""","Special Education",14,9,"*"
"East Hartford School District","=""0430011""","Non-Special Education",518,427,82.4
"East Hartford School District","=""0430011""","Special Education",80,49,61.3
"East Haven School District","=""0440011""","Non-Special Education",271,238,87.8
"East Haven School District","=""0440011""","Special Education",29,17,58.6
"East Lyme School District","=""0450011""","Non-Special Education",289,"*","*"
"East Lyme School District","=""0450011""","Special Education",36,"*","*"
"East Windsor School District","=""0470011""","Non-Special Education",81,"*","*"
"East Windsor School District","=""0470011""","Special Education",12,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-Special Education","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Special Education","*","*","*"
"Ellington School District","=""0480011""","Non-Special Education",165,"*","*"
"Ellington School District","=""0480011""","Special Education",17,"*","*"
"Enfield School District","=""0490011""","Non-Special Education",471,398,84.5
"Enfield School District","=""0490011""","Special Education",54,29,53.7
"Explorations District","=""2720013""","Non-Special Education",24,"*","*"
"Explorations District","=""2720013""","Special Education",10,"*","*"
"Fairfield School District","=""0510011""","Non-Special Education",598,572,95.7
"Fairfield School District","=""0510011""","Special Education",58,40,69.0
"Farmington School District","=""0520011""","Non-Special Education",308,"*","*"
"Farmington School District","=""0520011""","Special Education",30,"*","*"
"Glastonbury School District","=""0540011""","Non-Special Education",480,474,98.8
"Glastonbury School District","=""0540011""","Special Education",71,57,80.3
"Granby School District","=""0560011""","Non-Special Education",181,"*","*"
"Granby School District","=""0560011""","Special Education",13,"*","*"
"Greenwich School District","=""0570011""","Non-Special Education",567,546,96.3
"Greenwich School District","=""0570011""","Special Education",65,51,78.5
"Griswold School District","=""0580011""","Non-Special Education",178,155,87.1
"Griswold School District","=""0580011""","Special Education",22,7,31.8
"Groton School District","=""0590011""","Non-Special Education",302,254,84.1
"Groton School District","=""0590011""","Special Education",34,17,50.0
"Guilford School District","=""0600011""","Non-Special Education",245,234,95.5
"Guilford School District","=""0600011""","Special Education",26,22,84.6
"Hamden School District","=""0620011""","Non-Special Education",510,436,85.5
"Hamden School District","=""0620011""","Special Education",76,52,68.4
"Hartford School District","=""0640011""","Non-Special Education",1327,892,67.2
"Hartford School District","=""0640011""","Special Education",276,121,43.8
"Killingly School District","=""0690011""","Non-Special Education",171,129,75.4
"Killingly School District","=""0690011""","Special Education",27,11,40.7
"Lebanon School District","=""0710011""","Non-Special Education",143,134,93.7
"Lebanon School District","=""0710011""","Special Education",17,14,"*"
"Ledyard School District","=""0720011""","Non-Special Education",208,192,92.3
"Ledyard School District","=""0720011""","Special Education",27,19,70.4
"Lisbon School District","=""0730011""","Special Education","*","*","*"
"Litchfield School District","=""0740011""","Non-Special Education",88,"*","*"
"Litchfield School District","=""0740011""","Special Education",7,"*","*"
"Madison School District","=""0760011""","Non-Special Education",287,282,98.3
"Madison School District","=""0760011""","Special Education",30,24,80.0
"Manchester School District","=""0770011""","Non-Special Education",455,341,74.9
"Manchester School District","=""0770011""","Special Education",79,39,49.4
"Meriden School District","=""0800011""","Non-Special Education",534,397,74.3
"Meriden School District","=""0800011""","Special Education",96,43,44.8
"Middletown School District","=""0830011""","Non-Special Education",296,239,80.7
"Middletown School District","=""0830011""","Special Education",54,30,55.6
"Milford School District","=""0840011""","Non-Special Education",419,379,90.5
"Milford School District","=""0840011""","Special Education",73,53,72.6
"Monroe School District","=""0850011""","Non-Special Education",341,"*","*"
"Monroe School District","=""0850011""","Special Education",26,"*","*"
"Montville School District","=""0860011""","Non-Special Education",181,157,86.7
"Montville School District","=""0860011""","Special Education",24,17,70.8
"Naugatuck School District","=""0880011""","Non-Special Education",322,275,85.4
"Naugatuck School District","=""0880011""","Special Education",48,31,64.6
"New Britain School District","=""0890011""","Non-Special Education",640,346,54.1
"New Britain School District","=""0890011""","Special Education",118,43,36.4
"New Canaan School District","=""0900011""","Non-Special Education",280,"*","*"
"New Canaan School District","=""0900011""","Special Education",31,"*","*"
"New Fairfield School District","=""0910011""","Non-Special Education",216,199,92.1
"New Fairfield School District","=""0910011""","Special Education",25,20,80.0
"New Haven School District","=""0930011""","Non-Special Education",1291,853,66.1
"New Haven School District","=""0930011""","Special Education",159,74,46.5
"New London School District","=""0950011""","Non-Special Education",212,149,70.3
"New London School District","=""0950011""","Special Education",50,15,30.0
"New Milford School District","=""0960011""","Non-Special Education",347,319,91.9
"New Milford School District","=""0960011""","Special Education",56,32,57.1
"Newington School District","=""0940011""","Non-Special Education",373,327,87.7
"Newington School District","=""0940011""","Special Education",40,19,47.5
"Newtown School District","=""0970011""","Non-Special Education",397,377,95.0
"Newtown School District","=""0970011""","Special Education",49,41,83.7
"North Branford School District","=""0990011""","Non-Special Education",165,"*","*"
"North Branford School District","=""0990011""","Special Education",30,"*","*"
"North Haven School District","=""1010011""","Non-Special Education",278,248,89.2
"North Haven School District","=""1010011""","Special Education",28,20,71.4
"North Stonington School District","=""1020011""","Non-Special Education",61,54,88.5
"North Stonington School District","=""1020011""","Special Education",6,6,"*"
"Norwalk School District","=""1030011""","Non-Special Education",781,670,85.8
"Norwalk School District","=""1030011""","Special Education",118,87,73.7
"Norwich Free Academy District","=""9010022""","Non-Special Education",536,459,85.6
"Norwich Free Academy District","=""9010022""","Special Education",101,59,58.4
"Norwich School District","=""1040011""","Non-Special Education","*","*","*"
"Norwich School District","=""1040011""","Special Education","*","*","*"
"Old Saybrook School District","=""1060011""","Non-Special Education",112,"*","*"
"Old Saybrook School District","=""1060011""","Special Education",11,"*","*"
"Oxford School District","=""1080011""","Non-Special Education",144,139,96.5
"Oxford School District","=""1080011""","Special Education",11,8,"*"
"Plainfield School District","=""1090011""","Non-Special Education",192,170,88.5
"Plainfield School District","=""1090011""","Special Education",38,27,71.1
"Plainville School District","=""1100011""","Non-Special Education",206,185,89.8
"Plainville School District","=""1100011""","Special Education",29,22,75.9
"Plymouth School District","=""1110011""","Non-Special Education",129,"*","*"
"Plymouth School District","=""1110011""","Special Education",11,"*","*"
"Portland School District","=""1130011""","Non-Special Education",88,75,85.2
"Portland School District","=""1130011""","Special Education",9,6,"*"
"Putnam School District","=""1160011""","Non-Special Education",57,49,86.0
"Putnam School District","=""1160011""","Special Education",18,10,"*"
"Regional School District 01","=""2010012""","Non-Special Education",122,102,83.6
"Regional School District 01","=""2010012""","Special Education",16,13,"*"
"Regional School District 04","=""2040012""","Non-Special Education",148,135,91.2
"Regional School District 04","=""2040012""","Special Education",23,16,69.6
"Regional School District 05","=""2050012""","Non-Special Education",368,346,94.0
"Regional School District 05","=""2050012""","Special Education",41,32,78.0
"Regional School District 06","=""2060012""","Non-Special Education",89,"*","*"
"Regional School District 06","=""2060012""","Special Education",15,"*","*"
"Regional School District 07","=""2070012""","Non-Special Education",183,179,97.8
"Regional School District 07","=""2070012""","Special Education",25,16,64.0
"Regional School District 08","=""2080012""","Non-Special Education",238,209,87.8
"Regional School District 08","=""2080012""","Special Education",29,17,58.6
"Regional School District 09","=""2090012""","Non-Special Education",183,"*","*"
"Regional School District 09","=""2090012""","Special Education",37,"*","*"
"Regional School District 10","=""2100012""","Non-Special Education",161,159,98.8
"Regional School District 10","=""2100012""","Special Education",16,10,"*"
"Regional School District 11","=""2110012""","Non-Special Education","*","*","*"
"Regional School District 11","=""2110012""","Special Education","*","*","*"
"Regional School District 12","=""2120012""","Non-Special Education",81,"*","*"
"Regional School District 12","=""2120012""","Special Education",12,"*","*"
"Regional School District 13","=""2130012""","Non-Special Education",125,118,94.4
"Regional School District 13","=""2130012""","Special Education",16,13,"*"
"Regional School District 14","=""2140012""","Non-Special Education",201,"*","*"
"Regional School District 14","=""2140012""","Special Education",17,"*","*"
"Regional School District 15","=""2150012""","Non-Special Education",349,327,93.7
"Regional School District 15","=""2150012""","Special Education",41,30,73.2
"Regional School District 16","=""2160012""","Non-Special Education",181,163,90.1
"Regional School District 16","=""2160012""","Special Education",15,10,"*"
"Regional School District 17","=""2170012""","Non-Special Education",159,"*","*"
"Regional School District 17","=""2170012""","Special Education",22,"*","*"
"Regional School District 18","=""2180012""","Non-Special Education",121,"*","*"
"Regional School District 18","=""2180012""","Special Education",14,"*","*"
