"Four-Year Graduation Rates, 2012-13"
"All Districts, English Learner Status"

"",,,,"Graduates",
"District","District Code","English Learner Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","ELL","*","*","*"
"Amistad Academy District","=""2790013""","Non-ELL","*","*","*"
"Ansonia School District","=""0020011""","ELL",13,8,"*"
"Ansonia School District","=""0020011""","Non-ELL",199,152,76.4
"Avon School District","=""0040011""","ELL","*","*","*"
"Avon School District","=""0040011""","Non-ELL","*","*","*"
"Berlin School District","=""0070011""","ELL","*","*","*"
"Berlin School District","=""0070011""","Non-ELL","*","*","*"
"Bethel School District","=""0090011""","ELL","*","*","*"
"Bethel School District","=""0090011""","Non-ELL","*","*","*"
"Bloomfield School District","=""0110011""","ELL","*","*","*"
"Bloomfield School District","=""0110011""","Non-ELL","*","*","*"
"Bolton School District","=""0120011""","Non-ELL",81,"*","*"
"Branford School District","=""0140011""","ELL","*","*","*"
"Branford School District","=""0140011""","Non-ELL","*","*","*"
"Bridgeport School District","=""0150011""","ELL",170,99,58.2
"Bridgeport School District","=""0150011""","Non-ELL",1059,728,68.7
"Bristol School District","=""0170011""","ELL",25,13,52.0
"Bristol School District","=""0170011""","Non-ELL",610,494,81.0
"Brookfield School District","=""0180011""","ELL","*","*","*"
"Brookfield School District","=""0180011""","Non-ELL","*","*","*"
"Canton School District","=""0230011""","Non-ELL",124,117,94.4
"Capitol Region Education Council","=""2410014""","ELL",9,9,"*"
"Capitol Region Education Council","=""2410014""","Non-ELL",237,200,84.4
"Cheshire School District","=""0250011""","ELL","*","*","*"
"Cheshire School District","=""0250011""","Non-ELL","*","*","*"
"Clinton School District","=""0270011""","ELL","*","*","*"
"Clinton School District","=""0270011""","Non-ELL","*","*","*"
"Colchester School District","=""0280011""","ELL","*","*","*"
"Colchester School District","=""0280011""","Non-ELL","*","*","*"
"Common Ground High School District","=""2680013""","ELL","*","*","*"
"Common Ground High School District","=""2680013""","Non-ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","ELL",96,84,87.5
"Connecticut Technical High School System","=""9000016""","Non-ELL",2387,2308,96.7
"Coventry School District","=""0320011""","ELL","*","*","*"
"Coventry School District","=""0320011""","Non-ELL","*","*","*"
"Cromwell School District","=""0330011""","ELL","*","*","*"
"Cromwell School District","=""0330011""","Non-ELL","*","*","*"
"Danbury School District","=""0340011""","ELL",133,66,49.6
"Danbury School District","=""0340011""","Non-ELL",646,522,80.8
"Darien School District","=""0350011""","Non-ELL",316,307,97.2
"Department of Mental Health and Addiction Services","=""3370015""","Non-ELL","*","*","*"
"Derby School District","=""0370011""","ELL","*","*","*"
"Derby School District","=""0370011""","Non-ELL","*","*","*"
"East Granby School District","=""0400011""","Non-ELL",71,"*","*"
"East Haddam School District","=""0410011""","Non-ELL",100,96,96.0
"East Hampton School District","=""0420011""","ELL","*","*","*"
"East Hampton School District","=""0420011""","Non-ELL","*","*","*"
"East Hartford School District","=""0430011""","ELL",37,25,67.6
"East Hartford School District","=""0430011""","Non-ELL",519,407,78.4
"East Haven School District","=""0440011""","ELL","*","*","*"
"East Haven School District","=""0440011""","Non-ELL","*","*","*"
"East Lyme School District","=""0450011""","ELL","*","*","*"
"East Lyme School District","=""0450011""","Non-ELL","*","*","*"
"East Windsor School District","=""0470011""","ELL","*","*","*"
"East Windsor School District","=""0470011""","Non-ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-ELL","*","*","*"
"Ellington School District","=""0480011""","ELL","*","*","*"
"Ellington School District","=""0480011""","Non-ELL","*","*","*"
