"Four-Year Graduation Rates, 2014-15"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"District","District Code","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""",29,"*","*","*","*"
"Ansonia School District","=""0020011""",172,17,9.9,11,6.4
"Avon School District","=""0040011""",248,"*","*","*","*"
"Berlin School District","=""0070011""",210,7,3.3,6,2.9
"Bethel School District","=""0090011""",218,"*","*","*","*"
"Bloomfield School District","=""0110011""",176,12,6.8,10,5.7
"Bolton School District","=""0120011""",76,"*","*",0,0.0
"Branford School District","=""0140011""",253,11,4.3,14,5.5
"Bridgeport Achievement First District","=""2850013""",31,"*","*","*","*"
"Bridgeport School District","=""0150011""",1188,140,11.8,293,24.7
"Bristol School District","=""0170011""",647,40,6.2,81,12.5
"Brookfield School District","=""0180011""",235,"*","*","*","*"
"Canton School District","=""0230011""",132,"*","*","*","*"
"Capitol Region Education Council","=""2410014""",323,14,4.3,17,5.3
"Cheshire School District","=""0250011""",392,11,2.8,0,0.0
"Clinton School District","=""0270011""",162,"*","*","*","*"
"Colchester School District","=""0280011""",228,9,3.9,9,3.9
"Common Ground High School District","=""2680013""",37,0,0.0,0,0.0
"Connecticut Technical High School System","=""9000016""",2468,9,0.4,55,2.2
"Coventry School District","=""0320011""",117,"*","*","*","*"
"Cromwell School District","=""0330011""",128,"*","*","*","*"
"Danbury School District","=""0340011""",772,80,10.4,97,12.6
"Darien School District","=""0350011""",334,"*","*","*","*"
"Derby School District","=""0370011""",102,8,7.8,9,8.8
"East Granby School District","=""0400011""",61,0,0.0,0,0.0
"East Haddam School District","=""0410011""",113,"*","*","*","*"
"East Hampton School District","=""0420011""",127,"*","*","*","*"
"East Hartford School District","=""0430011""",566,26,4.6,42,7.4
"East Haven School District","=""0440011""",244,11,4.5,49,20.1
"East Lyme School District","=""0450011""",274,8,2.9,6,2.2
"East Windsor School District","=""0470011""",90,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",72,7,9.7,11,15.3
"Ellington School District","=""0480011""",206,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""",14,"*","*","*","*"
"Enfield School District","=""0490011""",392,15,3.8,37,9.4
"Explorations District","=""2720013""",23,0,0.0,"*","*"
"Fairfield School District","=""0510011""",717,24,3.3,17,2.4
"Farmington School District","=""0520011""",335,8,2.4,6,1.8
"Glastonbury School District","=""0540011""",524,"*","*","*","*"
"Granby School District","=""0560011""",165,"*","*","*","*"
"Greenwich School District","=""0570011""",647,24,3.7,7,1.1
"Griswold School District","=""0580011""",148,7,4.7,10,6.8
"Groton School District","=""0590011""",272,9,3.3,25,9.2
"Guilford School District","=""0600011""",274,7,2.6,7,2.6
"Hamden School District","=""0620011""",465,23,4.9,31,6.7
"Hartford School District","=""0640011""",1484,172,11.6,271,18.3
