"Four-Year Graduation Rates, 2014-15"
"All Districts, All Students"

"",,,"Graduates",
"District","District Code","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""",29,24,82.8
"Ansonia School District","=""0020011""",172,144,83.7
"Avon School District","=""0040011""",248,238,96.0
"Berlin School District","=""0070011""",210,197,93.8
"Bethel School District","=""0090011""",218,209,95.9
"Bloomfield School District","=""0110011""",176,154,87.5
"Bolton School District","=""0120011""",76,"*","*"
"Branford School District","=""0140011""",253,228,90.1
"Bridgeport Achievement First District","=""2850013""",31,29,93.5
"Bridgeport School District","=""0150011""",1188,755,63.6
"Bristol School District","=""0170011""",647,526,81.3
"Brookfield School District","=""0180011""",235,224,95.3
"Canton School District","=""0230011""",132,126,95.5
"Capitol Region Education Council","=""2410014""",323,292,90.4
"Cheshire School District","=""0250011""",392,381,97.2
"Clinton School District","=""0270011""",162,146,90.1
"Colchester School District","=""0280011""",228,210,92.1
"Common Ground High School District","=""2680013""",37,37,100.0
"Connecticut Technical High School System","=""9000016""",2468,2404,97.4
"Coventry School District","=""0320011""",117,109,93.2
"Cromwell School District","=""0330011""",128,123,96.1
"Danbury School District","=""0340011""",772,595,77.1
"Darien School District","=""0350011""",334,323,96.7
"Derby School District","=""0370011""",102,85,83.3
"East Granby School District","=""0400011""",61,61,100.0
"East Haddam School District","=""0410011""",113,102,90.3
"East Hampton School District","=""0420011""",127,120,94.5
"East Hartford School District","=""0430011""",566,498,88.0
"East Haven School District","=""0440011""",244,184,75.4
"East Lyme School District","=""0450011""",274,260,94.9
"East Windsor School District","=""0470011""",90,78,86.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",72,54,75.0
"Ellington School District","=""0480011""",206,200,97.1
"Elm City College Preparatory School District","=""2890013""",14,10,"*"
"Enfield School District","=""0490011""",392,340,86.7
"Explorations District","=""2720013""",23,"*","*"
"Fairfield School District","=""0510011""",717,675,94.1
"Farmington School District","=""0520011""",335,321,95.8
"Glastonbury School District","=""0540011""",524,512,97.7
"Granby School District","=""0560011""",165,161,97.6
"Greenwich School District","=""0570011""",647,616,95.2
"Griswold School District","=""0580011""",148,131,88.5
"Groton School District","=""0590011""",272,238,87.5
"Guilford School District","=""0600011""",274,260,94.9
"Hamden School District","=""0620011""",465,411,88.4
"Hartford School District","=""0640011""",1484,1041,70.1
"Killingly School District","=""0690011""",203,156,76.8
"Learn","=""2450014""",176,157,89.2
"Lebanon School District","=""0710011""",95,90,94.7
"Ledyard School District","=""0720011""",233,216,92.7
"Litchfield School District","=""0740011""",70,70,100.0
"Madison School District","=""0760011""",309,305,98.7
"Manchester School District","=""0770011""",454,367,80.8
"Meriden School District","=""0800011""",626,463,74.0
"Middletown School District","=""0830011""",315,278,88.3
"Milford School District","=""0840011""",459,417,90.8
"Monroe School District","=""0850011""",321,313,97.5
"Montville School District","=""0860011""",179,167,93.3
"Naugatuck School District","=""0880011""",337,288,85.5
"New Britain School District","=""0890011""",660,453,68.6
"New Canaan School District","=""0900011""",307,"*","*"
"New Fairfield School District","=""0910011""",264,261,98.9
"New Haven School District","=""0930011""",1485,1115,75.1
"New London School District","=""0950011""",202,149,73.8
"New Milford School District","=""0960011""",371,335,90.3
"Newington School District","=""0940011""",358,332,92.7
"Newtown School District","=""0970011""",453,432,95.4
"North Branford School District","=""0990011""",166,155,93.4
"North Haven School District","=""1010011""",296,270,91.2
"North Stonington School District","=""1020011""",51,47,92.2
"Norwalk School District","=""1030011""",876,785,89.6
"Norwich Free Academy District","=""9010022""",590,517,87.6
"Old Saybrook School District","=""1060011""",126,120,95.2
"Oxford School District","=""1080011""",125,116,92.8
"Plainfield School District","=""1090011""",168,137,81.5
"Plainville School District","=""1100011""",182,162,89.0
"Plymouth School District","=""1110011""",121,106,87.6
"Portland School District","=""1130011""",92,83,90.2
"Putnam School District","=""1160011""",65,56,86.2
"Regional School District 01","=""2010012""",87,82,94.3
"Regional School District 04","=""2040012""",182,176,96.7
"Regional School District 05","=""2050012""",417,402,96.4
"Regional School District 06","=""2060012""",87,83,95.4
"Regional School District 07","=""2070012""",143,139,97.2
"Regional School District 08","=""2080012""",269,249,92.6
"Regional School District 09","=""2090012""",256,246,96.1
"Regional School District 10","=""2100012""",191,183,95.8
"Regional School District 11","=""2110012""",51,"*","*"
"Regional School District 12","=""2120012""",72,70,97.2
"Regional School District 13","=""2130012""",154,141,91.6
"Regional School District 14","=""2140012""",189,186,98.4
"Regional School District 15","=""2150012""",293,278,94.9
"Regional School District 16","=""2160012""",167,158,94.6
"Regional School District 17","=""2170012""",168,162,96.4
"Regional School District 18","=""2180012""",89,84,94.4
"Regional School District 19","=""2190012""",292,267,91.4
"Ridgefield School District","=""1180011""",446,429,96.2
"Rocky Hill School District","=""1190011""",196,181,92.3
"Seymour School District","=""1240011""",148,132,89.2
"Shelton School District","=""1260011""",370,348,94.1
"Simsbury School District","=""1280011""",382,364,95.3
"Somers School District","=""1290011""",130,122,93.8
"South Windsor School District","=""1320011""",355,328,92.4
"Southington School District","=""1310011""",519,482,92.9
"Stafford School District","=""1340011""",92,85,92.4
"Stamford Academy District","=""2820013""",48,16,33.3
"Stamford School District","=""1350011""",1217,1064,87.4
"Stonington School District","=""1370011""",200,181,90.5
"Stratford School District","=""1380011""",535,490,91.6
"Suffield School District","=""1390011""",212,203,95.8
"The Bridge Academy District","=""2690013""",32,28,87.5
"The Gilbert School District","=""9020022""",90,81,90.0
"Thomaston School District","=""1400011""",63,61,96.8
"Thompson School District","=""1410011""",70,"*","*"
"Tolland School District","=""1420011""",212,201,94.8
"Torrington School District","=""1430011""",282,236,83.7
"Trumbull School District","=""1440011""",534,524,98.1
"Unified School District #1","=""3360015""",412,10,2.4
"Unified School District #2","=""3470015""",42,"*","*"
"Vernon School District","=""1460011""",244,206,84.4
"Wallingford School District","=""1480011""",502,468,93.2
"Waterbury School District","=""1510011""",1344,930,69.2
"Waterford School District","=""1520011""",216,201,93.1
"Watertown School District","=""1530011""",205,181,88.3
"West Hartford School District","=""1550011""",738,688,93.2
"West Haven School District","=""1560011""",424,329,77.6
"Westbrook School District","=""1540011""",78,"*","*"
"Weston School District","=""1570011""",167,161,96.4
"Westport School District","=""1580011""",462,456,98.7
"Wethersfield School District","=""1590011""",284,258,90.8
"Wilton School District","=""1610011""",330,317,96.1
"Windham School District","=""1630011""",130,105,80.8
"Windsor Locks School District","=""1650011""",131,114,87.0
"Windsor School District","=""1640011""",310,273,88.1
"Wolcott School District","=""1660011""",180,174,96.7
"Woodstock Academy District","=""9030022""",286,282,98.6

