"Four-Year Graduation Rates, 2011-12"
"All Districts, High Needs Status"

"",,,,"Graduates",
"District","District Code","High Needs Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","High Needs","*","*","*"
"Amistad Academy District","=""2790013""","Non-High Needs","*","*","*"
"Ansonia School District","=""0020011""","High Needs",142,99,69.7
"Ansonia School District","=""0020011""","Non-High Needs",63,57,90.5
"Avon School District","=""0040011""","High Needs",46,39,84.8
"Avon School District","=""0040011""","Non-High Needs",239,235,98.3
"Berlin School District","=""0070011""","High Needs",65,56,86.2
"Berlin School District","=""0070011""","Non-High Needs",198,193,97.5
"Bethel School District","=""0090011""","High Needs",59,49,83.1
"Bethel School District","=""0090011""","Non-High Needs",180,176,97.8
"Bloomfield School District","=""0110011""","High Needs",122,86,70.5
"Bloomfield School District","=""0110011""","Non-High Needs",74,67,90.5
"Bolton School District","=""0120011""","High Needs",15,8,"*"
"Bolton School District","=""0120011""","Non-High Needs",58,58,100.0
"Branford School District","=""0140011""","High Needs",87,76,87.4
"Branford School District","=""0140011""","Non-High Needs",171,164,95.9
"Bridgeport School District","=""0150011""","High Needs","*","*","*"
"Bridgeport School District","=""0150011""","Non-High Needs","*","*","*"
"Bristol School District","=""0170011""","High Needs",291,217,74.6
"Bristol School District","=""0170011""","Non-High Needs",340,320,94.1
"Brookfield School District","=""0180011""","High Needs",32,"*","*"
"Brookfield School District","=""0180011""","Non-High Needs",222,"*","*"
"Canton School District","=""0230011""","High Needs",17,"*","*"
"Canton School District","=""0230011""","Non-High Needs",102,"*","*"
"Capitol Region Education Council","=""2410014""","High Needs",220,166,75.5
"Capitol Region Education Council","=""2410014""","Non-High Needs",115,100,87.0
"Cheshire School District","=""0250011""","High Needs",87,73,83.9
"Cheshire School District","=""0250011""","Non-High Needs",324,321,99.1
"Clinton School District","=""0270011""","High Needs",33,"*","*"
"Clinton School District","=""0270011""","Non-High Needs",90,"*","*"
"Colchester School District","=""0280011""","High Needs",65,55,84.6
"Colchester School District","=""0280011""","Non-High Needs",181,178,98.3
"Common Ground High School District","=""2680013""","High Needs",25,22,88.0
"Common Ground High School District","=""2680013""","Non-High Needs",6,6,"*"
"Connecticut Technical High School System","=""9000016""","High Needs",1546,1473,95.3
"Connecticut Technical High School System","=""9000016""","Non-High Needs",985,955,97.0
"Coventry School District","=""0320011""","High Needs",49,34,69.4
"Coventry School District","=""0320011""","Non-High Needs",104,98,94.2
"Cromwell School District","=""0330011""","High Needs",49,38,77.6
"Cromwell School District","=""0330011""","Non-High Needs",103,101,98.1
"Danbury School District","=""0340011""","High Needs",407,265,65.1
"Danbury School District","=""0340011""","Non-High Needs",350,316,90.3
"Darien School District","=""0350011""","High Needs",52,"*","*"
"Darien School District","=""0350011""","Non-High Needs",259,"*","*"
"Derby School District","=""0370011""","High Needs",66,44,66.7
"Derby School District","=""0370011""","Non-High Needs",40,36,90.0
"East Granby School District","=""0400011""","High Needs",11,"*","*"
"East Granby School District","=""0400011""","Non-High Needs",50,"*","*"
"East Haddam School District","=""0410011""","High Needs",26,22,84.6
"East Haddam School District","=""0410011""","Non-High Needs",76,72,94.7
"East Hampton School District","=""0420011""","High Needs",31,25,80.6
"East Hampton School District","=""0420011""","Non-High Needs",134,131,97.8
"East Hartford School District","=""0430011""","High Needs",445,318,71.5
"East Hartford School District","=""0430011""","Non-High Needs",146,135,92.5
"East Haven School District","=""0440011""","High Needs",136,87,64.0
"East Haven School District","=""0440011""","Non-High Needs",94,79,84.0
"East Lyme School District","=""0450011""","High Needs",83,72,86.7
"East Lyme School District","=""0450011""","Non-High Needs",220,214,97.3
"East Windsor School District","=""0470011""","High Needs",37,"*","*"
"East Windsor School District","=""0470011""","Non-High Needs",52,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","High Needs",45,33,73.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-High Needs",41,35,85.4
"Ellington School District","=""0480011""","High Needs",37,25,67.6
"Ellington School District","=""0480011""","Non-High Needs",166,158,95.2
"Elm City College Preparatory School District","=""2890013""","High Needs","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Non-High Needs","*","*","*"
"Enfield School District","=""0490011""","High Needs",192,133,69.3
"Enfield School District","=""0490011""","Non-High Needs",320,303,94.7
"Explorations District","=""2720013""","High Needs",20,"*","*"
"Explorations District","=""2720013""","Non-High Needs",8,"*","*"
"Fairfield School District","=""0510011""","High Needs",162,135,83.3
