"Four-Year Graduation Rates, 2013-14"
"All Districts, Special Education Status"

"",,,,"Graduates",
"District","District Code","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Non-Special Education","*","*","*"
"Amistad Academy District","=""2790013""","Special Education","*","*","*"
"Ansonia School District","=""0020011""","Non-Special Education",140,111,79.3
"Ansonia School District","=""0020011""","Special Education",17,9,"*"
"Avon School District","=""0040011""","Non-Special Education",244,"*","*"
"Avon School District","=""0040011""","Special Education",28,"*","*"
"Berlin School District","=""0070011""","Non-Special Education",202,198,98.0
"Berlin School District","=""0070011""","Special Education",33,25,75.8
"Bethel School District","=""0090011""","Non-Special Education",213,201,94.4
"Bethel School District","=""0090011""","Special Education",31,25,80.6
"Bloomfield School District","=""0110011""","Non-Special Education",148,136,91.9
"Bloomfield School District","=""0110011""","Special Education",21,12,57.1
"Bolton School District","=""0120011""","Non-Special Education",94,"*","*"
"Bolton School District","=""0120011""","Special Education",9,"*","*"
"Branford School District","=""0140011""","Non-Special Education",253,236,93.3
"Branford School District","=""0140011""","Special Education",46,36,78.3
"Bridgeport School District","=""0150011""","Non-Special Education",1075,805,74.9
"Bridgeport School District","=""0150011""","Special Education",172,87,50.6
"Bristol School District","=""0170011""","Non-Special Education",577,491,85.1
"Bristol School District","=""0170011""","Special Education",122,81,66.4
"Brookfield School District","=""0180011""","Non-Special Education",210,"*","*"
"Brookfield School District","=""0180011""","Special Education",22,"*","*"
"Canton School District","=""0230011""","Non-Special Education",118,115,97.5
"Canton School District","=""0230011""","Special Education",18,13,"*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",293,262,89.4
"Capitol Region Education Council","=""2410014""","Special Education",24,19,79.2
"Cheshire School District","=""0250011""","Non-Special Education",334,332,99.4
"Cheshire School District","=""0250011""","Special Education",55,39,70.9
"Clinton School District","=""0270011""","Non-Special Education",120,115,95.8
"Clinton School District","=""0270011""","Special Education",13,8,"*"
"Colchester School District","=""0280011""","Non-Special Education",220,"*","*"
"Colchester School District","=""0280011""","Special Education",28,"*","*"
"Common Ground High School District","=""2680013""","Non-Special Education","*","*","*"
"Common Ground High School District","=""2680013""","Special Education","*","*","*"
"Connecticut Technical High School System","=""9000016""","Non-Special Education",2242,2157,96.2
"Connecticut Technical High School System","=""9000016""","Special Education",181,172,95.0
"Coventry School District","=""0320011""","Non-Special Education",110,"*","*"
"Coventry School District","=""0320011""","Special Education",23,"*","*"
"Cromwell School District","=""0330011""","Non-Special Education",123,"*","*"
"Cromwell School District","=""0330011""","Special Education",11,"*","*"
"Danbury School District","=""0340011""","Non-Special Education",675,554,82.1
"Danbury School District","=""0340011""","Special Education",86,40,46.5
"Darien School District","=""0350011""","Non-Special Education",278,275,98.9
"Darien School District","=""0350011""","Special Education",58,50,86.2
"Department of Mental Health and Addiction Services","=""3370015""","Special Education","*","*","*"
"Derby School District","=""0370011""","Non-Special Education",87,74,85.1
"Derby School District","=""0370011""","Special Education",15,9,"*"
"East Granby School District","=""0400011""","Non-Special Education","*","*","*"
"East Granby School District","=""0400011""","Special Education","*","*","*"
"East Haddam School District","=""0410011""","Non-Special Education",87,85,97.7
"East Haddam School District","=""0410011""","Special Education",18,13,"*"
"East Hampton School District","=""0420011""","Non-Special Education",114,"*","*"
"East Hampton School District","=""0420011""","Special Education",7,"*","*"
"East Hartford School District","=""0430011""","Non-Special Education",419,341,81.4
"East Hartford School District","=""0430011""","Special Education",88,56,63.6
"East Haven School District","=""0440011""","Non-Special Education",223,188,84.3
"East Haven School District","=""0440011""","Special Education",37,22,59.5
"East Lyme School District","=""0450011""","Non-Special Education",237,232,97.9
"East Lyme School District","=""0450011""","Special Education",37,24,64.9
"East Windsor School District","=""0470011""","Non-Special Education",92,83,90.2
"East Windsor School District","=""0470011""","Special Education",17,14,"*"
