"Four-Year Graduation Rates, 2010-11"
"All Districts, Race/Ethnicity"

"",,,,"Non-Graduates",,,
"District","District Code","Race/Ethnicity","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Black",15,"*","*","*","*"
"Amistad Academy District","=""2790013""","Hispanic",14,"*","*","*","*"
"Ansonia School District","=""0020011""","Black",51,"*","*","*","*"
"Ansonia School District","=""0020011""","Hispanic",40,9,22.5,8,20.0
"Ansonia School District","=""0020011""","Asian","*","*","*","*","*"
"Ansonia School District","=""0020011""","Indian or Alaska Native","*","*","*","*","*"
"Ansonia School District","=""0020011""","White",91,8,8.8,16,17.6
"Avon School District","=""0040011""","Black","*","*","*","*","*"
"Avon School District","=""0040011""","Hispanic",14,"*","*",0,"*"
"Avon School District","=""0040011""","Asian",19,0,"*","*","*"
"Avon School District","=""0040011""","Indian or Alaska Native","*","*","*","*","*"
"Avon School District","=""0040011""","White",212,"*","*","*","*"
"Berlin School District","=""0070011""","Black","*","*","*","*","*"
"Berlin School District","=""0070011""","Hispanic",6,0,"*","*","*"
"Berlin School District","=""0070011""","Asian",9,0,"*",0,"*"
"Berlin School District","=""0070011""","Indian or Alaska Native","*","*","*","*","*"
"Berlin School District","=""0070011""","White",244,"*","*","*","*"
"Bethel School District","=""0090011""","Black",6,"*","*",0,"*"
"Bethel School District","=""0090011""","Hispanic",21,"*","*",0,0.0
"Bethel School District","=""0090011""","Asian",17,0,"*",0,"*"
"Bethel School District","=""0090011""","White",206,"*","*","*","*"
"Bloomfield School District","=""0110011""","Black",169,23,13.6,17,10.1
"Bloomfield School District","=""0110011""","Hispanic","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Asian","*","*","*","*","*"
"Bloomfield School District","=""0110011""","White",7,"*","*","*","*"
"Bolton School District","=""0120011""","Black","*","*","*","*","*"
"Bolton School District","=""0120011""","Hispanic","*","*","*","*","*"
"Bolton School District","=""0120011""","Indian or Alaska Native","*","*","*","*","*"
"Bolton School District","=""0120011""","White",68,0,0.0,"*","*"
"Branford School District","=""0140011""","Black",10,0,"*","*","*"
"Branford School District","=""0140011""","Hispanic","*","*","*","*","*"
"Branford School District","=""0140011""","Asian",19,0,"*","*","*"
"Branford School District","=""0140011""","Indian or Alaska Native","*","*","*","*","*"
"Branford School District","=""0140011""","White",245,"*","*",7,2.9
"Bridgeport School District","=""0150011""","Black",667,80,12.0,138,20.7
"Bridgeport School District","=""0150011""","Hispanic",620,87,14.0,220,35.5
"Bridgeport School District","=""0150011""","Asian","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Indian or Alaska Native","*","*","*","*","*"
"Bridgeport School District","=""0150011""","White",114,19,16.7,18,15.8
"Bristol School District","=""0170011""","Black",51,10,19.6,10,19.6
"Bristol School District","=""0170011""","Hispanic",79,12,15.2,12,15.2
"Bristol School District","=""0170011""","Asian","*","*","*","*","*"
"Bristol School District","=""0170011""","Indian or Alaska Native","*","*","*","*","*"
"Bristol School District","=""0170011""","White",566,45,8.0,73,12.9
"Brookfield School District","=""0180011""","Black","*","*","*","*","*"
"Brookfield School District","=""0180011""","Hispanic",8,0,"*",0,"*"
"Brookfield School District","=""0180011""","Asian","*","*","*","*","*"
"Brookfield School District","=""0180011""","White",251,6,2.4,8,3.2
"Canton School District","=""0230011""","Black","*","*","*","*","*"
"Canton School District","=""0230011""","Hispanic","*","*","*","*","*"
"Canton School District","=""0230011""","Asian","*","*","*","*","*"
"Canton School District","=""0230011""","White",111,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Black",132,6,4.5,11,8.3
"Capitol Region Education Council","=""2410014""","Hispanic",61,6,9.8,13,21.3
"Capitol Region Education Council","=""2410014""","Asian",13,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","White",93,"*","*","*","*"
"Cheshire School District","=""0250011""","Black",14,"*","*","*","*"
"Cheshire School District","=""0250011""","Hispanic",14,0,"*",0,"*"
