"Four-Year Graduation Rates, 2010-11"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,,"Non-Graduates",,,
"District","District Code","Free/Reduced Price Meal Eligibility","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Eligible For Free Lunch","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Eligible For Reduced Lunch","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Not Eligible For Lunch",13,0,"*","*","*"
"Ansonia School District","=""0020011""","Eligible For Free Lunch",91,17,18.7,"*","*"
"Ansonia School District","=""0020011""","Eligible For Reduced Lunch",9,"*","*",0,"*"
"Ansonia School District","=""0020011""","Not Eligible For Lunch",88,"*","*","*","*"
"Avon School District","=""0040011""","Eligible For Free Lunch","*","*","*","*","*"
"Avon School District","=""0040011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Avon School District","=""0040011""","Not Eligible For Lunch",248,"*","*","*","*"
"Berlin School District","=""0070011""","Eligible For Free Lunch",8,0,"*","*","*"
"Berlin School District","=""0070011""","Eligible For Reduced Lunch",6,0,"*",0,"*"
"Berlin School District","=""0070011""","Not Eligible For Lunch",247,"*","*","*","*"
"Bethel School District","=""0090011""","Eligible For Free Lunch",12,"*","*","*","*"
"Bethel School District","=""0090011""","Eligible For Reduced Lunch",7,0,"*",0,"*"
"Bethel School District","=""0090011""","Not Eligible For Lunch",231,"*","*","*","*"
"Bloomfield School District","=""0110011""","Eligible For Free Lunch",58,"*","*","*","*"
"Bloomfield School District","=""0110011""","Eligible For Reduced Lunch",13,"*","*","*","*"
"Bloomfield School District","=""0110011""","Not Eligible For Lunch",116,12,10.3,13,11.2
"Bolton School District","=""0120011""","Eligible For Free Lunch",7,0,"*","*","*"
"Bolton School District","=""0120011""","Not Eligible For Lunch",67,0,0.0,"*","*"
"Branford School District","=""0140011""","Eligible For Free Lunch",26,"*","*","*","*"
"Branford School District","=""0140011""","Eligible For Reduced Lunch",14,0,"*","*","*"
"Branford School District","=""0140011""","Not Eligible For Lunch",244,"*","*","*","*"
"Bridgeport School District","=""0150011""","Eligible For Free Lunch",1264,164,13.0,345,27.3
"Bridgeport School District","=""0150011""","Eligible For Reduced Lunch",74,"*","*","*","*"
"Bridgeport School District","=""0150011""","Not Eligible For Lunch",99,"*","*","*","*"
"Bristol School District","=""0170011""","Eligible For Free Lunch",138,22,15.9,37,26.8
"Bristol School District","=""0170011""","Eligible For Reduced Lunch",51,6,11.8,13,25.5
"Bristol School District","=""0170011""","Not Eligible For Lunch",520,40,7.7,47,9.0
"Brookfield School District","=""0180011""","Eligible For Free Lunch","*","*","*","*","*"
"Brookfield School District","=""0180011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Brookfield School District","=""0180011""","Not Eligible For Lunch",259,6,2.3,7,2.7
"Canton School District","=""0230011""","Eligible For Free Lunch","*","*","*","*","*"
"Canton School District","=""0230011""","Not Eligible For Lunch","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Eligible For Free Lunch",111,11,9.9,"*","*"
"Capitol Region Education Council","=""2410014""","Eligible For Reduced Lunch",12,"*","*",0,"*"
"Capitol Region Education Council","=""2410014""","Not Eligible For Lunch",176,"*","*","*","*"
"Cheshire School District","=""0250011""","Eligible For Free Lunch",9,"*","*",0,"*"
"Cheshire School District","=""0250011""","Eligible For Reduced Lunch",9,"*","*",0,"*"
"Cheshire School District","=""0250011""","Not Eligible For Lunch",357,11,3.1,6,1.7
"Clinton School District","=""0270011""","Eligible For Free Lunch",6,"*","*","*","*"
"Clinton School District","=""0270011""","Eligible For Reduced Lunch",9,0,"*",0,"*"
"Clinton School District","=""0270011""","Not Eligible For Lunch",130,"*","*","*","*"
