"Four-Year Graduation Rates, 2014-15"
"All Districts, High Needs Status"

"",,,,"Graduates",
"District","District Code","High Needs Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","High Needs","*","*","*"
"Amistad Academy District","=""2790013""","Non-High Needs","*","*","*"
"Ansonia School District","=""0020011""","High Needs",137,"*","*"
"Ansonia School District","=""0020011""","Non-High Needs",35,"*","*"
"Avon School District","=""0040011""","High Needs",48,42,87.5
"Avon School District","=""0040011""","Non-High Needs",200,196,98.0
"Berlin School District","=""0070011""","High Needs",56,46,82.1
"Berlin School District","=""0070011""","Non-High Needs",154,151,98.1
"Bethel School District","=""0090011""","High Needs",77,"*","*"
"Bethel School District","=""0090011""","Non-High Needs",141,"*","*"
"Bloomfield School District","=""0110011""","High Needs",121,"*","*"
"Bloomfield School District","=""0110011""","Non-High Needs",55,"*","*"
"Bolton School District","=""0120011""","High Needs",20,"*","*"
"Bolton School District","=""0120011""","Non-High Needs",56,"*","*"
"Branford School District","=""0140011""","High Needs",85,66,77.6
"Branford School District","=""0140011""","Non-High Needs",168,162,96.4
"Bridgeport Achievement First District","=""2850013""","High Needs","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Non-High Needs","*","*","*"
"Bridgeport School District","=""0150011""","High Needs","*","*","*"
"Bridgeport School District","=""0150011""","Non-High Needs","*","*","*"
"Bristol School District","=""0170011""","High Needs",363,254,70.0
"Bristol School District","=""0170011""","Non-High Needs",284,272,95.8
"Brookfield School District","=""0180011""","High Needs",46,40,87.0
"Brookfield School District","=""0180011""","Non-High Needs",189,184,97.4
"Canton School District","=""0230011""","High Needs",26,"*","*"
"Canton School District","=""0230011""","Non-High Needs",106,"*","*"
"Capitol Region Education Council","=""2410014""","High Needs",193,"*","*"
"Capitol Region Education Council","=""2410014""","Non-High Needs",130,"*","*"
"Cheshire School District","=""0250011""","High Needs",77,66,85.7
"Cheshire School District","=""0250011""","Non-High Needs",315,315,100.0
"Clinton School District","=""0270011""","High Needs",51,39,76.5
"Clinton School District","=""0270011""","Non-High Needs",111,107,96.4
"Colchester School District","=""0280011""","High Needs",69,57,82.6
"Colchester School District","=""0280011""","Non-High Needs",159,153,96.2
"Common Ground High School District","=""2680013""","High Needs",25,25,100.0
"Common Ground High School District","=""2680013""","Non-High Needs",12,12,"*"
"Connecticut Technical High School System","=""9000016""","High Needs",1605,1557,97.0
"Connecticut Technical High School System","=""9000016""","Non-High Needs",863,847,98.1
"Coventry School District","=""0320011""","High Needs",38,30,78.9
"Coventry School District","=""0320011""","Non-High Needs",79,79,100.0
"Cromwell School District","=""0330011""","High Needs",37,32,86.5
"Cromwell School District","=""0330011""","Non-High Needs",91,91,100.0
"Danbury School District","=""0340011""","High Needs",490,328,66.9
"Danbury School District","=""0340011""","Non-High Needs",282,267,94.7
"Darien School District","=""0350011""","High Needs",47,40,85.1
"Darien School District","=""0350011""","Non-High Needs",287,283,98.6
"Derby School District","=""0370011""","High Needs",76,"*","*"
"Derby School District","=""0370011""","Non-High Needs",26,"*","*"
"East Granby School District","=""0400011""","High Needs",10,10,"*"
"East Granby School District","=""0400011""","Non-High Needs",51,51,100.0
"East Haddam School District","=""0410011""","High Needs",34,"*","*"
"East Haddam School District","=""0410011""","Non-High Needs",79,"*","*"
"East Hampton School District","=""0420011""","High Needs",29,"*","*"
"East Hampton School District","=""0420011""","Non-High Needs",98,"*","*"
"East Hartford School District","=""0430011""","High Needs",443,381,86.0
"East Hartford School District","=""0430011""","Non-High Needs",123,117,95.1
"East Haven School District","=""0440011""","High Needs",155,"*","*"
"East Haven School District","=""0440011""","Non-High Needs",89,"*","*"
"East Lyme School District","=""0450011""","High Needs",66,"*","*"
"East Lyme School District","=""0450011""","Non-High Needs",208,"*","*"
"East Windsor School District","=""0470011""","High Needs",48,"*","*"
"East Windsor School District","=""0470011""","Non-High Needs",42,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","High Needs",43,32,74.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-High Needs",29,22,75.9
"Ellington School District","=""0480011""","High Needs",56,50,89.3
"Ellington School District","=""0480011""","Non-High Needs",150,150,100.0
"Elm City College Preparatory School District","=""2890013""","High Needs","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Non-High Needs","*","*","*"
"Enfield School District","=""0490011""","High Needs",167,128,76.6
"Enfield School District","=""0490011""","Non-High Needs",225,212,94.2
"Explorations District","=""2720013""","High Needs",16,"*","*"
