"Four-Year Graduation Rates, 2012-13"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,,"Graduates",
"District","District Code","Free/Reduced Price Meal Eligibility","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Eligible For Free Lunch",18,11,"*"
"Amistad Academy District","=""2790013""","Eligible For Reduced Lunch","*","*","*"
"Amistad Academy District","=""2790013""","Not Eligible For Lunch","*","*","*"
"Ansonia School District","=""0020011""","Eligible For Free Lunch",107,70,65.4
"Ansonia School District","=""0020011""","Eligible For Reduced Lunch",37,30,81.1
"Ansonia School District","=""0020011""","Not Eligible For Lunch",68,60,88.2
"Avon School District","=""0040011""","Eligible For Free Lunch","*","*","*"
"Avon School District","=""0040011""","Eligible For Reduced Lunch","*","*","*"
"Avon School District","=""0040011""","Not Eligible For Lunch",250,241,96.4
"Berlin School District","=""0070011""","Eligible For Free Lunch",25,20,80.0
"Berlin School District","=""0070011""","Eligible For Reduced Lunch",8,"*","*"
"Berlin School District","=""0070011""","Not Eligible For Lunch",229,"*","*"
"Bethel School District","=""0090011""","Eligible For Free Lunch",25,"*","*"
"Bethel School District","=""0090011""","Eligible For Reduced Lunch",15,"*","*"
"Bethel School District","=""0090011""","Not Eligible For Lunch",194,186,95.9
"Bloomfield School District","=""0110011""","Eligible For Free Lunch",68,54,79.4
"Bloomfield School District","=""0110011""","Eligible For Reduced Lunch",26,"*","*"
"Bloomfield School District","=""0110011""","Not Eligible For Lunch",71,"*","*"
"Bolton School District","=""0120011""","Eligible For Free Lunch","*","*","*"
"Bolton School District","=""0120011""","Eligible For Reduced Lunch","*","*","*"
"Bolton School District","=""0120011""","Not Eligible For Lunch",71,"*","*"
"Branford School District","=""0140011""","Eligible For Free Lunch",38,33,86.8
"Branford School District","=""0140011""","Eligible For Reduced Lunch",21,18,85.7
"Branford School District","=""0140011""","Not Eligible For Lunch",212,199,93.9
"Bridgeport School District","=""0150011""","Eligible For Free Lunch",1144,762,66.6
"Bridgeport School District","=""0150011""","Eligible For Reduced Lunch",72,55,76.4
"Bridgeport School District","=""0150011""","Not Eligible For Lunch",13,10,"*"
"Bristol School District","=""0170011""","Eligible For Free Lunch",166,93,56.0
"Bristol School District","=""0170011""","Eligible For Reduced Lunch",79,61,77.2
"Bristol School District","=""0170011""","Not Eligible For Lunch",390,353,90.5
"Brookfield School District","=""0180011""","Eligible For Free Lunch",19,"*","*"
"Brookfield School District","=""0180011""","Eligible For Reduced Lunch",9,"*","*"
"Brookfield School District","=""0180011""","Not Eligible For Lunch",214,208,97.2
"Canton School District","=""0230011""","Eligible For Free Lunch",8,"*","*"
"Canton School District","=""0230011""","Eligible For Reduced Lunch",8,"*","*"
"Canton School District","=""0230011""","Not Eligible For Lunch",108,102,94.4
