"Classes Taught by High Quality Teachers, 2015-16"
"All Districts"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,"Percent of Classes Taught byHighly Qualified Teachers"
"District Name","District Code","Poverty Quartile","2015-16"
"Achievement First Hartford Academy Inc. District",="2880013","High",73.2
"Amistad Academy District",="2790013","High",69.4
"Andover School District",="0010011","Middle",95.0
"Ansonia School District",="0020011","High",100.0
"Area Cooperative Educational Services",="2440014","High",99.4
"Ashford School District",="0030011","Middle",100.0
"Avon School District",="0040011","Low",100.0
"Barkhamsted School District",="0050011","Low",100.0
"Berlin School District",="0070011","Middle",98.6
"Bethany School District",="0080011","Low",100.0
"Bethel School District",="0090011","Middle",97.8
"Bloomfield School District",="0110011","High",98.9
"Bolton School District",="0120011","Middle",100.0
"Booker T. Washington Academy District",="2950013","High",70.0
"Bozrah School District",="0130011","Middle",100.0
"Branford School District",="0140011","Middle",99.4
"Brass City Charter School District",="2900013","High",97.4
"Bridgeport Achievement First District",="2850013","High",60.5
"Bridgeport School District",="0150011","High",99.0
"Bristol School District",="0170011","High",100.0
"Brookfield School District",="0180011","Low",100.0
"Brooklyn School District",="0190011","Middle",100.0
"Canaan School District",="0210011","Low",100.0
"Canterbury School District",="0220011","Middle",95.6
"Canton School District",="0230011","Middle",100.0
"Capital Preparatory Harbor School Inc. District",="2970013","High",60.0
"Capitol Region Education Council",="2410014","High",99.7
"Chaplin School District",="0240011","Middle",100.0
"Cheshire School District",="0250011","Low",100.0
"Chester School District",="0260011","Middle",100.0
"Clinton School District",="0270011","Middle",100.0
"Colchester School District",="0280011","Middle",100.0
"Colebrook School District",="0290011","Middle",100.0
"Columbia School District",="0300011","Middle",100.0
"Common Ground High School District",="2680013","Middle",100.0
"Connecticut Technical High School System",="9000016","Middle",99.1
"Cooperative Educational Services",="2430014","Middle",100.0
"Cornwall School District",="0310011","Middle",100.0
"Coventry School District",="0320011","Middle",100.0
"Cromwell School District",="0330011","Middle",98.6
"Danbury School District",="0340011","High",99.3
"Darien School District",="0350011","Low",99.5
"Deep River School District",="0360011","Middle",100.0
"Department of Mental Health and Addiction Services",="3370015","High",100.0
"Department of Rehabilitation Services",="3510015","Middle",100.0
"Derby School District",="0370011","High",100.0
"East Granby School District",="0400011","Middle",99.6
"East Haddam School District",="0410011","Middle",100.0
"East Hampton School District",="0420011","Middle",99.0
"East Hartford School District",="0430011","High",99.7
"East Haven School District",="0440011","High",99.2
"East Lyme School District",="0450011","Middle",100.0
"East Windsor School District",="0470011","Middle",100.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",="2530014","Middle",100.0
"Eastford School District",="0390011","Middle",100.0
"Easton School District",="0460011","Low",100.0
"EdAdvance",="2420014","High",100.0
"Ellington School District",="0480011","Low",100.0
"Elm City College Preparatory School District",="2890013","High",57.9
"Elm City Montessori School District",="2910013","Middle",65.3
"Enfield School District",="0490011","Middle",97.8
"Essex School District",="0500011","Low",94.3
"Explorations District",="2720013","Middle",100.0
"Fairfield School District",="0510011","Low",99.8
"Farmington School District",="0520011","Low",100.0
"Franklin School District",="0530011","Middle",100.0
"Glastonbury School District",="0540011","Low",99.4
"Granby School District",="0560011","Low",99.0
"Great Oaks Charter School District",="2940013","High",87.2
"Greenwich School District",="0570011","Middle",98.8
"Griswold School District",="0580011","Middle",98.9
"Groton School District",="0590011","Middle",99.2
"Guilford School District",="0600011","Low",100.0
"Hamden School District",="0620011","Middle",99.6
"Hampton School District",="0630011","Middle",100.0
"Hartford School District",="0640011","High",99.7
"Hartland School District",="0650011","Low",100.0
"Hebron School District",="0670011","Low",100.0
"Highville Charter School District",="2860013","High",82.2
"Integrated Day Charter School District",="2640013","Middle",100.0
"Interdistrict School for Arts and Comm District",="2650013","High",100.0
"Jumoke Academy District",="2610013","Middle",89.1
"Kent School District",="0680011","Middle",100.0
"Killingly School District",="0690011","Middle",97.2
"Learn",="2450014","High",99.8
"Lebanon School District",="0710011","Middle",100.0
"Ledyard School District",="0720011","Middle",99.1
"Lisbon School District",="0730011","Middle",100.0
"Litchfield School District",="0740011","Low",99.0
"Madison School District",="0760011","Low",100.0
"Manchester School District",="0770011","High",99.9
"Mansfield School District",="0780011","Middle",100.0
"Marlborough School District",="0790011","Low",100.0
"Meriden School District",="0800011","High",99.4
"Middletown School District",="0830011","Middle",100.0
"Milford School District",="0840011","Middle",99.3
"Monroe School District",="0850011","Low",100.0
"Montville School District",="0860011","Middle",99.2
"Naugatuck School District",="0880011","High",100.0
