"Classes Taught by High Quality Teachers, 2014-15"
"All Districts"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,"Percent of Classes Taught byHighly Qualified Teachers"
"District Name","District Code","Poverty Quartile","2014-15"
"Achievement First Hartford Academy Inc. District",="2880013","High",74.2
"Amistad Academy District",="2790013","High",81.6
"Andover School District",="0010011","Middle",97.0
"Ansonia School District",="0020011","High",97.8
"Area Cooperative Educational Services",="2440014","High",100.0
"Ashford School District",="0030011","Middle",95.7
"Avon School District",="0040011","Low",99.3
"Barkhamsted School District",="0050011","Low",100.0
"Berlin School District",="0070011","Middle",98.2
"Bethany School District",="0080011","Low",100.0
"Bethel School District",="0090011","Middle",99.3
"Bloomfield School District",="0110011","High",99.2
"Bolton School District",="0120011","Middle",100.0
"Booker T. Washington Academy District",="2950013","High",66.7
"Bozrah School District",="0130011","Middle",100.0
"Branford School District",="0140011","Middle",100.0
"Brass City Charter School District",="2900013","High",100.0
"Bridgeport Achievement First District",="2850013","High",59.5
"Bridgeport School District",="0150011","High",98.7
"Bristol School District",="0170011","High",100.0
"Brookfield School District",="0180011","Low",98.5
"Brooklyn School District",="0190011","Middle",99.4
"Canaan School District",="0210011","Low",100.0
"Canterbury School District",="0220011","Middle",100.0
"Canton School District",="0230011","Low",100.0
"Capitol Region Education Council",="2410014","High",99.1
"Chaplin School District",="0240011","Middle",100.0
"Cheshire School District",="0250011","Low",100.0
"Chester School District",="0260011","Middle",100.0
"Clinton School District",="0270011","Middle",100.0
"Colchester School District",="0280011","Middle",100.0
"Colebrook School District",="0290011","Middle",100.0
"Columbia School District",="0300011","Middle",98.9
"Common Ground High School District",="2680013","High",100.0
"Connecticut Technical High School System",="9000016","Middle",98.6
"Cooperative Educational Services",="2430014","Middle",100.0
"Cornwall School District",="0310011","Middle",100.0
"Coventry School District",="0320011","Middle",98.9
"Cromwell School District",="0330011","Middle",99.8
"Danbury School District",="0340011","High",99.5
"Darien School District",="0350011","Low",100.0
"Deep River School District",="0360011","Middle",100.0
"Department of Rehabilitation Services",="3510015","Middle",100.0
"Derby School District",="0370011","High",98.6
"East Granby School District",="0400011","Low",100.0
"East Haddam School District",="0410011","Middle",100.0
"East Hampton School District",="0420011","Middle",100.0
"East Hartford School District",="0430011","High",100.0
"East Haven School District",="0440011","High",100.0
"East Lyme School District",="0450011","Middle",100.0
"East Windsor School District",="0470011","Middle",97.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",="2530014","Middle",90.3
"Eastford School District",="0390011","Middle",100.0
"Easton School District",="0460011","Low",99.5
"EdAdvance",="2420014","High",100.0
"Ellington School District",="0480011","Low",99.8
"Elm City College Preparatory School District",="2890013","High",55.3
"Enfield School District",="0490011","Middle",98.7
"Essex School District",="0500011","Low",100.0
"Explorations District",="2720013","Middle",100.0
"Fairfield School District",="0510011","Low",100.0
"Farmington School District",="0520011","Middle",99.8
"Franklin School District",="0530011","Middle",100.0
"Glastonbury School District",="0540011","Low",99.1
"Granby School District",="0560011","Low",100.0
"Great Oaks Charter School District",="2940013","High",100.0
"Greenwich School District",="0570011","Middle",98.0
"Griswold School District",="0580011","Middle",99.4
"Groton School District",="0590011","Middle",99.6
"Guilford School District",="0600011","Low",100.0
"Hamden School District",="0620011","Middle",100.0
"Hampton School District",="0630011","Middle",100.0
"Hartford School District",="0640011","High",99.3
"Hartland School District",="0650011","Low",100.0
"Hebron School District",="0670011","Low",100.0
"Highville Charter School District",="2860013","High",90.6
"Integrated Day Charter School District",="2640013","Middle",100.0
"Interdistrict School for Arts and Comm District",="2650013","High",95.2
"Jumoke Academy District",="2610013","High",93.0
"Kent School District",="0680011","Middle",100.0
"Killingly School District",="0690011","Middle",98.2
"Learn",="2450014","High",100.0
"Lebanon School District",="0710011","Middle",98.3
"Ledyard School District",="0720011","Middle",100.0
"Lisbon School District",="0730011","Middle",100.0
"Litchfield School District",="0740011","Middle",100.0
"Madison School District",="0760011","Low",100.0
"Manchester School District",="0770011","High",99.9
"Mansfield School District",="0780011","Middle",100.0
"Marlborough School District",="0790011","Low",94.6
"Meriden School District",="0800011","High",99.6
"Middletown School District",="0830011","High",99.9
"Milford School District",="0840011","Middle",99.1
"Monroe School District",="0850011","Low",100.0
"Montville School District",="0860011","Middle",99.8
"Naugatuck School District",="0880011","Middle",99.9
"New Beginnings Inc Family Academy District",="2800013","High",92.9
"New Beginnings Inc., Family Academy District",="2800013","High",92.9
"New Britain School District",="0890011","High",99.1
"New Canaan School District",="0900011","Low",99.6
"New Fairfield School District",="0910011","Low",100.0
"New Hartford School District",="0920011","Low",100.0
"New Haven School District",="0930011","High",98.6
"New London School District",="0950011","High",95.4
"New Milford School District",="0960011","Middle",99.4
"Newington School District",="0940011","Middle",99.0
"Newtown School District",="0970011","Low",100.0
"Norfolk School District",="0980011","Middle",100.0
"North Branford School District",="0990011","Middle",100.0
"North Canaan School District",="1000011","Middle",100.0
"North Haven School District",="1010011","Middle",99.9
"North Stonington School District",="1020011","Middle",95.6
"Norwalk School District",="1030011","Middle",98.5
"Norwich Free Academy District",="9010022","Middle",99.0
"Norwich School District",="1040011","High",99.2
"Odyssey Community School District",="2630013","Middle",94.2
"Old Saybrook School District",="1060011","Middle",100.0
"Orange School District",="1070011","Low",100.0
"Oxford School District",="1080011","Low",100.0
"Park City Prep Charter School District",="2830013","High",90.9
"Path Academy District",="2930013","High",82.4
"Plainfield School District",="1090011","High",99.8
"Plainville School District",="1100011","Middle",100.0
"Plymouth School District",="1110011","Middle",100.0
"Pomfret School District",="1120011","Middle",100.0
"Portland School District",="1130011","Middle",99.7
"Preston School District",="1140011","Middle",100.0
"Putnam School District",="1160011","High",98.4
"Redding School District",="1170011","Low",98.1
"Regional School District 01",="2010012","Middle",100.0
"Regional School District 04",="2040012","Low",100.0
"Regional School District 05",="2050012","Low",99.0
"Regional School District 06",="2060012","Middle",100.0
"Regional School District 07",="2070012","Low",100.0
"Regional School District 08",="2080012","Low",100.0
"Regional School District 09",="2090012","Low",100.0
"Regional School District 10",="2100012","Low",99.2
"Regional School District 11",="2110012","Middle",96.0
"Regional School District 12",="2120012","Middle",98.3
"Regional School District 13",="2130012","Low",100.0
"Regional School District 14",="2140012","Middle",98.9
"Regional School District 15",="2150012","Low",99.5
"Regional School District 16",="2160012","Middle",100.0
"Regional School District 17",="2170012","Low",100.0
"Regional School District 18",="2180012","Low",100.0
"Regional School District 19",="2190012","Middle",100.0
"Ridgefield School District",="1180011","Low",99.9
"Rocky Hill School District",="1190011","Middle",100.0
"Salem School District",="1210011","Middle",99.5
"Salisbury School District",="1220011","Middle",100.0
"Scotland School District",="1230011","Middle",100.0
"Seymour School District",="1240011","Middle",100.0
"Sharon School District",="1250011","Middle",100.0
"Shelton School District",="1260011","Middle",100.0
"Sherman School District",="1270011","Low",100.0
"Side By Side Charter School District",="2700013","High",100.0
"Simsbury School District",="1280011","Low",99.9
"Somers School District",="1290011","Low",100.0
"South Windsor School District",="1320011","Middle",100.0
"Southington School District",="1310011","Middle",100.0
"Sprague School District",="1330011","High",100.0
"Stafford School District",="1340011","Middle",98.8
"Stamford Academy District",="2820013","High",60.0
"Stamford School District",="1350011","High",99.9
"Sterling School District",="1360011","Middle",94.3
"Stonington School District",="1370011","Middle",96.5
"Stratford School District",="1380011","Middle",100.0
"Suffield School District",="1390011","Middle",98.8
"The Bridge Academy District",="2690013","High",100.0
"The Gilbert School District",="9020022","High",99.0
"Thomaston School District",="1400011","Middle",100.0
"Thompson School District",="1410011","Middle",96.7
