"Classes Taught by High Quality Teachers, 2013-14"
"All Districts"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,"Percent of Classes Taught byHighly Qualified Teachers"
"District Name","District Code","Poverty Quartile","2013-14"
"Achievement First Hartford Academy Inc. District",="2880013","High",56.7
"Amistad Academy District",="2790013","High",74.5
"Andover School District",="0010011","Middle",100.0
"Ansonia School District",="0020011","High",98.9
"Area Cooperative Educational Services",="2440014","High",100.0
"Ashford School District",="0030011","Middle",100.0
"Avon School District",="0040011","Low",99.9
"Barkhamsted School District",="0050011","Low",100.0
"Berlin School District",="0070011","Middle",99.9
"Bethany School District",="0080011","Low",100.0
"Bethel School District",="0090011","Middle",100.0
"Bloomfield School District",="0110011","High",97.5
"Bolton School District",="0120011","Middle",100.0
"Bozrah School District",="0130011","Middle",100.0
"Branford School District",="0140011","Middle",99.9
"Brass City Charter School District",="2900013","High",81.8
"Bridgeport Achievement First District",="2850013","High",64.0
"Bridgeport School District",="0150011","High",99.7
"Bristol School District",="0170011","High",99.4
"Brookfield School District",="0180011","Low",100.0
"Brooklyn School District",="0190011","Middle",100.0
"Canaan School District",="0210011","Low",92.9
"Canterbury School District",="0220011","Middle",100.0
"Canton School District",="0230011","Low",98.7
"Capitol Region Education Council",="2410014","High",98.6
"Chaplin School District",="0240011","Middle",100.0
"Cheshire School District",="0250011","Low",100.0
"Chester School District",="0260011","Middle",100.0
"Clinton School District",="0270011","Middle",99.8
"Colchester School District",="0280011","Middle",99.1
"Colebrook School District",="0290011","Middle",100.0
"Columbia School District",="0300011","Middle",100.0
"Common Ground High School District",="2680013","High",93.1
"Connecticut Technical High School System",="9000016","High",99.4
"Cooperative Educational Services",="2430014","Middle",99.3
"Cornwall School District",="0310011","Middle",100.0
"Coventry School District",="0320011","Middle",100.0
"Cromwell School District",="0330011","Middle",100.0
"Danbury School District",="0340011","High",98.5
"Darien School District",="0350011","Low",99.7
"Deep River School District",="0360011","Middle",100.0
"Derby School District",="0370011","High",99.7
"East Granby School District",="0400011","Low",100.0
"East Haddam School District",="0410011","Middle",100.0
"East Hampton School District",="0420011","Middle",98.5
"East Hartford School District",="0430011","High",99.7
"East Haven School District",="0440011","High",99.9
"East Lyme School District",="0450011","Middle",99.9
"East Windsor School District",="0470011","Middle",96.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",="2530014","Middle",97.5
"Eastford School District",="0390011","Middle",100.0
"Easton School District",="0460011","Low",94.0
"EdAdvance",="2420014","High",100.0
"Ellington School District",="0480011","Low",100.0
"Elm City College Preparatory School District",="2890013","High",51.6
"Enfield School District",="0490011","Middle",99.1
"Essex School District",="0500011","Middle",100.0
"Explorations District",="2720013","Middle",100.0
"Fairfield School District",="0510011","Low",99.7
"Farmington School District",="0520011","Low",98.4
"Franklin School District",="0530011","Middle",100.0
"Glastonbury School District",="0540011","Low",99.0
"Granby School District",="0560011","Low",100.0
"Greenwich School District",="0570011","Middle",98.8
"Griswold School District",="0580011","Middle",99.0
"Groton School District",="0590011","High",99.9
"Guilford School District",="0600011","Low",99.4
"Hamden School District",="0620011","Middle",99.7
"Hampton School District",="0630011","Middle",100.0
"Hartford School District",="0640011","High",99.5
"Hartland School District",="0650011","Low",100.0
"Hebron School District",="0670011","Low",100.0
"Highville Charter School District",="2860013","High",96.6
"Integrated Day Charter School District",="2640013","Middle",100.0
"Interdistrict School for Arts and Comm District",="2650013","High",95.2
"Jumoke Academy District",="2610013","High",97.9
"Kent School District",="0680011","Middle",100.0
"Killingly School District",="0690011","Middle",98.2
"Learn",="2450014","Middle",100.0
"Lebanon School District",="0710011","Middle",100.0
"Ledyard School District",="0720011","Middle",99.6
"Lisbon School District",="0730011","Middle",100.0
"Litchfield School District",="0740011","Middle",100.0
"Madison School District",="0760011","Low",100.0
"Manchester School District",="0770011","High",99.2
"Mansfield School District",="0780011","Middle",99.7
"Marlborough School District",="0790011","Low",100.0
"Meriden School District",="0800011","High",99.7
"Middletown School District",="0830011","High",100.0
"Milford School District",="0840011","Middle",100.0
"Monroe School District",="0850011","Low",100.0
"Montville School District",="0860011","Middle",99.8
"Naugatuck School District",="0880011","Middle",99.3
"New Beginnings Inc Family Academy District",="2800013","High",90.1
"New Beginnings Inc., Family Academy District",="2800013","High",90.1
"New Britain School District",="0890011","High",99.3
"New Canaan School District",="0900011","Low",99.0
"New Fairfield School District",="0910011","Low",100.0
"New Hartford School District",="0920011","Low",100.0
"New Haven School District",="0930011","High",97.9
"New London School District",="0950011","High",95.1
"New Milford School District",="0960011","Middle",99.5
"Newington School District",="0940011","Middle",99.5
"Newtown School District",="0970011","Low",98.4
"Norfolk School District",="0980011","Middle",100.0
"North Branford School District",="0990011","Middle",100.0
"North Canaan School District",="1000011","Middle",100.0
"North Haven School District",="1010011","Middle",100.0
"North Stonington School District",="1020011","Middle",99.1
"Norwalk School District",="1030011","High",99.5
"Norwich Free Academy District",="9010022","Middle",98.6
"Norwich School District",="1040011","High",99.5
"Odyssey Community School District",="2630013","Middle",100.0
"Old Saybrook School District",="1060011","Middle",99.0
"Orange School District",="1070011","Low",100.0
"Oxford School District",="1080011","Low",98.7
"Park City Prep Charter School District",="2830013","High",93.4
"Plainfield School District",="1090011","High",100.0
"Plainville School District",="1100011","Middle",99.8
"Plymouth School District",="1110011","Middle",100.0
"Pomfret School District",="1120011","Middle",100.0
"Portland School District",="1130011","Middle",100.0
"Preston School District",="1140011","Middle",100.0
"Putnam School District",="1160011","High",98.3
"Redding School District",="1170011","Low",99.6
"Regional School District 01",="2010012","Middle",100.0
"Regional School District 04",="2040012","Middle",100.0
"Regional School District 05",="2050012","Low",99.4
"Regional School District 06",="2060012","Middle",97.9
"Regional School District 07",="2070012","Middle",98.7
"Regional School District 08",="2080012","Low",100.0
"Regional School District 09",="2090012","Low",100.0
"Regional School District 10",="2100012","Low",100.0
"Regional School District 11",="2110012","Middle",100.0
"Regional School District 12",="2120012","Low",96.9
"Regional School District 13",="2130012","Low",100.0
"Regional School District 14",="2140012","Middle",100.0
"Regional School District 15",="2150012","Low",100.0
"Regional School District 16",="2160012","Middle",98.2
"Regional School District 17",="2170012","Low",100.0
"Regional School District 18",="2180012","Low",100.0
"Regional School District 19",="2190012","Middle",100.0
"Ridgefield School District",="1180011","Low",99.2
"Rocky Hill School District",="1190011","Middle",99.8
"Salem School District",="1210011","Middle",100.0
"Salisbury School District",="1220011","Middle",100.0
"Scotland School District",="1230011","Middle",100.0
"Seymour School District",="1240011","Middle",100.0
"Sharon School District",="1250011","Middle",100.0
"Shelton School District",="1260011","Middle",99.5
"Sherman School District",="1270011","Low",100.0
"Side By Side Charter School District",="2700013","High",100.0
"Simsbury School District",="1280011","Low",99.0
"Somers School District",="1290011","Low",99.7
"South Windsor School District",="1320011","Middle",99.5
"Southington School District",="1310011","Middle",98.7
"Sprague School District",="1330011","Middle",100.0
"Stafford School District",="1340011","Middle",100.0
"Stamford Academy District",="2820013","High",92.0
"Stamford School District",="1350011","High",99.6
"Sterling School District",="1360011","Middle",100.0
"Stonington School District",="1370011","Middle",99.1
"Stratford School District",="1380011","High",99.7
"Suffield School District",="1390011","Middle",99.0
"The Bridge Academy District",="2690013","High",92.8
"The Gilbert School District",="9020022","High",99.4
"Thomaston School District",="1400011","Middle",100.0
"Thompson School District",="1410011","Middle",98.2
"Tolland School District",="1420011","Low",99.6
"Torrington School District",="1430011","High",99.0
"Trailblazers Academy District",="2780013","High",76.5
"Trumbull School District",="1440011","Low",99.9
"Unified School District #2",="3470015","High",100.0
"Union School District",="1450011","Low",100.0
"Vernon School District",="1460011","High",98.8
"Voluntown School District",="1470011","Middle",98.4
"Wallingford School District",="1480011","Middle",99.9
"Waterbury School District",="1510011","High",99.3
"Waterford School District",="1520011","Middle",100.0
"Watertown School District",="1530011","Middle",99.1
"West Hartford School District",="1550011","Middle",99.4
"West Haven School District",="1560011","High",99.6
"Westbrook School District",="1540011","Middle",100.0
"Weston School District",="1570011","Low",100.0
"Westport School District",="1580011","Low",99.1
"Wethersfield School District",="1590011","Middle",99.1
