"Per Pupil Expenditures, 2005-06"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
"Type","Instructional Staff and Services","Instructional Supplies and Equipment","Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Management","Transportation","Other","Total Expenditures"
"Amistad Academy District",6962,953,125,1961,1081,829,N/A,78,11995
="Andover School District",6011,609,117,307,1279,976,264,0,9842
="Ansonia School District",5487,320,351,566,998,772,351,64,9087
="Ashford School District",6915,271,92,121,966,895,435,76,10760
="Avon School District",6349,218,269,791,861,1102,534,225,10564
="Barkhamsted School District",5837,176,300,122,1005,767,386,12,9392
="Berlin School District",5602,227,278,897,1062,1359,486,207,10307
="Bethany School District",6520,282,431,98,1052,1009,272,0,10159
="Bethel School District",6429,150,703,790,1178,1026,514,88,11247
="Bloomfield School District",7961,546,213,1201,2194,1645,614,186,13633
="Bolton School District",6976,121,534,752,1365,964,599,210,11706
="Bozrah School District",6455,233,47,713,1251,1121,641,89,11702
="Branford School District",6604,332,483,678,1081,977,600,207,11330
="Bridgeport School District",6998,254,223,611,988,1123,515,160,11327
="Bristol School District",6325,232,457,410,1005,886,463,160,10252
="Brookfield School District",6041,182,579,784,1215,1019,433,227,10771
="Brooklyn School District",5702,129,148,761,865,881,634,54,9996
="Canaan School District",11618,977,27,886,2301,1688,610,126,17824
="Canterbury School District",6942,377,123,676,1357,1608,827,29,13264
="Canton School District",6095,281,407,710,1205,1303,590,132,10888
="Chaplin School District",7569,273,268,1255,1466,984,445,19,12784
="Cheshire School District",5961,238,389,619,933,1000,541,157,10117
="Chester School District",6741,254,115,1324,1507,906,172,28,11331
="Clinton School District",7657,439,305,760,1001,856,559,31,11854
="Colchester School District",5388,211,279,740,999,726,647,117,9518
="Colebrook School District",8308,168,279,291,1760,1549,345,100,13664
="Columbia School District",5970,234,257,2173,1023,778,681,75,11846
="Common Ground High School District",6992,226,164,701,1329,747,N/A,613,10784
="Cornwall School District",9766,362,1090,876,2501,1811,1145,0,17636
="Coventry School District",5875,212,425,799,880,858,621,127,9975
="Cromwell School District",7130,172,150,510,1388,936,398,128,10961
="Danbury School District",7017,280,463,625,990,853,496,77,10707
="Darien School District",8474,242,438,417,1314,1340,528,251,13156
="Deep River School District",6170,231,127,1398,1536,1064,137,0,11256
="Derby School District",6155,340,189,736,1659,795,413,152,10699
="East Granby School District",6989,259,532,693,1502,1070,469,193,11919
="East Haddam School District",6202,298,264,668,1306,1471,632,7,11412
="East Hampton School District",5814,224,281,633,1106,1081,672,7,10467
="East Hartford School District",7308,156,152,374,1127,1086,460,76,10329
="East Haven School District",6067,222,321,418,1300,1363,493,219,10931
="East Lyme School District",6543,171,432,403,1107,1381,399,222,10903
="East Windsor School District",5871,206,163,500,1305,917,615,64,9912
="Eastford School District",7230,441,186,991,1768,1170,754,0,13744
="Easton School District",7416,167,114,122,1275,986,627,0,11060
="Ellington School District",6375,127,259,410,821,1183,577,136,10111
="Elm City College Preparatory School",5812,1229,87,552,1463,426,N/A,79,9648
="Enfield School District",6264,122,220,727,993,1124,449,204,10257
="Essex School District",6366,298,94,1202,1446,876,185,4,10398
="Explorations District",4234,119,297,338,1973,1478,N/A,0,8752
="Fairfield School District",7473,284,836,1009,1517,1559,576,166,13576
="Farmington School District",6263,218,381,771,1080,1124,538,198,10867
="Franklin School District",6826,362,45,680,1624,1482,779,4,12808
="Glastonbury School District",5823,150,481,587,1057,1201,560,153,10182
="Granby School District",5906,442,346,638,1032,1062,480,182,10201
="Greenwich School District",10302,368,229,981,1416,1864,439,31,16125
="Griswold School District",5900,238,159,361,1277,1033,689,189,10062
="Groton School District",7276,340,488,1054,1226,1433,685,0,12706
="Guilford School District",6282,184,240,656,1447,1081,575,166,11037
="Hamden School District",7892,243,77,757,1238,1428,715,22,12403
="Hampton School District",7379,600,378,1116,1774,938,563,0,13143
="Hartford School District",8072,346,727,1286,1639,1543,663,0,14590
="Hartland School District",6344,327,511,1438,1555,821,668,496,12329
="Hebron School District",5464,122,309,423,709,730,235,0,8199
="Highville Mustard Seed Charter School District",3275,164,268,1310,1888,1462,N/A,418,8784
="Integrated Day Charter School District",5001,268,926,98,1340,1038,N/A,231,8915
="Interdistrict School for Arts and Comm District",4561,328,121,225,1775,914,N/A,91,8023
="Jumoke Academy District",4042,340,384,1600,2216,999,N/A,1,9582
="Kent School District",8470,305,313,735,1478,1467,676,95,13687
="Killingly School District",6403,268,488,604,1309,1124,568,5,11268
="Lebanon School District",5276,316,291,684,1142,1072,631,114,9776
="Ledyard School District",6460,244,187,649,1320,909,635,143,10758
="Lisbon School District",7323,256,3,152,566,1191,693,81,10902
="Litchfield School District",6561,231,627,1009,1083,1002,598,196,11420
="Madison School District",5606,248,354,660,826,1087,610,247,9979
="Manchester School District",7029,160,291,820,1241,1365,433,168,11661
="Mansfield School District",9114,337,459,873,1741,1361,441,59,14897
="Marlborough School District",6764,274,331,244,1130,895,266,0,10244
="Meriden School District",6585,220,159,852,1238,1233,434,77,11048
