"FTE Staffing Report for Trend"

"",,,,"Year",,,,
"District","School","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","General Education - Teachers and Instructors","Certified",50.6,59.2,57.6,69.0,.
"Amistad Academy District","Amistad Academy","General Education - Teachers and Instructors","Certified",72.1,71.4,71.1,89.3,84.2
="Andover School District",="Andover Elementary School",="General Education - Teachers and Instructors",="Certified",26.3,25.2,24.7,24.7,19.7
="Ansonia School District",="Ansonia High School",="General Education - Teachers and Instructors",="Certified",45.3,43.3,43.9,45.3,44.0
,="Ansonia Middle School",="General Education - Teachers and Instructors",="Certified",24.7,24.7,24.7,23.7,25.7
,="Mead School",="General Education - Teachers and Instructors",="Certified",35.0,33.0,34.0,36.5,37.0
,="Prendergast School",="General Education - Teachers and Instructors",="Certified",42.0,41.0,37.0,39.5,41.5
="Area Cooperative Educational Services",="Mill Road School",="General Education - Teachers and Instructors",="Certified",7.5,8.0,8.0,7.5,7.8
,="Thomas Edison Magnet Middle School",="General Education - Teachers and Instructors",="Certified",54.2,51.1,56.1,53.6,53.6
,="Village School",="General Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,="Whitney High School East",="General Education - Teachers and Instructors",="Certified",1.5,0.5,1.5,1.5,1.5
,="Whitney High School North",="General Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,5.0
,="Whitney High School West",="General Education - Teachers and Instructors",="Certified",1.5,1.5,1.5,1.5,0.5
,="Wintergreen Interdistrict Magnet School",="General Education - Teachers and Instructors",="Certified",38.3,38.3,38.0,39.0,38.2
,="A.C.E.S. Educational Center for the Arts - Part Time",="General Education - Teachers and Instructors",="Certified",.,.,.,.,3.8
="Ashford School District",="Ashford School",="General Education - Teachers and Instructors",="Certified",39.5,39.5,38.6,38.0,39.0
="Avon School District",="Avon High School",="General Education - Teachers and Instructors",="Certified",69.6,69.0,70.5,72.4,72.5
,="Avon Middle School",="General Education - Teachers and Instructors",="Certified",39.5,40.5,39.9,39.7,38.5
,="Pine Grove School",="General Education - Teachers and Instructors",="Certified",30.0,30.9,30.5,32.7,35.0
,="Roaring Brook School",="General Education - Teachers and Instructors",="Certified",33.1,31.7,30.4,32.0,33.8
,="Thompson Brook School",="General Education - Teachers and Instructors",="Certified",32.3,34.8,36.3,35.8,30.5
="Barkhamsted School District",="Barkhamsted Elementary School",="General Education - Teachers and Instructors",="Certified",21.2,20.7,20.5,20.5,21.7
="Berlin School District",="Berlin High School",="General Education - Teachers and Instructors",="Certified",65.5,68.2,71.7,70.9,71.7
,="Catherine M. McGee Middle School",="General Education - Teachers and Instructors",="Certified",54.0,54.0,55.0,52.2,53.0
,="Emma Hart Willard School",="General Education - Teachers and Instructors",="Certified",29.9,28.8,27.7,30.3,30.9
,="Mary E. Griswold School",="General Education - Teachers and Instructors",="Certified",34.4,34.7,34.8,37.3,37.3
,="Richard D. Hubbard School",="General Education - Teachers and Instructors",="Certified",15.8,15.4,15.7,17.9,16.9
