"FTE Staffing Report for Trend"

"",,,,"Year",,,,
"District","School","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Counselors  Social Workers  and School Psychologists","Certified",2.0,2.0,1.0,1.0,.
"Amistad Academy District","Amistad Academy","Counselors  Social Workers  and School Psychologists","Certified",3.0,2.5,3.0,4.8,3.8
="Ansonia School District",="Ansonia High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.6,5.6,5.6,5.0,5.0
,="Ansonia Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,3.0,3.0,3.0
,="Mead School",="Counselors  Social Workers  and School Psychologists",="Certified",2.4,2.4,2.5,2.5,2.5
,="Prendergast School",="Counselors  Social Workers  and School Psychologists",="Certified",2.6,2.6,2.5,2.5,2.5
="Area Cooperative Educational Services",="Mill Road School",="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.0,6.0,5.0,6.0
,="Thomas Edison Magnet Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",5.0,5.0,5.0,5.0,5.0
,="Village School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,2.0,2.0,2.0
,="Whitney High School East",="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.0,4.0,4.0,3.0
,="Whitney High School North",="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,3.0,3.0,3.0
,="Whitney High School West",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,="Wintergreen Interdistrict Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,3.0,3.0,4.0
,="Center for Autism Spectrum and Development Disorders",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,1.0,1.0,2.0
,="A.C.E.S. Educational Center for the Arts - Part Time",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,.,1.0
="Ashford School District",="Ashford School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
="Avon School District",="Avon High School",="Counselors  Social Workers  and School Psychologists",="Certified",9.2,10.0,10.2,10.4,9.9
,="Avon Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,3.0,3.5,3.0
,="Pine Grove School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.5,1.5,1.3,1.0
,="Roaring Brook School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,1.6,1.6,1.3,1.0
,="Thompson Brook School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5,2.5,2.5,2.0,2.0
="Barkhamsted School District",="Barkhamsted Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.1,1.2,1.1,1.4,.
"Berlin School District","Berlin High School","Counselors  Social Workers  and School Psychologists","Certified",8.3,8.3,8.0,8.0,8.2
,="Catherine M. McGee Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0,5.0,5.0,5.0,5.0
,="Emma Hart Willard School",="Counselors  Social Workers  and School Psychologists",="Certified",1.8,1.4,1.4,1.4,1.4
,="Mary E. Griswold School",="Counselors  Social Workers  and School Psychologists",="Certified",1.8,1.4,1.4,1.4,1.4
,="Richard D. Hubbard School",="Counselors  Social Workers  and School Psychologists",="Certified",0.9,0.7,1.0,1.0,1.0
="Bethany School District",="Bethany Community School",="Counselors  Social Workers  and School Psychologists",="Certified",1.8,2.0,2.4,2.4,2.4
="Bethel School District",="Anna H. Rockwell School",="Counselors  Social Workers  and School Psychologists",="Certified",1.9,1.9,1.9,1.9,1.9
,="Bethel High School",="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.6,6.5,7.9,7.9
,="Bethel Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.4,4.4,5.0,3.0
,="Frank A. Berry School",="Counselors  Social Workers  and School Psychologists",="Certified",2.2,2.2,1.4,1.9,1.9
,="Ralph M. T. Johnson School",="Counselors  Social Workers  and School Psychologists",="Certified",1.9,1.9,1.7,2.2,2.2
