"FTE Staffing Report for 2002-03"

"District","School","Assignment Category","Educator Type","FTE Count"
"Amistad Academy District","Amistad Academy","General Education - Teachers and Instructors","Certified",14.9
="Andover School District",="Andover Elementary School",="General Education - Teachers and Instructors",="Certified",23.6
="Ansonia School District",="Ansonia High School",="General Education - Teachers and Instructors",="Certified",37.3
,="Ansonia Middle School",="General Education - Teachers and Instructors",="Certified",34.5
,="Mead School",="General Education - Teachers and Instructors",="Certified",30.0
,="Prendergast School",="General Education - Teachers and Instructors",="Certified",35.0
="Area Cooperative Educational Services",="A. C. E. S. Special Education Town Campus Learning Center",="General Education - Teachers and Instructors",="Certified",20.0
,="Collaborative Alternative Magnet School",="General Education - Teachers and Instructors",="Certified",9.0
,="Thomas Edison Magnet Middle School",="General Education - Teachers and Instructors",="Certified",58.0
,="Wintergreen Interdistrict Magnet School",="General Education - Teachers and Instructors",="Certified",42.0
="Ashford School District",="Ashford School",="General Education - Teachers and Instructors",="Certified",37.0
="Avon School District",="Avon High School",="General Education - Teachers and Instructors",="Certified",57.2
,="Avon Middle School",="General Education - Teachers and Instructors",="Certified",43.0
,="Pine Grove School",="General Education - Teachers and Instructors",="Certified",31.0
,="Roaring Brook School",="General Education - Teachers and Instructors",="Certified",35.4
,="Thompson Brook School",="General Education - Teachers and Instructors",="Certified",32.0
="Barkhamsted School District",="Barkhamsted Elementary School",="General Education - Teachers and Instructors",="Certified",20.1
="Berlin School District",="Berlin High School",="General Education - Teachers and Instructors",="Certified",62.8
,="Catherine M. McGee Middle School",="General Education - Teachers and Instructors",="Certified",52.0
,="Emma Hart Willard School",="General Education - Teachers and Instructors",="Certified",33.5
,="Mary E. Griswold School",="General Education - Teachers and Instructors",="Certified",33.2
,="Richard D. Hubbard School",="General Education - Teachers and Instructors",="Certified",15.9
="Bethany School District",="Bethany Community School",="General Education - Teachers and Instructors",="Certified",39.8
="Bethel School District",="Anna H. Rockwell School",="General Education - Teachers and Instructors",="Certified",26.3
,="Bethel High School",="General Education - Teachers and Instructors",="Certified",55.4
,="Bethel Middle School",="General Education - Teachers and Instructors",="Certified",53.7
,="Frank A. Berry School",="General Education - Teachers and Instructors",="Certified",27.3
,="Ralph M. T. Johnson School",="General Education - Teachers and Instructors",="Certified",31.7
="Bloomfield School District",="Bloomfield High School",="General Education - Teachers and Instructors",="Certified",53.7
,="Carmen Arace Middle School",="General Education - Teachers and Instructors",="Certified",47.7
,="J. P. Vincent School",="General Education - Teachers and Instructors",="Certified",25.0
,="Laurel School",="General Education - Teachers and Instructors",="Certified",20.6
,="Metacomet School",="General Education - Teachers and Instructors",="Certified",19.0
="Bolton School District",="Bolton Center School",="General Education - Teachers and Instructors",="Certified",49.1
,="Bolton High School",="General Education - Teachers and Instructors",="Certified",24.4
="Bozrah School District",="Fields Memorial School",="General Education - Teachers and Instructors",="Certified",19.8
