"FTE Staffing Report for Trend"

"",,,,"Year",,,,
"District","School","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Special Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,0.0,0.0,0.0,0.0
="Amistad Academy District",="Amistad Academy",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,7.0,0.0,0.0,0.0
="Andover School District",="Andover Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,7.5,4.0,4.5,6.0
="Ansonia School District",="Ansonia High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,8.5,7.5,7.0,5.0
,="Ansonia Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,14.0,11.5,13.5,4.0
,="Mead School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,10.0,14.0,15.5,5.0
,="Prendergast School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",22.5,14.5,20.0,16.0,3.0
="Area Cooperative Educational Services",="Thomas Edison Magnet Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.4,1.4,0.7,0.7,2.0
,="Wintergreen Interdistrict Magnet School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,1.5,3.5,5.2,6.2
="Ashford School District",="Ashford School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,12.5,11.0,11.0,11.5
="Avon School District",="Avon High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.5,10.5,13.5,13.5,13.0
,="Avon Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.0,14.0,11.0,10.0,12.0
,="Pine Grove School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",18.6,20.6,20.6,17.0,13.0
,="Roaring Brook School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",21.4,19.2,19.2,16.4,14.0
,="Thompson Brook School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",15.0,15.0,15.0,14.6,13.0
="Barkhamsted School District",="Barkhamsted Elementary School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.2,8.7,8.6,7.6,9.1
="Berlin School District",="Berlin High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.1,11.5,11.7,11.0,10.1
,="Catherine M. McGee Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,10.0,8.8,6.9,10.6
,="Emma Hart Willard School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.6,12.6,12.3,17.4,19.8
,="Mary E. Griswold School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,5.8,6.6,5.8,6.8
,="Richard D. Hubbard School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.8,4.8,5.2,2.4,2.4
="Bethany School District",="Bethany Community School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.6,15.2,15.2,15.3,11.7
="Bethel School District",="Anna H. Rockwell School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,4.0,1.0,4.0,5.0
,="Bethel High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,6.0,6.0,5.0,5.0
,="Bethel Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,5.0,7.0,7.0,10.0
,="Frank A. Berry School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,10.0,11.0,9.0,11.0
,="Ralph M. T. Johnson School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,7.0,7.0,6.0,2.0
="Bloomfield School District",="Bloomfield High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,7.0,6.0,7.0,6.0
,="Carmen Arace Intermediate School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,4.0,5.0,4.0,4.0
,="Carmen Arace Middle School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,5.0,6.0,4.0,3.0
,="J. P. Vincent School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,1.0,.,.,.
,"Laurel School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",5.0,.,3.0,5.0,7.0
,="The Big Picture High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,.,.,.
,"Wintonbury Early Childhood Magnet School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",4.0,5.0,5.0,7.0,5.0
,="Metacomet School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,4.0,3.0,3.0,5.0
,="Global Experience Magnet School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,0.0,0.0,0.0
,="Learning Academy at Bloomfield",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,0.0,0.0
="Bolton School District",="Bolton Center School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",13.0,16.0,15.0,13.2,14.0
,="Bolton High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,6.5,6.5,4.2,7.0
="Bozrah School District",="Fields Memorial School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,7.0,8.0,10.0,8.5
="Branford School District",="Branford High School",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5,11.0,15.0,18.0,20.0
