"FTE Staffing Report for Trend"

"",,,,"Year",,,,
"District","School","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Amistad Academy District","Amistad Academy","Instructional Specialists Who Support Teachers","Certified",3.5,0.3,.,.,.
"Andover School District","Andover Elementary School","Instructional Specialists Who Support Teachers","Certified",1.2,1.4,1.4,1.4,1.4
="Ansonia School District",="Ansonia High School",="Instructional Specialists Who Support Teachers",="Certified",0.1,0.1,3.1,3.1,3.0
,="Ansonia Middle School",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,1.0
,="Mead School",="Instructional Specialists Who Support Teachers",="Certified",2.9,2.9,2.6,2.6,.
,"Prendergast School","Instructional Specialists Who Support Teachers","Certified",4.0,3.0,2.4,3.4,1.0
="Area Cooperative Educational Services",="Mill Road School",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
,="Village School",="Instructional Specialists Who Support Teachers",="Certified",4.0,3.0,4.0,5.0,5.6
,="Whitney High School East",="Instructional Specialists Who Support Teachers",="Certified",3.1,3.1,2.2,2.2,2.2
,="Whitney High School North",="Instructional Specialists Who Support Teachers",="Certified",0.4,0.4,0.4,0.4,0.4
,="Whitney High School West",="Instructional Specialists Who Support Teachers",="Certified",0.5,0.5,0.8,0.8,0.8
,="Wintergreen Interdistrict Magnet School",="Instructional Specialists Who Support Teachers",="Certified",2.3,2.3,2.6,2.6,2.8
,="Center for Autism Spectrum and Development Disorders",="Instructional Specialists Who Support Teachers",="Certified",.,1.0,1.0,.,1.0
,="Thomas Edison Magnet Middle School",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,0.5,0.5
="Ashford School District",="Ashford School",="Instructional Specialists Who Support Teachers",="Certified",1.1,1.1,1.0,1.0,1.0
="Avon School District",="Avon High School",="Instructional Specialists Who Support Teachers",="Certified",1.4,1.7,1.9,1.7,1.3
,="Avon Middle School",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.3,2.7,2.5,1.2
,="Pine Grove School",="Instructional Specialists Who Support Teachers",="Certified",3.9,2.7,3.6,4.1,2.3
,="Roaring Brook School",="Instructional Specialists Who Support Teachers",="Certified",3.6,3.7,3.5,2.6,2.1
,="Thompson Brook School",="Instructional Specialists Who Support Teachers",="Certified",2.1,1.7,1.6,1.7,1.6
="Barkhamsted School District",="Barkhamsted Elementary School",="Instructional Specialists Who Support Teachers",="Certified",0.9,0.9,0.9,1.2,0.5
,="Shared Services Integrated Preschool",="Instructional Specialists Who Support Teachers",="Certified",.,.,.,0.3,.
"Berlin School District","Berlin High School","Instructional Specialists Who Support Teachers","Certified",2.5,2.0,1.7,2.0,2.0
,="Catherine M. McGee Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.6,2.1,1.2,1.2,1.0
,="Emma Hart Willard School",="Instructional Specialists Who Support Teachers",="Certified",3.7,3.7,3.8,3.8,3.0
,="Mary E. Griswold School",="Instructional Specialists Who Support Teachers",="Certified",2.7,2.7,2.5,1.5,2.0
,="Richard D. Hubbard School",="Instructional Specialists Who Support Teachers",="Certified",1.6,1.6,1.7,1.7,2.2
="Bethany School District",="Bethany Community School",="Instructional Specialists Who Support Teachers",="Certified",3.0,3.0,2.8,2.8,1.6
="Bethel School District",="Anna H. Rockwell School",="Instructional Specialists Who Support Teachers",="Certified",1.5,2.0,2.0,2.0,2.0
,="Bethel High School",="Instructional Specialists Who Support Teachers",="Certified",0.4,0.4,.,.,.
,"Bethel Middle School","Instructional Specialists Who Support Teachers","Certified",0.6,0.6,.,1.0,1.0
,="Frank A. Berry School",="Instructional Specialists Who Support Teachers",="Certified",3.5,4.0,4.0,4.0,4.0
,="Ralph M. T. Johnson School",="Instructional Specialists Who Support Teachers",="Certified",0.6,1.9,1.9,1.9,1.8
="Bloomfield School District",="Bloomfield High School",="Instructional Specialists Who Support Teachers",="Certified",0.5,1.5,2.4,3.4,2.7
,="Carmen Arace Intermediate School",="Instructional Specialists Who Support Teachers",="Certified",2.8,2.8,2.7,2.7,3.4
,="Carmen Arace Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.8,1.8,1.5,1.5,1.4
,="J. P. Vincent School",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,.,.,.
,"Laurel School","Instructional Specialists Who Support Teachers","Certified",2.7,0.5,1.3,2.0,1.5
,="Metacomet School",="Instructional Specialists Who Support Teachers",="Certified",.,1.7,2.7,2.0,2.8
,="Wintonbury Early Childhood Magnet School",="Instructional Specialists Who Support Teachers",="Certified",.,1.3,1.5,2.0,2.0
,="Global Experience Magnet School",="Instructional Specialists Who Support Teachers",="Certified",.,.,1.2,2.0,1.2
="Bolton School District",="Bolton Center School",="Instructional Specialists Who Support Teachers",="Certified",4.0,3.5,4.0,4.0,3.0
="Bozrah School District",="Fields Memorial School",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
="Branford School District",="Branford High School",="Instructional Specialists Who Support Teachers",="Certified",0.5,0.5,1.0,1.0,1.0
,="Francis Walsh Intermediate School",="Instructional Specialists Who Support Teachers",="Certified",1.4,1.0,1.4,1.5,1.0
,="Indian Neck School",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,1.0
,="John B. Sliney School",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
,="Mary R. Tisko School",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
,="Mary T. Murphy School",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,1.0
="Bridgeport School District",="Barnum School",="Instructional Specialists Who Support Teachers",="Certified",1.5,3.5,4.4,3.4,2.7
,="Beardsley School",="Instructional Specialists Who Support Teachers",="Certified",4.2,4.2,3.7,3.7,2.1
