"FTE Staffing Report for Trend"

"",,,,"Year",,,,
"District","School","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",35.0,31.0,1025.0,31.0,44.0
="Amistad Academy District",="Amistad Academy",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.0,27.0,41.0,26.0,50.8
="Andover School District",="Andover Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",15.4,15.4,15.4,15.4,15.4
="Ansonia School District",="Ansonia High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23.0,23.0,22.0,22.0,19.5
,="Ansonia Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.9,11.5,10.1,10.6,8.6
,="Mead School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.0,8.0,8.3,7.8,8.3
,="Prendergast School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.5,9.9,10.0,10.2,9.7
="Area Cooperative Educational Services",="Thomas Edison Magnet Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.0,5.0,5.0,5.0,5.0
,="Wintergreen Interdistrict Magnet School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.0,8.5,7.1,7.8,8.1
="Ashford School District",="Ashford School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",24.3,24.9,21.8,19.0,21.7
="Avon School District",="Avon High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",26.5,30.0,26.4,24.1,26.3
,="Avon Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.0,13.1,14.1,11.6,11.5
,="Pine Grove School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.8,11.3,12.3,10.8,8.9
,="Roaring Brook School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.0,11.5,11.5,10.7,9.4
,="Thompson Brook School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.0,11.8,12.8,11.9,11.0
="Barkhamsted School District",="Barkhamsted Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.6,13.3,13.3,13.6,13.8
="Berlin School District",="Berlin High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",26.8,33.6,31.9,25.8,25.4
,="Catherine M. McGee Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",14.6,20.6,19.0,14.6,15.8
,="Emma Hart Willard School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.3,16.6,13.6,11.3,10.6
,="Mary E. Griswold School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.8,11.7,11.6,8.7,8.2
,="Richard D. Hubbard School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.0,7.4,7.4,5.5,5.5
="Bethany School District",="Bethany Community School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.3,12.5,12.5,11.7,9.9
="Bethel School District",="Anna H. Rockwell School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.6,7.6,7.0,7.0,7.0
,="Bethel High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",22.6,22.6,22.6,22.6,22.6
,="Bethel Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",15.6,16.6,16.6,16.6,16.6
,="Frank A. Berry School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.6,8.6,8.6,8.6,8.6
,="Ralph M. T. Johnson School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.6,7.6,7.6,7.6,7.6
="Bloomfield School District",="Bloomfield High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",26.0,25.8,20.3,24.3,23.3
,="Carmen Arace Intermediate School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",14.5,13.3,12.3,12.0,11.8
,="Carmen Arace Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",14.5,13.3,12.3,13.3,12.3
,="J. P. Vincent School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.3,9.3,.,.,.
,"Laurel School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",6.0,.,9.3,9.3,9.3
