"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2014-15"
"State of Connecticut"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2014-15",
"District","Disability","Count","Rate (%)"
"State of Connecticut","All Disabilities",45191,69.7
"State of Connecticut","Autism",3825,51.7
"State of Connecticut","Emotional Disturbance",2191,40.6
"State of Connecticut","Intellectual Disability",857,36.3
"State of Connecticut","Learning Disability",19024,81.4
"State of Connecticut","Other Disabilities",1259,34.5
"State of Connecticut","Other Health Impairment",10380,75.2
"State of Connecticut","Speech Language Impairment",7655,86.2

