"FTE Staffing Report for Trend"

"",,,"Year",,,,
"District","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Special Education - Teachers and Instructors","Certified",1.5,2.0,8.0,6.0,10.0
="Amistad Academy District",="Special Education - Teachers and Instructors",="Certified",3.0,4.0,4.0,11.0,5.8
="Andover School District",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
="Ansonia School District",="Special Education - Teachers and Instructors",="Certified",22.0,22.0,21.0,21.0,21.0
="Area Cooperative Educational Services",="Special Education - Teachers and Instructors",="Certified",89.0,85.5,87.5,87.0,87.5
="Ashford School District",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,5.0,4.0,4.0
="Avon School District",="Special Education - Teachers and Instructors",="Certified",29.0,30.3,30.6,28.8,31.6
="Barkhamsted School District",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,1.0
="Berlin School District",="Special Education - Teachers and Instructors",="Certified",34.3,36.1,34.1,35.1,34.3
="Bethany School District",="Special Education - Teachers and Instructors",="Certified",7.0,5.0,7.0,6.0,6.0
="Bethel School District",="Special Education - Teachers and Instructors",="Certified",30.8,32.8,32.8,33.8,33.8
="Bloomfield School District",="Special Education - Teachers and Instructors",="Certified",25.0,24.0,21.0,22.0,22.0
="Bolton School District",="Special Education - Teachers and Instructors",="Certified",7.1,7.1,7.9,7.8,10.0
="Bozrah School District",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,3.0
="Branford School District",="Special Education - Teachers and Instructors",="Certified",32.5,33.5,34.2,33.0,28.7
="Bridgeport Achievement First District",="Special Education - Teachers and Instructors",="Certified",1.7,1.0,2.5,4.5,8.0
="Bridgeport School District",="Special Education - Teachers and Instructors",="Certified",226.5,225.0,209.0,217.0,202.9
="Bristol School District",="Special Education - Teachers and Instructors",="Certified",79.7,79.7,78.7,78.7,84.2
="Brookfield School District",="Special Education - Teachers and Instructors",="Certified",18.8,20.4,20.8,22.6,21.9
="Brooklyn School District",="Special Education - Teachers and Instructors",="Certified",6.0,8.0,8.0,7.0,7.0
="Canaan School District",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
="Canterbury School District",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
="Canton School District",="Special Education - Teachers and Instructors",="Certified",15.4,16.6,15.6,15.6,16.0
="Capitol Region Education Council",="Special Education - Teachers and Instructors",="Certified",115.8,117.3,140.5,146.6,146.6
="Chaplin School District",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,1.5,2.0,2.0
="Charter School for Young Children on Asylum Hill District",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,.,.,.
"Cheshire School District","Special Education - Teachers and Instructors","Certified",46.1,45.9,44.9,46.4,48.2
="Chester School District",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.5,3.8,3.8
="Clinton School District",="Special Education - Teachers and Instructors",="Certified",26.0,27.0,26.0,26.0,27.0
="Colchester School District",="Special Education - Teachers and Instructors",="Certified",27.5,27.5,25.2,23.0,24.0
="Colebrook School District",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,.,1.0,1.0
="Columbia School District",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,6.0,6.0
="Common Ground High School District",="Special Education - Teachers and Instructors",="Certified",1.0,1.5,1.0,1.0,1.0
="Connecticut Technical High School System",="Special Education - Teachers and Instructors",="Certified",61.3,57.0,62.0,65.6,67.1
="Cooperative Educational Services",="Special Education - Teachers and Instructors",="Certified",63.0,63.8,66.8,67.8,59.8
="Cornwall School District",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
="Coventry School District",="Special Education - Teachers and Instructors",="Certified",19.5,21.0,23.0,22.9,22.0
="Cromwell School District",="Special Education - Teachers and Instructors",="Certified",20.5,20.5,20.5,22.0,24.0
="Danbury School District",="Special Education - Teachers and Instructors",="Certified",91.1,90.6,92.0,95.0,98.6
="Darien School District",="Special Education - Teachers and Instructors",="Certified",61.6,63.4,68.4,65.8,60.5
="Deep River School District",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,3.3
="Derby School District",="Special Education - Teachers and Instructors",="Certified",12.3,13.3,12.0,15.6,15.6
="East Granby School District",="Special Education - Teachers and Instructors",="Certified",8.7,8.0,9.0,10.0,10.1
="East Haddam School District",="Special Education - Teachers and Instructors",="Certified",13.6,13.6,13.6,14.1,12.0
="East Hampton School District",="Special Education - Teachers and Instructors",="Certified",23.0,24.0,23.0,23.6,23.8
="East Hartford School District",="Special Education - Teachers and Instructors",="Certified",75.0,77.0,75.5,75.6,80.0
="East Haven School District",="Special Education - Teachers and Instructors",="Certified",29.0,30.0,29.0,31.0,34.0
="East Lyme School District",="Special Education - Teachers and Instructors",="Certified",35.7,34.5,37.7,35.9,39.0
="East Windsor School District",="Special Education - Teachers and Instructors",="Certified",11.0,12.0,14.5,17.0,17.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Special Education - Teachers and Instructors",="Certified",20.0,19.0,21.4,22.1,20.0
="Eastford School District",="Special Education - Teachers and Instructors",="Certified",2.7,2.6,2.6,2.0,2.0
="Easton School District",="Special Education - Teachers and Instructors",="Certified",11.3,11.3,10.3,11.3,13.0
="EdAdvance",="Special Education - Teachers and Instructors",="Certified",4.8,3.8,5.5,4.3,7.5
="Ellington School District",="Special Education - Teachers and Instructors",="Certified",22.6,25.0,25.0,22.6,24.7
="Elm City College Preparatory School District",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,0.8,0.8,1.0
="Enfield School District",="Special Education - Teachers and Instructors",="Certified",52.8,52.8,53.8,53.8,53.2
="Essex School District",="Special Education - Teachers and Instructors",="Certified",8.0,8.5,10.0,10.0,9.0
="Explorations District",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,2.0,2.0
="Fairfield School District",="Special Education - Teachers and Instructors",="Certified",89.5,89.5,103.0,103.0,103.0
="Farmington School District",="Special Education - Teachers and Instructors",="Certified",32.9,32.9,35.4,36.4,37.6
="Franklin School District",="Special Education - Teachers and Instructors",="Certified",1.6,2.4,1.6,1.6,1.6
="Glastonbury School District",="Special Education - Teachers and Instructors",="Certified",47.5,49.3,45.3,51.3,46.5
="Granby School District",="Special Education - Teachers and Instructors",="Certified",18.5,18.8,18.8,19.8,21.0
="Greenwich School District",="Special Education - Teachers and Instructors",="Certified",98.5,95.8,93.3,95.2,96.5
="Griswold School District",="Special Education - Teachers and Instructors",="Certified",22.2,27.3,26.3,26.3,27.3
="Groton School District",="Special Education - Teachers and Instructors",="Certified",54.3,54.4,53.4,55.3,52.3
="Guilford School District",="Special Education - Teachers and Instructors",="Certified",32.8,33.0,33.0,39.5,41.5
="Hamden School District",="Special Education - Teachers and Instructors",="Certified",62.0,60.1,62.0,61.0,64.0
="Hampton School District",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
="Hartford School District",="Special Education - Teachers and Instructors",="Certified",187.0,189.9,201.3,202.7,209.9
="Hartland School District",="Special Education - Teachers and Instructors",="Certified",1.1,.,1.0,1.0,.
"Hebron School District","Special Education - Teachers and Instructors","Certified",11.0,11.3,10.3,10.5,10.5
="Integrated Day Charter School District",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
="Interdistrict School for Arts and Comm District",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,5.1,5.0,6.0
="Jumoke Academy District",="Special Education - Teachers and Instructors",="Certified",2.0,1.0,1.0,2.0,4.4
="Kent School District",="Special Education - Teachers and Instructors",="Certified",3.5,3.5,3.5,2.5,3.5
="Killingly School District",="Special Education - Teachers and Instructors",="Certified",29.0,30.0,29.0,27.0,26.0
="Learn",="Special Education - Teachers and Instructors",="Certified",32.9,28.0,32.0,36.0,34.7
="Lebanon School District",="Special Education - Teachers and Instructors",="Certified",12.0,12.4,12.4,12.0,12.6
="Ledyard School District",="Special Education - Teachers and Instructors",="Certified",25.0,26.0,25.0,25.0,25.0
="Lisbon School District",="Special Education - Teachers and Instructors",="Certified",6.0,7.4,7.4,6.0,6.3
="Litchfield School District",="Special Education - Teachers and Instructors",="Certified",8.0,9.0,9.0,10.0,10.0
="Madison School District",="Special Education - Teachers and Instructors",="Certified",38.2,37.2,36.2,35.2,37.2
="Manchester School District",="Special Education - Teachers and Instructors",="Certified",69.0,72.0,67.0,65.0,69.0
="Mansfield School District",="Special Education - Teachers and Instructors",="Certified",14.0,14.5,14.5,14.5,15.5
="Marlborough School District",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,4.6,4.6,4.0
="Meriden School District",="Special Education - Teachers and Instructors",="Certified",93.4,91.2,90.4,90.4,88.4
="Middletown School District",="Special Education - Teachers and Instructors",="Certified",51.0,48.0,48.4,47.4,49.4
="Milford School District",="Special Education - Teachers and Instructors",="Certified",94.8,91.6,93.6,87.9,89.4
="Monroe School District",="Special Education - Teachers and Instructors",="Certified",35.9,38.2,36.4,32.3,32.3
="Montville School District",="Special Education - Teachers and Instructors",="Certified",34.2,33.2,31.2,32.2,31.5
="Naugatuck School District",="Special Education - Teachers and Instructors",="Certified",39.0,41.0,39.8,40.8,42.5
="New Beginnings Inc Family Academy District",="Special Education - Teachers and Instructors",="Certified",1.0,.,.,2.0,2.0
="New Britain School District",="Special Education - Teachers and Instructors",="Certified",121.0,119.5,119.0,104.7,96.5
="New Canaan School District",="Special Education - Teachers and Instructors",="Certified",35.3,36.9,35.9,35.7,38.2
="New Fairfield School District",="Special Education - Teachers and Instructors",="Certified",30.9,30.0,27.2,25.2,24.0
="New Hartford School District",="Special Education - Teachers and Instructors",="Certified",7.5,5.8,5.8,6.0,5.8
="New Haven School District",="Special Education - Teachers and Instructors",="Certified",204.9,215.2,217.2,209.2,209.0
="New London School District",="Special Education - Teachers and Instructors",="Certified",39.4,41.3,33.1,36.0,38.4
="New Milford School District",="Special Education - Teachers and Instructors",="Certified",51.6,51.4,49.9,48.0,50.2
="Newington School District",="Special Education - Teachers and Instructors",="Certified",31.5,32.5,33.5,32.5,33.0
="Newtown School District",="Special Education - Teachers and Instructors",="Certified",35.4,37.0,36.0,36.0,36.9
="Norfolk School District",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,2.0,2.0,2.0
="North Branford School District",="Special Education - Teachers and Instructors",="Certified",26.7,25.7,26.0,26.8,23.5
="North Canaan School District",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,5.0
="North Haven School District",="Special Education - Teachers and Instructors",="Certified",35.0,33.0,27.0,25.0,29.0
="North Stonington School District",="Special Education - Teachers and Instructors",="Certified",11.0,9.0,9.0,9.0,9.0
="Norwalk School District",="Special Education - Teachers and Instructors",="Certified",89.1,90.1,84.1,86.3,80.5
="Norwich Free Academy District",="Special Education - Teachers and Instructors",="Certified",20.0,20.0,23.0,22.0,21.0
="Norwich School District",="Special Education - Teachers and Instructors",="Certified",40.0,43.0,43.0,42.0,39.8
="Odyssey Community School District",="Special Education - Teachers and Instructors",="Certified",2.0,4.0,3.0,4.0,3.0
="Office of Early Childhood (OEC)",="Special Education - Teachers and Instructors",="Certified",20.0,11.0,10.0,10.0,.
"Old Saybrook School District","Special Education - Teachers and Instructors","Certified",23.7,23.2,24.4,24.6,23.0
="Orange School District",="Special Education - Teachers and Instructors",="Certified",13.5,13.5,11.8,10.8,11.0
="Oxford School District",="Special Education - Teachers and Instructors",="Certified",17.8,18.8,19.7,20.8,18.1
="Plainfield School District",="Special Education - Teachers and Instructors",="Certified",33.0,34.0,32.0,32.0,32.0
="Plainville School District",="Special Education - Teachers and Instructors",="Certified",27.0,28.0,29.0,32.0,32.0
="Plymouth School District",="Special Education - Teachers and Instructors",="Certified",18.8,19.8,19.8,18.0,16.0
="Pomfret School District",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
="Portland School District",="Special Education - Teachers and Instructors",="Certified",12.0,12.0,12.0,12.0,11.0
="Preston School District",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,4.8,5.0
="Putnam School District",="Special Education - Teachers and Instructors",="Certified",14.6,17.5,18.0,17.0,17.0
="Redding School District",="Special Education - Teachers and Instructors",="Certified",15.5,16.4,16.7,15.7,13.4
="Regional School District 01",="Special Education - Teachers and Instructors",="Certified",3.6,6.0,6.0,6.0,4.8
="Regional School District 04",="Special Education - Teachers and Instructors",="Certified",10.0,9.0,10.0,10.0,11.0
="Regional School District 05",="Special Education - Teachers and Instructors",="Certified",18.0,17.0,17.0,17.0,17.5
="Regional School District 06",="Special Education - Teachers and Instructors",="Certified",9.6,9.7,9.9,9.3,10.7
