"FTE Staffing Report for Trend"

"",,,"Year",,,,
"District","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Amistad Academy District","Instructional Specialists Who Support Teachers","Certified",3.5,0.3,.,.,.
"Andover School District","Instructional Specialists Who Support Teachers","Certified",1.2,1.4,1.4,1.4,1.4
="Ansonia School District",="Instructional Specialists Who Support Teachers",="Certified",9.0,8.0,10.0,11.0,5.0
="Area Cooperative Educational Services",="Instructional Specialists Who Support Teachers",="Certified",12.3,12.3,13.0,13.5,15.3
="Ashford School District",="Instructional Specialists Who Support Teachers",="Certified",1.1,1.1,1.0,1.0,1.0
="Avon School District",="Instructional Specialists Who Support Teachers",="Certified",12.9,12.0,13.2,12.5,9.1
="Barkhamsted School District",="Instructional Specialists Who Support Teachers",="Certified",0.9,0.9,0.9,1.5,0.5
="Berlin School District",="Instructional Specialists Who Support Teachers",="Certified",12.1,12.1,10.8,10.1,10.2
="Bethany School District",="Instructional Specialists Who Support Teachers",="Certified",3.0,3.0,2.8,2.8,1.6
="Bethel School District",="Instructional Specialists Who Support Teachers",="Certified",6.6,8.9,7.9,8.9,8.8
="Bloomfield School District",="Instructional Specialists Who Support Teachers",="Certified",9.7,11.7,13.5,16.6,15.0
="Bolton School District",="Instructional Specialists Who Support Teachers",="Certified",4.0,3.5,4.0,4.0,3.0
="Bozrah School District",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
="Branford School District",="Instructional Specialists Who Support Teachers",="Certified",7.9,7.5,8.4,8.5,6.0
="Bridgeport School District",="Instructional Specialists Who Support Teachers",="Certified",96.3,87.3,83.8,72.5,72.2
="Bristol School District",="Instructional Specialists Who Support Teachers",="Certified",35.3,34.5,35.0,34.1,29.5
="Brookfield School District",="Instructional Specialists Who Support Teachers",="Certified",6.3,7.0,7.6,7.4,5.0
="Brooklyn School District",="Instructional Specialists Who Support Teachers",="Certified",3.0,2.0,2.0,2.0,2.0
="Canaan School District",="Instructional Specialists Who Support Teachers",="Certified",0.5,0.5,0.5,0.5,0.5
="Canterbury School District",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
="Canton School District",="Instructional Specialists Who Support Teachers",="Certified",4.6,6.2,6.2,5.6,6.9
="Capitol Region Education Council",="Instructional Specialists Who Support Teachers",="Certified",30.7,34.2,38.1,50.9,56.7
="Chaplin School District",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,2.0
="Charter School for Young Children on Asylum Hill District",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,.,.,.
"Cheshire School District","Instructional Specialists Who Support Teachers","Certified",13.7,12.7,13.9,15.4,14.9
="Chester School District",="Instructional Specialists Who Support Teachers",="Certified",1.8,1.8,1.9,0.9,0.9
="Clinton School District",="Instructional Specialists Who Support Teachers",="Certified",6.0,5.0,5.4,5.4,7.6
="Colchester School District",="Instructional Specialists Who Support Teachers",="Certified",13.1,14.4,14.2,11.6,12.0
="Colebrook School District",="Instructional Specialists Who Support Teachers",="Certified",0.3,1.3,1.3,1.3,1.0
="Columbia School District",="Instructional Specialists Who Support Teachers",="Certified",2.6,1.6,1.5,1.3,4.4
="Connecticut Technical High School System",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,2.0,2.0,.
"Cooperative Educational Services","Instructional Specialists Who Support Teachers","Certified",13.3,12.3,13.3,11.8,15.3
="Cornwall School District",="Instructional Specialists Who Support Teachers",="Certified",0.5,0.5,0.5,0.5,0.5
="Coventry School District",="Instructional Specialists Who Support Teachers",="Certified",5.4,5.3,3.9,5.4,7.4
="Cromwell School District",="Instructional Specialists Who Support Teachers",="Certified",6.0,8.0,8.0,8.0,8.0
="Danbury School District",="Instructional Specialists Who Support Teachers",="Certified",38.4,38.3,39.9,41.9,48.3
="Darien School District",="Instructional Specialists Who Support Teachers",="Certified",28.0,23.9,21.0,21.0,29.1
="Deep River School District",="Instructional Specialists Who Support Teachers",="Certified",2.0,1.0,1.0,1.0,1.0
="Derby School District",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,4.0,4.0,3.0
="East Granby School District",="Instructional Specialists Who Support Teachers",="Certified",1.4,1.4,1.4,1.4,1.4
="East Haddam School District",="Instructional Specialists Who Support Teachers",="Certified",2.0,3.0,2.2,2.5,4.0
="East Hampton School District",="Instructional Specialists Who Support Teachers",="Certified",5.0,5.0,5.0,6.0,4.4
="East Hartford School District",="Instructional Specialists Who Support Teachers",="Certified",32.8,32.2,31.8,41.4,49.4
="East Haven School District",="Instructional Specialists Who Support Teachers",="Certified",9.6,9.6,11.6,14.8,15.8
="East Lyme School District",="Instructional Specialists Who Support Teachers",="Certified",5.0,4.0,3.0,3.0,4.0
="East Windsor School District",="Instructional Specialists Who Support Teachers",="Certified",4.4,4.4,6.4,6.0,5.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Instructional Specialists Who Support Teachers",="Certified",2.3,2.4,3.3,4.5,3.7
="Easton School District",="Instructional Specialists Who Support Teachers",="Certified",6.6,6.2,5.6,6.2,6.6
="EdAdvance",="Instructional Specialists Who Support Teachers",="Certified",0.3,.,.,.,.
"Ellington School District","Instructional Specialists Who Support Teachers","Certified",10.3,10.5,10.3,9.5,12.2
="Enfield School District",="Instructional Specialists Who Support Teachers",="Certified",10.6,12.1,12.1,12.6,15.1
="Essex School District",="Instructional Specialists Who Support Teachers",="Certified",3.5,3.9,3.5,5.1,5.1
="Fairfield School District",="Instructional Specialists Who Support Teachers",="Certified",51.7,74.6,71.3,71.4,69.4
="Farmington School District",="Instructional Specialists Who Support Teachers",="Certified",11.0,11.6,14.5,19.1,19.9
="Franklin School District",="Instructional Specialists Who Support Teachers",="Certified",0.8,0.8,0.8,0.8,0.8
="Glastonbury School District",="Instructional Specialists Who Support Teachers",="Certified",12.8,10.8,13.3,13.6,12.8
="Granby School District",="Instructional Specialists Who Support Teachers",="Certified",7.4,7.2,11.3,10.3,10.7
="Greenwich School District",="Instructional Specialists Who Support Teachers",="Certified",44.5,44.5,45.9,47.4,47.9
="Griswold School District",="Instructional Specialists Who Support Teachers",="Certified",5.3,5.8,5.8,5.8,8.5
="Groton School District",="Instructional Specialists Who Support Teachers",="Certified",13.0,12.0,12.0,12.0,12.0
="Guilford School District",="Instructional Specialists Who Support Teachers",="Certified",11.0,12.0,13.0,15.0,15.0
="Hamden School District",="Instructional Specialists Who Support Teachers",="Certified",27.2,27.1,28.9,32.0,33.9
="Hampton School District",="Instructional Specialists Who Support Teachers",="Certified",0.7,0.7,0.5,.,.
"Hartford School District","Instructional Specialists Who Support Teachers","Certified",112.5,118.4,114.6,137.1,166.4
="Hartland School District",="Instructional Specialists Who Support Teachers",="Certified",0.2,0.5,0.3,0.2,.
"Hebron School District","Instructional Specialists Who Support Teachers","Certified",7.9,7.9,6.9,7.0,6.0
="Highville Charter School District",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,2.0,1.2,1.0
="Kent School District",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
="Killingly School District",="Instructional Specialists Who Support Teachers",="Certified",6.8,7.7,7.7,6.8,7.1
="Learn",="Instructional Specialists Who Support Teachers",="Certified",8.5,7.2,5.9,10.6,23.2
="Lebanon School District",="Instructional Specialists Who Support Teachers",="Certified",3.0,3.0,3.5,3.5,2.2
="Ledyard School District",="Instructional Specialists Who Support Teachers",="Certified",10.0,9.0,7.4,7.4,9.0
="Lisbon School District",="Instructional Specialists Who Support Teachers",="Certified",1.8,1.9,1.9,1.7,1.6
="Litchfield School District",="Instructional Specialists Who Support Teachers",="Certified",3.0,3.0,3.0,2.0,3.0
="Madison School District",="Instructional Specialists Who Support Teachers",="Certified",11.5,12.3,10.3,11.8,13.5
="Manchester School District",="Instructional Specialists Who Support Teachers",="Certified",30.4,30.4,43.4,39.6,42.6
="Mansfield School District",="Instructional Specialists Who Support Teachers",="Certified",7.0,7.5,7.5,7.5,6.5
="Marlborough School District",="Instructional Specialists Who Support Teachers",="Certified",3.0,5.0,4.5,3.5,3.0
="Meriden School District",="Instructional Specialists Who Support Teachers",="Certified",22.6,22.6,21.6,22.6,21.5
="Middletown School District",="Instructional Specialists Who Support Teachers",="Certified",22.0,21.0,20.5,21.0,21.5
="Milford School District",="Instructional Specialists Who Support Teachers",="Certified",36.4,35.5,40.9,43.1,41.8
="Monroe School District",="Instructional Specialists Who Support Teachers",="Certified",7.1,8.4,14.5,11.6,12.7
="Montville School District",="Instructional Specialists Who Support Teachers",="Certified",6.8,6.0,5.9,5.9,7.9
="Naugatuck School District",="Instructional Specialists Who Support Teachers",="Certified",14.5,14.0,14.5,15.5,13.5
="New Britain School District",="Instructional Specialists Who Support Teachers",="Certified",28.0,31.0,28.0,18.5,19.0
="New Canaan School District",="Instructional Specialists Who Support Teachers",="Certified",19.8,23.0,23.3,23.3,24.3
="New Fairfield School District",="Instructional Specialists Who Support Teachers",="Certified",6.0,6.0,7.3,6.0,8.0
="New Hartford School District",="Instructional Specialists Who Support Teachers",="Certified",2.8,2.5,2.5,2.4,1.0
="New Haven School District",="Instructional Specialists Who Support Teachers",="Certified",98.0,76.0,78.0,71.0,127.0
="New London School District",="Instructional Specialists Who Support Teachers",="Certified",10.3,12.1,10.1,10.9,11.4
="New Milford School District",="Instructional Specialists Who Support Teachers",="Certified",14.3,16.4,16.7,17.8,18.0
="Newington School District",="Instructional Specialists Who Support Teachers",="Certified",14.2,14.2,15.2,18.2,19.2
="Newtown School District",="Instructional Specialists Who Support Teachers",="Certified",24.1,22.7,24.2,22.1,18.1
="Norfolk School District",="Instructional Specialists Who Support Teachers",="Certified",1.2,1.4,1.3,1.4,0.7
="North Branford School District",="Instructional Specialists Who Support Teachers",="Certified",8.7,8.7,7.1,5.3,5.4
="North Canaan School District",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
="North Haven School District",="Instructional Specialists Who Support Teachers",="Certified",9.5,11.9,11.1,10.6,11.6
="North Stonington School District",="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,2.4
="Norwalk School District",="Instructional Specialists Who Support Teachers",="Certified",29.0,28.0,20.0,23.0,21.0
="Norwich Free Academy District",="Instructional Specialists Who Support Teachers",="Certified",0.6,0.6,0.6,0.8,0.3
="Norwich School District",="Instructional Specialists Who Support Teachers",="Certified",11.0,10.2,11.4,15.0,17.0
="Office of Early Childhood (OEC)",="Instructional Specialists Who Support Teachers",="Certified",3.0,3.0,3.0,2.0,.
"Old Saybrook School District","Instructional Specialists Who Support Teachers","Certified",5.0,4.0,4.0,5.0,5.0
="Orange School District",="Instructional Specialists Who Support Teachers",="Certified",7.6,9.1,10.1,9.8,10.8
="Oxford School District",="Instructional Specialists Who Support Teachers",="Certified",3.0,3.4,3.4,3.8,4.8
="Plainfield School District",="Instructional Specialists Who Support Teachers",="Certified",5.0,4.0,3.0,3.0,3.0
="Plainville School District",="Instructional Specialists Who Support Teachers",="Certified",5.0,5.0,5.6,5.6,13.0
="Plymouth School District",="Instructional Specialists Who Support Teachers",="Certified",2.4,3.5,3.9,3.8,13.2
="Pomfret School District",="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,2.0,1.0
="Portland School District",="Instructional Specialists Who Support Teachers",="Certified",2.0,3.0,3.0,3.0,3.0
="Preston School District",="Instructional Specialists Who Support Teachers",="Certified",1.6,1.6,1.6,1.8,2.4
="Putnam School District",="Instructional Specialists Who Support Teachers",="Certified",4.8,4.8,4.8,4.8,5.6
