"FTE Staffing Report for Trend"

"",,,"Year",,,,
"District","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","General Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,0.0,0.0,0.0,0.0
="Amistad Academy District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,5.0,7.0,13.0,10.5
="Andover School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.5,0.5,3.5,3.0,2.0
="Ansonia School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",45.5,42.0,27.0,36.0,28.5
="Area Cooperative Educational Services",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.3,24.2,26.3,24.6,23.4
="Ashford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,6.5,9.0,6.5,7.0
="Avon School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5,15.9,11.4,14.6,24.7
="Barkhamsted School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.6,3.8,2.8,2.8,2.8
="Berlin School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.7,15.1,20.4,18.6,21.8
="Bethany School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.8,1.8,1.8,2.1,1.5
="Bethel School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",22.0,16.0,16.0,15.0,16.0
="Bloomfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",38.0,41.5,33.0,37.0,42.0
="Bolton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.2,5.6,3.2,8.8,8.5
="Bozrah School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Branford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",18.0,24.7,26.1,118.0,141.5
="Bridgeport Achievement First District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,7.5,6.5,7.0,.
