"FTE Staffing Report for Trend"

"",,,"Year",,,,
"District","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Counselors  Social Workers  and School Psychologists","Certified",2.0,2.0,2.0,2.0,3.0
="Amistad Academy District",="Counselors  Social Workers  and School Psychologists",="Certified",3.0,2.5,3.0,4.8,3.8
="Ansonia School District",="Counselors  Social Workers  and School Psychologists",="Certified",13.6,13.6,13.6,13.0,13.0
="Area Cooperative Educational Services",="Counselors  Social Workers  and School Psychologists",="Certified",27.0,27.0,27.0,26.0,28.0
="Ashford School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
="Avon School District",="Counselors  Social Workers  and School Psychologists",="Certified",17.2,18.6,19.7,19.5,17.9
="Barkhamsted School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.1,1.2,1.1,1.4,.
"Berlin School District","Counselors  Social Workers  and School Psychologists","Certified",16.8,16.9,16.9,16.8,17.0
="Bethany School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.8,2.0,2.4,2.4,2.4
="Bethel School District",="Counselors  Social Workers  and School Psychologists",="Certified",16.0,17.0,15.9,18.9,16.9
="Bloomfield School District",="Counselors  Social Workers  and School Psychologists",="Certified",21.8,18.8,19.0,21.0,21.0
="Bolton School District",="Counselors  Social Workers  and School Psychologists",="Certified",5.9,6.3,4.8,6.5,6.7
="Bozrah School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.5,0.5,0.8,0.8,0.9
="Branford School District",="Counselors  Social Workers  and School Psychologists",="Certified",17.5,17.5,17.5,17.0,15.4
="Bridgeport Achievement First District",="Counselors  Social Workers  and School Psychologists",="Certified",0.5,1.5,1.5,1.5,1.0
="Bridgeport School District",="Counselors  Social Workers  and School Psychologists",="Certified",126.2,115.6,107.8,112.4,117.6
="Bristol School District",="Counselors  Social Workers  and School Psychologists",="Certified",36.2,35.2,36.1,35.2,35.2
="Brookfield School District",="Counselors  Social Workers  and School Psychologists",="Certified",14.3,14.3,15.0,16.0,16.0
="Brooklyn School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.5,2.5,2.0,2.0,2.0
="Canaan School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.6,0.6,0.6,0.5,0.5
="Canterbury School District",="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,3.0,3.0,2.0
="Canton School District",="Counselors  Social Workers  and School Psychologists",="Certified",9.9,9.9,8.7,9.7,9.1
="Capitol Region Education Council",="Counselors  Social Workers  and School Psychologists",="Certified",41.6,44.3,49.6,58.3,64.4
="Chaplin School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
="Charter School for Young Children on Asylum Hill District",="Counselors  Social Workers  and School Psychologists",="Certified",0.6,0.6,.,.,.
"Cheshire School District","Counselors  Social Workers  and School Psychologists","Certified",21.0,21.6,22.6,22.1,22.6
="Chester School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.2,1.2,1.3,1.3
="Clinton School District",="Counselors  Social Workers  and School Psychologists",="Certified",9.5,12.0,11.5,11.0,12.0
="Colchester School District",="Counselors  Social Workers  and School Psychologists",="Certified",17.6,17.8,16.8,17.8,15.2
="Colebrook School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.4,0.4,0.4,0.7,.
"Columbia School District","Counselors  Social Workers  and School Psychologists","Certified",3.0,2.0,3.0,3.0,3.0
="Common Ground High School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.5,0.5,0.5,0.5,0.8
="Connecticut Technical High School System",="Counselors  Social Workers  and School Psychologists",="Certified",77.9,76.9,79.9,83.9,93.8
="Cooperative Educational Services",="Counselors  Social Workers  and School Psychologists",="Certified",18.2,19.7,19.7,20.7,18.7
="Cornwall School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.9,0.9,0.9,0.5,0.5
="Coventry School District",="Counselors  Social Workers  and School Psychologists",="Certified",11.2,11.8,11.8,11.8,12.0
="Cromwell School District",="Counselors  Social Workers  and School Psychologists",="Certified",8.0,9.0,9.0,9.4,10.0
="Danbury School District",="Counselors  Social Workers  and School Psychologists",="Certified",49.0,49.6,49.6,53.2,56.3
="Darien School District",="Counselors  Social Workers  and School Psychologists",="Certified",23.2,24.2,26.2,26.3,28.0
="Deep River School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.4,1.4,1.4,1.5,1.5
="Derby School District",="Counselors  Social Workers  and School Psychologists",="Certified",8.0,8.0,9.0,10.0,9.0
="East Granby School District",="Counselors  Social Workers  and School Psychologists",="Certified",5.3,5.3,5.5,5.5,4.0
="East Haddam School District",="Counselors  Social Workers  and School Psychologists",="Certified",7.0,7.0,7.0,7.0,7.0
="East Hampton School District",="Counselors  Social Workers  and School Psychologists",="Certified",11.0,11.0,10.0,11.0,10.8
="East Hartford School District",="Counselors  Social Workers  and School Psychologists",="Certified",36.6,39.6,34.0,35.0,43.0
="East Haven School District",="Counselors  Social Workers  and School Psychologists",="Certified",18.4,19.4,20.4,21.4,21.9
="East Lyme School District",="Counselors  Social Workers  and School Psychologists",="Certified",15.0,15.5,14.5,15.5,15.5
