"FTE Staffing Report for Trend"

"",,,"Year",,,,
"District","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Administrators  Coordinators and Department Chairs - School Level","Certified",6.9,7.8,12.0,15.0,1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,3.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="General Education - Teachers and Instructors",="Certified",50.6,59.2,63.6,75.0,79.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",35.0,31.0,1054.0,31.0,46.0
,="School Nurses",="Non-Certified",1.5,1.0,2.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Special Education - Teachers and Instructors",="Certified",1.5,2.0,8.0,6.0,10.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",.,.,.,.,12.0
="Amistad Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.8,13.1,14.3,16.1,11.6
,="Counselors  Social Workers  and School Psychologists",="Certified",3.0,2.5,3.0,4.8,3.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,5.0,7.0,13.0,10.5
,="General Education - Teachers and Instructors",="Certified",72.1,71.4,72.1,89.3,84.2
,="Library/Media - Support Staff",="Non-Certified",0.0,1.0,1.0,1.0,0.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.0,27.0,41.0,26.0,50.8
,="School Nurses",="Non-Certified",3.0,2.0,3.0,3.0,4.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,7.0,0.0,0.0,0.0
,="Special Education - Teachers and Instructors",="Certified",3.0,4.0,4.0,11.0,5.8
,="Instructional Specialists Who Support Teachers",="Certified",3.5,0.3,.,.,.
,"Library/Media - Specialists (Certified)","Certified",.,0.5,0.5,0.5,.
"Andover School District","Administrators  Coordinators and Department Chairs - School Level","Certified",2.0,2.0,2.0,2.0,2.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.5,0.5,3.5,3.0,2.0
,="General Education - Teachers and Instructors",="Certified",26.3,25.2,24.7,24.7,19.7
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",15.4,15.4,15.4,15.4,15.4
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,7.5,4.0,4.5,6.0
,="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,="Instructional Specialists Who Support Teachers",="Certified",1.2,1.4,1.4,1.4,1.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.3,0.6,0.6,0.6,0.6
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Ansonia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0,8.0,8.0,8.0,8.3
,="Counselors  Social Workers  and School Psychologists",="Certified",13.6,13.6,13.6,13.0,13.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",45.5,42.0,27.0,36.0,28.5
,="General Education - Teachers and Instructors",="Certified",147.0,142.0,139.6,145.0,148.2
,="Library/Media - Support Staff",="Non-Certified",4.0,4.0,4.0,4.0,3.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",93.5,91.5,90.0,91.2,91.7
,="School Nurses",="Non-Certified",4.5,4.5,4.5,4.5,4.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",46.5,47.0,53.0,52.0,17.0
,="Special Education - Teachers and Instructors",="Certified",22.0,22.0,21.0,21.0,21.0
,="Instructional Specialists Who Support Teachers",="Certified",9.0,8.0,10.0,11.0,5.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0,6.0,5.0,5.0,6.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Area Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.0,11.0,13.0,12.0,13.0
,="Counselors  Social Workers  and School Psychologists",="Certified",27.0,27.0,27.0,26.0,28.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.3,24.2,26.3,24.6,23.4
,="General Education - Teachers and Instructors",="Certified",116.7,111.1,116.8,114.8,114.3
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
