"FTE Staffing Report for Trend"

"",,,"Year",,,,
"District","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","General Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",1.5,1.0,2.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Amistad Academy District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,5.0,7.0,13.0,10.5
,="Library/Media - Support Staff",="Non-Certified",0.0,1.0,1.0,1.0,0.5
,="School Nurses",="Non-Certified",3.0,2.0,3.0,3.0,4.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,7.0,0.0,0.0,0.0
="Andover School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.5,0.5,3.5,3.0,2.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,7.5,4.0,4.5,6.0
="Ansonia School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",45.5,42.0,27.0,36.0,28.5
,="Library/Media - Support Staff",="Non-Certified",4.0,4.0,4.0,4.0,3.0
,="School Nurses",="Non-Certified",4.5,4.5,4.5,4.5,4.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",46.5,47.0,53.0,52.0,17.0
="Area Cooperative Educational Services",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.3,24.2,26.3,24.6,23.4
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="School Nurses",="Non-Certified",5.0,5.0,4.6,6.0,5.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.9,2.9,4.2,5.9,8.2
