"FTE Staffing Report for Trend"

"",,,"Year",,,,
"District","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","General Education - Teachers and Instructors","Certified",50.6,59.2,63.6,75.0,79.0
="Amistad Academy District",="General Education - Teachers and Instructors",="Certified",72.1,71.4,72.1,89.3,84.2
="Andover School District",="General Education - Teachers and Instructors",="Certified",26.3,25.2,24.7,24.7,19.7
="Ansonia School District",="General Education - Teachers and Instructors",="Certified",147.0,142.0,139.6,145.0,148.2
="Area Cooperative Educational Services",="General Education - Teachers and Instructors",="Certified",116.7,111.1,116.8,114.8,114.3
="Ashford School District",="General Education - Teachers and Instructors",="Certified",39.5,39.5,38.6,38.0,39.0
="Avon School District",="General Education - Teachers and Instructors",="Certified",204.3,206.8,207.5,212.5,210.3
="Barkhamsted School District",="General Education - Teachers and Instructors",="Certified",21.2,20.7,20.5,20.5,21.7
="Berlin School District",="General Education - Teachers and Instructors",="Certified",199.6,201.1,204.9,208.5,210.4
="Bethany School District",="General Education - Teachers and Instructors",="Certified",37.9,36.9,36.9,36.0,33.6
="Bethel School District",="General Education - Teachers and Instructors",="Certified",189.8,189.2,191.6,191.2,185.5
="Bloomfield School District",="General Education - Teachers and Instructors",="Certified",177.0,178.1,183.2,181.4,171.5
="Bolton School District",="General Education - Teachers and Instructors",="Certified",63.5,64.1,61.3,59.0,61.8
="Bozrah School District",="General Education - Teachers and Instructors",="Certified",18.0,17.5,18.5,19.0,19.0
="Branford School District",="General Education - Teachers and Instructors",="Certified",236.3,227.1,244.8,236.5,223.1
="Bridgeport Achievement First District",="General Education - Teachers and Instructors",="Certified",29.9,40.0,48.0,52.5,50.5
="Bridgeport School District",="General Education - Teachers and Instructors",="Certified",1133.3,1098.7,1076.9,1107.3,1124.6
="Bristol School District",="General Education - Teachers and Instructors",="Certified",503.9,495.1,464.1,456.4,476.0
="Brookfield School District",="General Education - Teachers and Instructors",="Certified",177.6,181.0,179.2,179.2,180.1
="Brooklyn School District",="General Education - Teachers and Instructors",="Certified",57.4,59.3,58.5,59.5,57.7
="Canaan School District",="General Education - Teachers and Instructors",="Certified",11.1,11.9,11.8,10.9,10.5
="Canterbury School District",="General Education - Teachers and Instructors",="Certified",38.8,38.4,39.0,37.1,37.6
="Canton School District",="General Education - Teachers and Instructors",="Certified",104.6,102.5,102.9,99.9,97.3
="Capitol Region Education Council",="General Education - Teachers and Instructors",="Certified",323.5,379.7,465.4,522.8,578.8
="Chaplin School District",="General Education - Teachers and Instructors",="Certified",15.9,16.4,15.4,15.4,17.1
="Charter School for Young Children on Asylum Hill District",="General Education - Teachers and Instructors",="Certified",12.9,12.9,.,.,.
"Cheshire School District","General Education - Teachers and Instructors","Certified",270.8,272.2,276.2,279.9,277.7
="Chester School District",="General Education - Teachers and Instructors",="Certified",22.6,21.5,19.9,19.5,19.1
="Clinton School District",="General Education - Teachers and Instructors",="Certified",140.1,141.3,142.9,142.9,142.9
="Colchester School District",="General Education - Teachers and Instructors",="Certified",195.3,186.4,181.4,180.3,175.8
="Colebrook School District",="General Education - Teachers and Instructors",="Certified",8.2,8.2,8.2,8.4,7.4
="Columbia School District",="General Education - Teachers and Instructors",="Certified",41.8,38.6,38.0,33.4,32.9
="Common Ground High School District",="General Education - Teachers and Instructors",="Certified",12.5,14.2,15.2,15.4,15.8
="Connecticut Technical High School System",="General Education - Teachers and Instructors",="Certified",933.8,903.4,949.1,957.1,916.4
="Cooperative Educational Services",="General Education - Teachers and Instructors",="Certified",41.5,47.9,47.1,46.6,40.0
="Cornwall School District",="General Education - Teachers and Instructors",="Certified",14.8,15.2,15.2,15.2,15.2
="Coventry School District",="General Education - Teachers and Instructors",="Certified",108.2,112.6,117.7,116.0,116.4
="Cromwell School District",="General Education - Teachers and Instructors",="Certified",128.7,132.8,130.8,131.4,128.0
="Danbury School District",="General Education - Teachers and Instructors",="Certified",575.5,576.2,586.3,603.7,641.0
="Darien School District",="General Education - Teachers and Instructors",="Certified",322.7,326.3,329.2,331.9,350.5
="Deep River School District",="General Education - Teachers and Instructors",="Certified",26.6,26.6,26.6,26.8,25.2
="Derby School District",="General Education - Teachers and Instructors",="Certified",89.4,85.5,86.2,86.9,93.3
="East Granby School District",="General Education - Teachers and Instructors",="Certified",61.2,59.8,63.9,64.7,62.4
="East Haddam School District",="General Education - Teachers and Instructors",="Certified",91.0,88.4,89.7,98.4,83.0
="East Hampton School District",="General Education - Teachers and Instructors",="Certified",123.4,122.4,121.6,121.4,120.2
="East Hartford School District",="General Education - Teachers and Instructors",="Certified",467.7,468.7,452.6,452.5,443.1
="East Haven School District",="General Education - Teachers and Instructors",="Certified",206.4,212.4,203.4,195.8,201.0
="East Lyme School District",="General Education - Teachers and Instructors",="Certified",206.3,193.7,197.2,200.8,208.2
="East Windsor School District",="General Education - Teachers and Instructors",="Certified",85.1,86.9,93.9,87.9,90.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="General Education - Teachers and Instructors",="Certified",21.3,25.8,27.2,28.3,28.1
="Eastford School District",="General Education - Teachers and Instructors",="Certified",13.9,13.3,13.4,13.0,13.3
="Easton School District",="General Education - Teachers and Instructors",="Certified",65.7,66.8,65.4,61.8,65.8
="EdAdvance",="General Education - Teachers and Instructors",="Certified",6.0,6.0,5.0,5.0,4.0
="Ellington School District",="General Education - Teachers and Instructors",="Certified",153.3,155.8,158.0,159.4,165.5
="Elm City College Preparatory School District",="General Education - Teachers and Instructors",="Certified",38.0,42.5,40.0,33.0,38.0
="Enfield School District",="General Education - Teachers and Instructors",="Certified",392.9,376.1,373.0,371.5,356.7
="Essex School District",="General Education - Teachers and Instructors",="Certified",38.3,40.4,36.3,34.1,33.6
="Explorations District",="General Education - Teachers and Instructors",="Certified",6.8,6.8,7.1,7.6,7.8
="Fairfield School District",="General Education - Teachers and Instructors",="Certified",691.5,681.3,692.3,689.8,686.9
="Farmington School District",="General Education - Teachers and Instructors",="Certified",264.8,267.0,272.3,278.2,272.3
="Franklin School District",="General Education - Teachers and Instructors",="Certified",15.5,12.5,13.5,11.9,12.0
="Glastonbury School District",="General Education - Teachers and Instructors",="Certified",394.4,407.3,418.4,419.3,395.8
="Granby School District",="General Education - Teachers and Instructors",="Certified",134.7,133.7,131.2,129.0,129.6
="Greenwich School District",="General Education - Teachers and Instructors",="Certified",634.8,641.5,632.9,639.7,649.9
="Griswold School District",="General Education - Teachers and Instructors",="Certified",128.6,121.2,113.7,117.9,119.7
="Groton School District",="General Education - Teachers and Instructors",="Certified",357.8,346.1,354.2,339.9,331.1
="Guilford School District",="General Education - Teachers and Instructors",="Certified",245.6,245.0,239.7,233.6,239.3
="Hamden School District",="General Education - Teachers and Instructors",="Certified",402.0,399.9,400.9,402.1,401.1
="Hampton School District",="General Education - Teachers and Instructors",="Certified",12.1,12.1,11.4,11.4,11.2
="Hartford School District",="General Education - Teachers and Instructors",="Certified",1293.5,1324.8,1350.6,1351.4,1300.8
="Hartland School District",="General Education - Teachers and Instructors",="Certified",17.9,18.0,18.4,18.4,17.9
