"FTE Staffing Report for 2008-09"

"District","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","General Education - Teachers and Instructors","Certified",20.0
="Amistad Academy District",="General Education - Teachers and Instructors",="Certified",51.0
="Andover School District",="General Education - Teachers and Instructors",="Certified",25.3
="Ansonia School District",="General Education - Teachers and Instructors",="Certified",152.0
="Area Cooperative Educational Services",="General Education - Teachers and Instructors",="Certified",136.0
="Ashford School District",="General Education - Teachers and Instructors",="Certified",39.6
="Avon School District",="General Education - Teachers and Instructors",="Certified",216.6
="Barkhamsted School District",="General Education - Teachers and Instructors",="Certified",21.2
="Berlin School District",="General Education - Teachers and Instructors",="Certified",203.7
="Bethany School District",="General Education - Teachers and Instructors",="Certified",38.9
="Bethel School District",="General Education - Teachers and Instructors",="Certified",180.2
="Bloomfield School District",="General Education - Teachers and Instructors",="Certified",169.6
="Bolton School District",="General Education - Teachers and Instructors",="Certified",67.4
="Bozrah School District",="General Education - Teachers and Instructors",="Certified",18.5
="Branford School District",="General Education - Teachers and Instructors",="Certified",236.3
="Bridgeport Achievement First District",="General Education - Teachers and Instructors",="Certified",11.0
="Bridgeport School District",="General Education - Teachers and Instructors",="Certified",1202.1
="Bristol School District",="General Education - Teachers and Instructors",="Certified",520.3
="Brookfield School District",="General Education - Teachers and Instructors",="Certified",180.3
="Brooklyn School District",="General Education - Teachers and Instructors",="Certified",61.4
="Canaan School District",="General Education - Teachers and Instructors",="Certified",11.1
="Canterbury School District",="General Education - Teachers and Instructors",="Certified",40.5
="Canton School District",="General Education - Teachers and Instructors",="Certified",99.1
="Capitol Region Education Council",="General Education - Teachers and Instructors",="Certified",235.0
="Chaplin School District",="General Education - Teachers and Instructors",="Certified",18.5
="Charter School for Young Children on Asylum Hill District",="General Education - Teachers and Instructors",="Certified",8.0
="Cheshire School District",="General Education - Teachers and Instructors",="Certified",299.0
="Chester School District",="General Education - Teachers and Instructors",="Certified",25.4
="Clinton School District",="General Education - Teachers and Instructors",="Certified",150.1
="Colchester School District",="General Education - Teachers and Instructors",="Certified",197.4
="Colebrook School District",="General Education - Teachers and Instructors",="Certified",8.2
="Columbia School District",="General Education - Teachers and Instructors",="Certified",47.0
="Common Ground High School District",="General Education - Teachers and Instructors",="Certified",12.8
="Connecticut Technical High School System",="General Education - Teachers and Instructors",="Certified",1039.6
="Cooperative Educational Services",="General Education - Teachers and Instructors",="Certified",40.9
="Cornwall School District",="General Education - Teachers and Instructors",="Certified",13.7
="Coventry School District",="General Education - Teachers and Instructors",="Certified",126.4
="Cromwell School District",="General Education - Teachers and Instructors",="Certified",123.5
="Danbury School District",="General Education - Teachers and Instructors",="Certified",602.9
="Darien School District",="General Education - Teachers and Instructors",="Certified",327.6
="Deep River School District",="General Education - Teachers and Instructors",="Certified",26.7
="Derby School District",="General Education - Teachers and Instructors",="Certified",92.2
="East Granby School District",="General Education - Teachers and Instructors",="Certified",59.4
="East Haddam School District",="General Education - Teachers and Instructors",="Certified",92.4
="East Hampton School District",="General Education - Teachers and Instructors",="Certified",125.0
="East Hartford School District",="General Education - Teachers and Instructors",="Certified",493.0
="East Haven School District",="General Education - Teachers and Instructors",="Certified",238.3
="East Lyme School District",="General Education - Teachers and Instructors",="Certified",206.4
="East Windsor School District",="General Education - Teachers and Instructors",="Certified",96.7
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="General Education - Teachers and Instructors",="Certified",13.2
