"FTE Staffing Report for Trend"

"",,,"Year",,,,
"District","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Library/Media - Support Staff","Non-Certified",0.0,0.0,0.0,0.0,0.0
="Amistad Academy District",="Library/Media - Support Staff",="Non-Certified",0.0,1.0,1.0,1.0,0.5
="Andover School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Ansonia School District",="Library/Media - Support Staff",="Non-Certified",4.0,4.0,4.0,4.0,3.0
="Area Cooperative Educational Services",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Ashford School District",="Library/Media - Support Staff",="Non-Certified",0.8,0.8,0.5,1.0,1.0
="Avon School District",="Library/Media - Support Staff",="Non-Certified",1.2,1.2,1.0,1.0,1.0
="Barkhamsted School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Berlin School District",="Library/Media - Support Staff",="Non-Certified",4.9,3.9,4.9,4.9,4.9
="Bethany School District",="Library/Media - Support Staff",="Non-Certified",0.4,0.4,0.4,0.4,0.0
="Bethel School District",="Library/Media - Support Staff",="Non-Certified",5.0,5.0,5.0,5.0,5.0
="Bloomfield School District",="Library/Media - Support Staff",="Non-Certified",5.0,5.0,5.0,5.0,5.0
="Bolton School District",="Library/Media - Support Staff",="Non-Certified",2.6,2.0,3.0,2.2,2.2
="Bozrah School District",="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Branford School District",="Library/Media - Support Staff",="Non-Certified",4.0,4.0,3.5,5.0,5.0
="Bridgeport Achievement First District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,.
"Bridgeport School District","Library/Media - Support Staff","Non-Certified",12.0,10.0,9.0,0.0,0.0
="Bristol School District",="Library/Media - Support Staff",="Non-Certified",13.0,13.0,11.5,11.5,11.5
="Brookfield School District",="Library/Media - Support Staff",="Non-Certified",2.5,2.5,2.5,2.5,3.0
="Brooklyn School District",="Library/Media - Support Staff",="Non-Certified",0.8,0.0,0.0,0.0,0.0
="Canaan School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.8
="Canterbury School District",="Library/Media - Support Staff",="Non-Certified",1.6,0.6,1.6,1.6,1.6
="Canton School District",="Library/Media - Support Staff",="Non-Certified",4.8,4.8,4.8,4.0,3.0
="Capitol Region Education Council",="Library/Media - Support Staff",="Non-Certified",1.0,0.0,1.0,0.0,1.0
="Chaplin School District",="Library/Media - Support Staff",="Non-Certified",2.0,2.0,2.0,2.0,2.0
="Charter School for Young Children on Asylum Hill District",="Library/Media - Support Staff",="Non-Certified",0.0,.,.,.,.
"Cheshire School District","Library/Media - Support Staff","Non-Certified",10.7,11.0,11.0,11.0,11.7
="Chester School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Clinton School District",="Library/Media - Support Staff",="Non-Certified",1.4,1.4,1.7,1.7,2.4
="Colchester School District",="Library/Media - Support Staff",="Non-Certified",4.5,4.5,4.5,4.5,4.5
="Colebrook School District",="Library/Media - Support Staff",="Non-Certified",0.6,0.0,0.0,0.0,0.0
="Columbia School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.5,0.0
="Common Ground High School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Connecticut Technical High School System",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Cooperative Educational Services",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Cornwall School District",="Library/Media - Support Staff",="Non-Certified",0.8,0.8,0.8,0.9,0.9
="Coventry School District",="Library/Media - Support Staff",="Non-Certified",1.7,2.9,2.5,1.0,1.9
="Cromwell School District",="Library/Media - Support Staff",="Non-Certified",2.0,2.0,2.0,2.0,2.0
="Danbury School District",="Library/Media - Support Staff",="Non-Certified",9.6,9.6,9.6,9.1,8.9
="Darien School District",="Library/Media - Support Staff",="Non-Certified",8.0,7.2,4.5,4.5,4.5
="Deep River School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Derby School District",="Library/Media - Support Staff",="Non-Certified",2.5,2.5,2.5,2.6,2.3
="East Granby School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,1.1,0.9
="East Haddam School District",="Library/Media - Support Staff",="Non-Certified",2.5,2.5,2.0,2.0,2.0
="East Hampton School District",="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="East Hartford School District",="Library/Media - Support Staff",="Non-Certified",12.0,12.0,12.0,11.0,11.0
="East Haven School District",="Library/Media - Support Staff",="Non-Certified",5.0,4.5,3.5,4.0,4.5
="East Lyme School District",="Library/Media - Support Staff",="Non-Certified",3.8,3.8,3.4,4.2,4.2
="East Windsor School District",="Library/Media - Support Staff",="Non-Certified",2.0,.,2.0,2.0,2.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Eastford School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.5,0.5
="Easton School District",="Library/Media - Support Staff",="Non-Certified",2.2,5.3,1.7,2.2,2.2
="EdAdvance",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Ellington School District",="Library/Media - Support Staff",="Non-Certified",3.8,3.8,3.8,4.7,4.7
="Elm City College Preparatory School District",="Library/Media - Support Staff",="Non-Certified",1.0,0.0,0.0,0.0,0.0
="Enfield School District",="Library/Media - Support Staff",="Non-Certified",7.5,7.0,10.5,12.0,12.0
="Essex School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.5,0.5,0.5
="Explorations District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Fairfield School District",="Library/Media - Support Staff",="Non-Certified",15.0,13.0,14.0,14.0,15.0
="Farmington School District",="Library/Media - Support Staff",="Non-Certified",3.0,3.0,3.0,3.0,3.4
="Franklin School District",="Library/Media - Support Staff",="Non-Certified",0.5,.,0.0,.,0.5
="Glastonbury School District",="Library/Media - Support Staff",="Non-Certified",12.4,12.4,12.4,12.4,12.4
="Granby School District",="Library/Media - Support Staff",="Non-Certified",6.7,6.7,6.2,5.6,5.7
="Greenwich School District",="Library/Media - Support Staff",="Non-Certified",14.5,14.5,14.5,14.5,14.5
="Griswold School District",="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,0.5
="Groton School District",="Library/Media - Support Staff",="Non-Certified",7.0,7.0,5.8,2.0,2.0
="Guilford School District",="Library/Media - Support Staff",="Non-Certified",4.0,4.0,4.0,4.0,4.0
="Hamden School District",="Library/Media - Support Staff",="Non-Certified",2.0,2.0,3.0,4.0,9.0
="Hampton School District",="Library/Media - Support Staff",="Non-Certified",0.6,0.6,0.0,0.0,0.0
="Hartford School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,1.0,0.0,0.0
="Hartland School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Hebron School District",="Library/Media - Support Staff",="Non-Certified",1.0,0.5,1.0,1.5,0.0
="Highville Charter School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,1.0
="Integrated Day Charter School District",="Library/Media - Support Staff",="Non-Certified",1.4,1.0,1.0,1.0,1.0
="Interdistrict School for Arts and Comm District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Jumoke Academy District",="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,0.5,1.0
="Kent School District",="Library/Media - Support Staff",="Non-Certified",0.8,0.8,0.8,0.8,0.8
="Killingly School District",="Library/Media - Support Staff",="Non-Certified",2.0,3.0,3.0,3.0,3.0
="Learn",="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Lebanon School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.5,0.5
="Ledyard School District",="Library/Media - Support Staff",="Non-Certified",3.6,3.5,3.2,3.5,3.5
="Lisbon School District",="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,0.0
="Litchfield School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Madison School District",="Library/Media - Support Staff",="Non-Certified",7.0,7.0,7.0,7.0,7.0
="Manchester School District",="Library/Media - Support Staff",="Non-Certified",10.4,10.8,11.1,9.1,8.6
="Mansfield School District",="Library/Media - Support Staff",="Non-Certified",6.5,5.0,5.0,6.1,6.1
="Marlborough School District",="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.6,0.5,0.5
="Meriden School District",="Library/Media - Support Staff",="Non-Certified",4.0,2.0,2.0,2.0,2.0
="Middletown School District",="Library/Media - Support Staff",="Non-Certified",8.0,8.0,9.0,5.0,5.0
="Milford School District",="Library/Media - Support Staff",="Non-Certified",1.4,6.4,1.9,1.4,1.9
="Monroe School District",="Library/Media - Support Staff",="Non-Certified",2.9,2.3,2.0,2.0,2.0
="Montville School District",="Library/Media - Support Staff",="Non-Certified",4.6,4.6,4.6,4.6,4.6
="Naugatuck School District",="Library/Media - Support Staff",="Non-Certified",2.5,2.5,2.5,2.5,2.0
="New Beginnings Inc Family Academy District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,1.0,0.0,0.0
="New Britain School District",="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="New Canaan School District",="Library/Media - Support Staff",="Non-Certified",4.4,4.4,4.6,4.6,4.6
="New Fairfield School District",="Library/Media - Support Staff",="Non-Certified",1.0,1.0,0.5,1.0,1.0
="New Hartford School District",="Library/Media - Support Staff",="Non-Certified",1.8,0.0,0.0,0.0,0.0
="New Haven School District",="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="New London School District",="Library/Media - Support Staff",="Non-Certified",4.9,3.7,3.0,2.0,3.0
="New Milford School District",="Library/Media - Support Staff",="Non-Certified",5.0,5.0,5.0,5.0,5.0
