"FTE Staffing Report for Trend"

"",,,"Year",,,,
"District","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","School Nurses","Non-Certified",1.5,1.0,2.0,1.0,1.0
="Amistad Academy District",="School Nurses",="Non-Certified",3.0,2.0,3.0,3.0,4.5
="Andover School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Ansonia School District",="School Nurses",="Non-Certified",4.5,4.5,4.5,4.5,4.5
="Area Cooperative Educational Services",="School Nurses",="Non-Certified",5.0,5.0,4.6,6.0,5.5
="Ashford School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Avon School District",="School Nurses",="Non-Certified",5.0,5.2,5.2,6.2,6.2
="Barkhamsted School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Berlin School District",="School Nurses",="Non-Certified",5.4,6.0,6.0,6.0,6.0
="Bethany School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Bethel School District",="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,6.0
="Bloomfield School District",="School Nurses",="Non-Certified",5.5,5.5,5.5,7.0,6.0
="Bolton School District",="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.5
="Bozrah School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Branford School District",="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,6.0
="Bridgeport Achievement First District",="School Nurses",="Non-Certified",0.5,0.5,0.5,1.0,.
"Bridgeport School District","School Nurses","Non-Certified",25.0,24.4,24.8,28.7,30.7
="Bristol School District",="School Nurses",="Non-Certified",15.0,15.0,15.0,15.0,16.0
="Brookfield School District",="School Nurses",="Non-Certified",7.0,7.0,7.0,7.0,7.0
="Brooklyn School District",="School Nurses",="Non-Certified",2.0,0.0,2.0,2.0,2.0
="Canaan School District",="School Nurses",="Non-Certified",0.8,0.8,0.8,0.8,0.8
="Canterbury School District",="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
="Canton School District",="School Nurses",="Non-Certified",3.0,3.0,3.0,3.0,2.0
="Capitol Region Education Council",="School Nurses",="Non-Certified",12.2,14.7,14.7,16.5,18.5
="Chaplin School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Charter School for Young Children on Asylum Hill District",="School Nurses",="Non-Certified",1.0,.,.,.,.
"Cheshire School District","School Nurses","Non-Certified",7.4,7.4,7.5,8.1,8.1
="Chester School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Clinton School District",="School Nurses",="Non-Certified",3.7,3.7,3.7,3.7,3.8
="Colchester School District",="School Nurses",="Non-Certified",5.5,5.5,5.5,5.5,4.5
="Colebrook School District",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Columbia School District",="School Nurses",="Non-Certified",1.5,1.0,1.0,1.0,1.0
="Common Ground High School District",="School Nurses",="Non-Certified",0.2,0.2,0.3,0.3,0.3
="Connecticut Technical High School System",="School Nurses",="Non-Certified",22.1,17.0,17.0,18.0,21.0
="Cooperative Educational Services",="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
="Cornwall School District",="School Nurses",="Non-Certified",0.8,0.8,0.8,0.8,0.8
="Coventry School District",="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
="Cromwell School District",="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
