"FTE Staffing Report for Trend"

"",,,"Year",,,,
"District","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Andover School District","Library/Media - Specialists (Certified)","Certified",1.0,1.0,1.0,1.0,1.0
="Ansonia School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Area Cooperative Educational Services",="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,3.0
="Avon School District",="Library/Media - Specialists (Certified)",="Certified",5.0,5.1,5.0,5.0,5.0
="Barkhamsted School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Berlin School District",="Library/Media - Specialists (Certified)",="Certified",4.8,4.0,4.8,4.6,4.6
="Bethel School District",="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,4.0,4.0
="Bloomfield School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Bolton School District",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
="Branford School District",="Library/Media - Specialists (Certified)",="Certified",6.5,6.0,6.6,6.0,5.0
="Bridgeport School District",="Library/Media - Specialists (Certified)",="Certified",24.4,21.0,18.0,15.0,17.0
="Bristol School District",="Library/Media - Specialists (Certified)",="Certified",5.0,5.0,6.8,6.8,4.8
="Brookfield School District",="Library/Media - Specialists (Certified)",="Certified",4.0,5.0,6.0,5.0,5.0
="Brooklyn School District",="Library/Media - Specialists (Certified)",="Certified",1.4,1.0,1.4,1.4,2.0
="Canaan School District",="Library/Media - Specialists (Certified)",="Certified",0.8,0.7,0.7,0.6,.
"Canton School District","Library/Media - Specialists (Certified)","Certified",2.5,2.0,2.0,2.0,2.0
="Capitol Region Education Council",="Library/Media - Specialists (Certified)",="Certified",4.8,4.8,6.0,7.0,8.0
="Cheshire School District",="Library/Media - Specialists (Certified)",="Certified",6.7,6.6,6.8,5.8,7.0
="Chester School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Clinton School District",="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,4.0,4.0
="Colchester School District",="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,3.0,3.0
="Columbia School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Connecticut Technical High School System",="Library/Media - Specialists (Certified)",="Certified",16.9,13.9,14.9,15.9,16.0
="Cooperative Educational Services",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Coventry School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,2.0,2.0,2.0
="Cromwell School District",="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,4.0,4.0
="Danbury School District",="Library/Media - Specialists (Certified)",="Certified",20.0,20.0,18.0,20.0,21.0
="Darien School District",="Library/Media - Specialists (Certified)",="Certified",9.0,8.0,9.0,9.0,9.0
="Deep River School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="East Granby School District",="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.6,4.0
="East Haddam School District",="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,3.0
="East Hampton School District",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,3.0
="East Hartford School District",="Library/Media - Specialists (Certified)",="Certified",4.4,4.4,4.4,4.4,4.0
="East Haven School District",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,3.0,3.0
="East Lyme School District",="Library/Media - Specialists (Certified)",="Certified",4.8,4.8,3.8,5.0,5.0
="East Windsor School District",="Library/Media - Specialists (Certified)",="Certified",1.8,2.8,2.8,2.0,2.0
="Eastford School District",="Library/Media - Specialists (Certified)",="Certified",0.4,0.4,.,.,0.2
="Easton School District",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,1.0,2.0,2.0
="Ellington School District",="Library/Media - Specialists (Certified)",="Certified",3.6,3.6,3.6,3.6,3.6
="Enfield School District",="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,2.0
="Essex School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Fairfield School District",="Library/Media - Specialists (Certified)",="Certified",20.6,19.6,19.6,19.6,19.0
="Farmington School District",="Library/Media - Specialists (Certified)",="Certified",7.5,8.0,8.0,6.6,6.4
="Glastonbury School District",="Library/Media - Specialists (Certified)",="Certified",10.0,10.0,10.0,10.0,10.0
="Granby School District",="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,4.0,4.0,4.0
="Greenwich School District",="Library/Media - Specialists (Certified)",="Certified",21.3,21.3,21.3,21.9,19.4
="Griswold School District",="Library/Media - Specialists (Certified)",="Certified",1.9,3.0,3.0,3.0,3.0
="Groton School District",="Library/Media - Specialists (Certified)",="Certified",12.0,12.0,10.0,10.0,10.0
="Guilford School District",="Library/Media - Specialists (Certified)",="Certified",7.0,7.0,7.0,7.0,7.0
="Hamden School District",="Library/Media - Specialists (Certified)",="Certified",11.0,11.0,11.0,11.0,11.0
="Hampton School District",="Library/Media - Specialists (Certified)",="Certified",0.7,0.7,0.7,0.7,0.6
="Hartford School District",="Library/Media - Specialists (Certified)",="Certified",23.5,19.6,16.6,15.5,17.0
="Hartland School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Hebron School District",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,.,1.0
="Kent School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Killingly School District",="Library/Media - Specialists (Certified)",="Certified",4.0,3.0,3.0,3.0,3.0
="Learn",="Library/Media - Specialists (Certified)",="Certified",0.8,0.8,0.8,0.8,2.8
="Lebanon School District",="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,2.0,2.0,2.0
="Ledyard School District",="Library/Media - Specialists (Certified)",="Certified",4.0,3.0,3.0,3.0,2.0
="Litchfield School District",="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,3.0
="Madison School District",="Library/Media - Specialists (Certified)",="Certified",6.0,6.0,5.0,5.6,6.0
="Manchester School District",="Library/Media - Specialists (Certified)",="Certified",13.9,12.9,11.9,12.9,14.0
="Mansfield School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Marlborough School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Meriden School District",="Library/Media - Specialists (Certified)",="Certified",8.0,5.0,4.0,4.0,3.0
="Middletown School District",="Library/Media - Specialists (Certified)",="Certified",2.0,1.0,1.0,2.3,4.6
="Milford School District",="Library/Media - Specialists (Certified)",="Certified",14.0,14.0,13.0,13.0,13.0
="Monroe School District",="Library/Media - Specialists (Certified)",="Certified",3.0,4.0,4.0,3.0,5.0
="Montville School District",="Library/Media - Specialists (Certified)",="Certified",5.0,5.0,5.0,5.0,4.0
="Naugatuck School District",="Library/Media - Specialists (Certified)",="Certified",6.4,6.0,6.5,6.0,6.0
="New Beginnings Inc Family Academy District",="Library/Media - Specialists (Certified)",="Certified",1.0,.,.,1.0,1.0
="New Britain School District",="Library/Media - Specialists (Certified)",="Certified",13.0,13.0,12.0,14.0,9.0
="New Canaan School District",="Library/Media - Specialists (Certified)",="Certified",6.6,6.6,6.6,6.6,6.6
="New Fairfield School District",="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,3.6,3.6,3.6
="New Hartford School District",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,1.0,.
"New Haven School District","Library/Media - Specialists (Certified)","Certified",39.0,36.0,32.0,33.0,33.0
="New London School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,0.5
="New Milford School District",="Library/Media - Specialists (Certified)",="Certified",6.0,6.0,6.0,6.0,6.0
="Newington School District",="Library/Media - Specialists (Certified)",="Certified",8.0,7.8,7.8,7.8,8.0
="Newtown School District",="Library/Media - Specialists (Certified)",="Certified",8.0,8.0,8.0,8.0,8.0
="Norfolk School District",="Library/Media - Specialists (Certified)",="Certified",0.6,0.6,0.6,0.5,0.5
