"FTE Staffing Report for Trend"

"",,,"Year",,,,
"District","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Special Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,0.0,0.0,0.0,0.0
="Amistad Academy District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,7.0,0.0,0.0,0.0
="Andover School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,7.5,4.0,4.5,6.0
="Ansonia School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",46.5,47.0,53.0,52.0,17.0
="Area Cooperative Educational Services",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.9,2.9,4.2,5.9,8.2
="Ashford School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,12.5,11.0,11.0,11.5
="Avon School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",81.6,83.6,79.2,71.5,65.0
="Barkhamsted School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.2,8.7,8.6,7.6,9.1
="Berlin School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",45.9,44.7,44.6,43.4,49.6
="Bethany School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.6,15.2,15.2,15.3,11.7
="Bethel School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",32.0,37.0,37.0,39.0,39.0
="Bloomfield School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",29.0,26.0,28.0,30.0,30.0
="Bolton School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",19.0,22.5,21.5,17.4,21.0
="Bozrah School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,7.0,8.0,10.0,8.5
="Branford School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",65.4,68.7,70.1,82.0,87.5
="Bridgeport Achievement First District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,1.5,1.5,2.0,.
"Bridgeport School District","Special Education - Paraprofessional Instructional Assistants","Non-Certified",227.0,223.0,214.0,255.0,250.0
="Bristol School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",106.0,105.0,104.0,102.0,115.0
="Brookfield School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",47.0,43.0,44.0,45.0,47.0
="Brooklyn School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",18.0,1.0,26.0,23.0,30.0
="Canaan School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,1.5,1.5,1.5,1.5
="Canterbury School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.5,13.4,16.5,14.6,13.1
="Canton School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",42.4,42.9,38.7,40.8,27.3
="Capitol Region Education Council",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",30.8,30.0,47.5,44.2,112.8
="Chaplin School District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,3.0,3.0,3.0
="Charter School for Young Children on Asylum Hill District",="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,.,.,.,.
