"FTE Staffing Report for Trend"

"",,,"Year",,,,
"District","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",35.0,31.0,1054.0,31.0,46.0
="Amistad Academy District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.0,27.0,41.0,26.0,50.8
="Andover School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",15.4,15.4,15.4,15.4,15.4
="Ansonia School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",93.5,91.5,90.0,91.2,91.7
="Area Cooperative Educational Services",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",52.0,55.2,50.9,50.3,46.6
="Ashford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",24.3,24.9,21.8,24.0,26.7
="Avon School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",134.1,137.7,136.3,118.3,116.2
="Barkhamsted School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.6,13.3,13.3,13.6,13.8
="Berlin School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",119.5,131.4,124.5,106.8,106.6
="Bethany School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.5,21.7,21.7,20.9,17.9
="Bethel School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",130.0,122.0,121.4,118.4,118.4
="Bloomfield School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",159.1,158.1,137.3,145.0,143.8
="Bolton School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",39.6,39.8,50.5,47.7,40.4
="Bozrah School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.2,9.2,9.4,9.2,9.2
="Branford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",146.6,147.6,136.5,138.0,142.0
="Bridgeport Achievement First District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.5,27.0,30.5,27.5,.
"Bridgeport School District","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",863.5,839.5,849.8,865.1,928.1
="Bristol School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",370.5,378.7,394.9,393.9,377.7
="Brookfield School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",121.1,119.1,118.1,118.1,115.7
="Brooklyn School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",39.8,22.0,13.0,59.0,61.0
="Canaan School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",2.6,2.6,2.6,2.6,2.6
="Canterbury School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",35.2,35.5,34.2,35.1,14.5
="Canton School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",84.8,86.2,85.0,96.3,84.2
="Capitol Region Education Council",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",345.1,570.0,625.9,803.4,736.7
="Chaplin School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.5,10.0,10.0,10.0,10.0
="Charter School for Young Children on Asylum Hill District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.0,.,.,.,.
"Cheshire School District","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",193.5,193.0,198.0,197.0,192.0
="Chester School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.5,8.0,8.0,8.0,7.3
="Clinton School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",78.8,79.3,79.5,77.5,78.9
="Colchester School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",121.1,115.8,117.5,114.5,107.6
