"Percentage of Total Expenditures Used for Special Education, 2007-08"
"State of Connecticut"

"",,"_","_"
"District","Type","District, State, and Federal","State % of Total"
"State of Connecticut","Certified Personnel",572082257,38.3
,"Noncertified Personnel",217056253,14.5
,"Employee Benefits",192055749,12.9
,"Purchased Services",77681577,5.2
,"Tuition to Other Schools",299903535,20.1
,"Instructional Supplies",7529655,0.5
,"Property Services",2610793,0.2
,"Transportation",116730152,7.8
,"Equipment",2703515,0.2
,"Other Expenditures",1705194,0.1
,"Total Expenditures",1492087772,100.0

