"Percentage of Total Expenditures Used for Special Education, 2010-11"
"State of Connecticut"

"",,"_","_"
"District","Type","District, State, and Federal","State % of Total"
"State of Connecticut","Certified Personnel",620081644,36.1
,"Noncertified Personnel",241275242,14.1
,"Employee Benefits",237042023,13.8
,"Purchased Services",91349630,5.3
,"Tuition to Other Schools",362539120,21.1
,"Instructional Supplies",7667839,0.4
,"Property Services",2275690,0.1
,"Transportation",139836593,8.2
,"Equipment",4038782,0.2
,"Other Expenditures",4540555,0.3
,"Total Expenditures",1715487085,100.0

