"Total Expenditures Used for Special Education, Trend"
"All Districts"

"",,"Year",,,,
"District","Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Andover School District","Certified Personnel",290324,270734,277982,283497,324207
,="Noncertified Personnel",153954,140683,125422,137431,169899
,="Employee Benefits",36387,57577,71301,80728,89534
,="Purchased Services",99577,101134,97883,105325,112695
,="Tuition to Other Schools",98500,113980,216242,196034,50457
,="Instructional Supplies",5713,5669,5647,4705,5037
,="Property Services",1946,6104,2105,500,0
,="Transportation",19708,20462,61838,76941,28187
,="Equipment",497,700,696,733,590
,="Other Expenditures",43,0,0,0,0
,="Total Expenditures",706649,717043,859355,885994,780606
="Ansonia School District",="Certified Personnel",1904696,1969497,1944093,1895099,1862103
,="Noncertified Personnel",1130260,1142636,1129956,1196850,624312
,="Employee Benefits",485885,499978,518357,518382,449242
,="Purchased Services",311822,208344,114561,180041,1021149
,="Tuition to Other Schools",2654469,2781509,2965910,3656009,4120043
,="Instructional Supplies",56443,35423,18489,21521,11384
,="Property Services",30965,495,350,350,350
,="Transportation",778065,982257,923319,1095715,1393080
,="Equipment",7324,40793,9239,6700,9134
,="Other Expenditures",185,185,30,0,0
,="Total Expenditures",7385805,7693356,7635834,8581645,9503055
="Ashford School District",="Certified Personnel",640979,646145,617428,575488,538219
,="Noncertified Personnel",340088,394881,325168,311668,379999
,="Employee Benefits",257486,305244,196011,193559,143547
,="Purchased Services",248761,221832,149223,152658,156135
,="Tuition to Other Schools",275469,184918,207689,225216,349950
,="Instructional Supplies",19316,17113,9041,2829,3514
,="Property Services",0,0,24879,24523,9159
,="Transportation",155802,107622,76878,90289,99658
,="Equipment",3564,35759,0,0,0
,="Other Expenditures",584,672,632,672,6835
,="Total Expenditures",1946297,1916132,1606949,1576902,1687016
="Avon School District",="Certified Personnel",3669091,3419073,3422113,3094295,3617825
,="Noncertified Personnel",2053173,1843481,1973653,1569702,1813684
,="Employee Benefits",1784440,1682375,1254283,1119626,1322181
,="Purchased Services",326376,407252,875707,255585,333407
,="Tuition to Other Schools",1664442,2028219,1861334,2095504,2444892
,="Instructional Supplies",49321,41010,34538,22912,21298
,="Property Services",3408,2787,1469,891,82076
,="Transportation",532531,534641,555054,869375,783006
,="Equipment",0,3502,1625,8759,10319
,="Other Expenditures",9255,1187,860,460,860
,="Total Expenditures",10127621,9984054,9984156,9052664,10484831
="Barkhamsted School District",="Certified Personnel",50746,50746,53978,55166,58247
,="Noncertified Personnel",45720,48100,37904,33906,19827
,="Employee Benefits",21647,23503,26609,28020,28009
,="Purchased Services",560208,548913,570549,584209,643838
,="Tuition to Other Schools",72913,70796,50163,111968,91916
,="Instructional Supplies",1405,1072,768,1410,992
,="Property Services",0,0,0,0,0
,="Transportation",35355,22512,29415,35871,53566
,="Equipment",403,55,279,338,870
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",788397,765697,769665,850888,897265
