"Percentage of Total Expenditures Used for Special Education, 2012-13"
"State of Connecticut"

"",,"_","_"
"District","Type","District, State, and Federal","State % of Total"
"State of Connecticut","Certified Personnel",631445222,35.6
,"Noncertified Personnel",256686813,14.5
,"Employee Benefits",248914976,14.1
,"Purchased Services",89309686,5.0
,"Tuition to Other Schools",379765849,21.4
,"Instructional Supplies",6283200,0.4
,"Property Services",1868212,0.1
,"Transportation",151007192,8.5
,"Equipment",2267243,0.1
,"Other Expenditures",1594287,0.1
,"Total Expenditures",1771483161,100.0

