"Percentage of Total Expenditures Used for Special Education, 2014-15"
"State of Connecticut"

"",,"_","_"
"District","Type","District, State, and Federal","State % of Total"
"State of Connecticut","Certified Personnel",635442111,35.1
,"Noncertified Personnel",263371188,14.5
,"Employee Benefits",255607306,14.1
,"Purchased Services",99184350,5.5
,"Tuition to Other Schools",391883619,21.6
,"Instructional Supplies",6960819,0.4
,"Property Services",2312582,0.1
,"Transportation",150616455,8.3
,"Equipment",2555407,0.1
,"Other Expenditures",1591070,0.1
,"Total Expenditures",1812198087,100.0

