"Chronic Absenteeism, 2015-16"
", All Students"

"District","District Code","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""",10.1
"Amistad Academy District","=""2790013""",5.3
"Andover School District","=""0010011""","*"
"Ansonia School District","=""0020011""",14.5
"Area Cooperative Educational Services","=""2440014""",18.2
"Ashford School District","=""0030011""",5.1
"Avon School District","=""0040011""",4.5
"Barkhamsted School District","=""0050011""",4.2
"Berlin School District","=""0070011""",3.7
"Bethany School District","=""0080011""",5.2
"Bethel School District","=""0090011""",7.0
"Bloomfield School District","=""0110011""",8.9
"Bolton School District","=""0120011""",3.3
"Booker T. Washington Academy District","=""2950013""",20.2
"Bozrah School District","=""0130011""",5.4
"Branford School District","=""0140011""",9.4
"Brass City Charter School District","=""2900013""",7.4
"Bridgeport Achievement First District","=""2850013""",4.7
"Bridgeport School District","=""0150011""",17.4
"Bristol School District","=""0170011""",8.7
"Brookfield School District","=""0180011""",2.2
"Brooklyn School District","=""0190011""",2.4
"Canaan School District","=""0210011""",9.2
"Canterbury School District","=""0220011""",3.7
"Canton School District","=""0230011""",5.6
"Capital Preparatory Harbor School Inc. District","=""2970013""",13.7
"Capitol Region Education Council","=""2410014""",11.6
"Chaplin School District","=""0240011""",10.1
"Cheshire School District","=""0250011""",5.2
"Chester School District","=""0260011""",2.8
"Clinton School District","=""0270011""",5.4
"Colchester School District","=""0280011""",5.8
"Colebrook School District","=""0290011""","*"
"Columbia School District","=""0300011""",3.8
"Common Ground High School District","=""2680013""",11.5
"Connecticut Technical High School System","=""9000016""",12.7
"Cooperative Educational Services","=""2430014""",16.4
"Cornwall School District","=""0310011""","*"
"Coventry School District","=""0320011""",5.6
"Cromwell School District","=""0330011""",1.7
"Danbury School District","=""0340011""",7.4
"Darien School District","=""0350011""",2.9
"Deep River School District","=""0360011""",1.9
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Derby School District","=""0370011""",13.0
"East Granby School District","=""0400011""",6.0
"East Haddam School District","=""0410011""",6.3
"East Hampton School District","=""0420011""",7.4
"East Hartford School District","=""0430011""",12.9
"East Haven School District","=""0440011""",10.2
"East Lyme School District","=""0450011""",4.7
"East Windsor School District","=""0470011""",12.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",33.9
"Eastford School District","=""0390011""","*"
"Easton School District","=""0460011""",1.7
"Education Connection","=""2420014""","*"
"Ellington School District","=""0480011""",4.3
"Elm City College Preparatory School District","=""2890013""",5.7
"Elm City Montessori School District","=""2910013""",20.5
"Enfield School District","=""0490011""",11.9
"Essex School District","=""0500011""",3.2
"Explorations District","=""2720013""",30.6
"Fairfield School District","=""0510011""",3.8
"Farmington School District","=""0520011""",4.5
"Franklin School District","=""0530011""","*"
"Glastonbury School District","=""0540011""",2.7
"Granby School District","=""0560011""",5.1
"Great Oaks Charter School District","=""2940013""",15.1
"Greenwich School District","=""0570011""",3.8
"Griswold School District","=""0580011""",9.1
"Groton School District","=""0590011""",11.1
"Guilford School District","=""0600011""",4.6
"Hamden School District","=""0620011""",18.4
"Hampton School District","=""0630011""",7.9
"Hartford School District","=""0640011""",22.4
"Hartland School District","=""0650011""","*"
"Hebron School District","=""0670011""",1.6
"Highville Charter School District","=""2860013""",7.0
"Integrated Day Charter School District","=""2640013""",4.4
"Interdistrict School for Arts and Comm District","=""2650013""",7.3
"Jumoke Academy District","=""2610013""",6.3
"Kent School District","=""0680011""",2.6
"Killingly School District","=""0690011""",11.3
"Learn","=""2450014""",10.2
"Lebanon School District","=""0710011""",6.5
"Ledyard School District","=""0720011""",7.2
"Lisbon School District","=""0730011""",5.0
"Litchfield School District","=""0740011""",9.2
"Madison School District","=""0760011""",1.9
"Manchester School District","=""0770011""",14.4
"Mansfield School District","=""0780011""",5.0
"Marlborough School District","=""0790011""",3.6
"Meriden School District","=""0800011""",12.7
"Middletown School District","=""0830011""",9.1
"Milford School District","=""0840011""",7.3
"Monroe School District","=""0850011""",2.6
"Montville School District","=""0860011""",6.5
"Naugatuck School District","=""0880011""",11.3
"New Beginnings Inc., Family Academy District","=""2800013""",7.4
"New Britain School District","=""0890011""",18.0
"New Canaan School District","=""0900011""",2.4
"New Fairfield School District","=""0910011""",3.1
"New Hartford School District","=""0920011""",3.6
"New Haven School District","=""0930011""",19.9
"New London School District","=""0950011""",17.6
"New Milford School District","=""0960011""",5.6
"Newington School District","=""0940011""",5.0
"Newtown School District","=""0970011""",4.5
"Norfolk School District","=""0980011""","*"
"North Branford School District","=""0990011""",4.9
"North Canaan School District","=""1000011""",5.7
"North Haven School District","=""1010011""",4.1
"North Stonington School District","=""1020011""",4.3
"Norwalk School District","=""1030011""",10.2
"Norwich Free Academy District","=""9010022""",10.9
"Norwich School District","=""1040011""",9.7
"Odyssey Community School District","=""2630013""",4.3
"Old Saybrook School District","=""1060011""",6.4
"Orange School District","=""1070011""",3.2
"Oxford School District","=""1080011""",6.8
"Park City Prep Charter School District","=""2830013""",6.3
"Path Academy District","=""2930013""",100.0
