"Chronic Absenteeism, 2013-14"
", Free/Reduced Price Meal Eligibility"

"District","District Code","Free/Reduced Price Meal Eligibility","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Eligible For Free Lunch",6.1
"Amistad Academy District","=""2790013""","Eligible For Free Lunch",4.8
"Amistad Academy District","=""2790013""","Eligible For Reduced Lunch",0.0
"Amistad Academy District","=""2790013""","Not Eligible For Lunch",0.0
"Andover School District","=""0010011""","Eligible For Free Lunch","*"
"Andover School District","=""0010011""","Eligible For Reduced Lunch","*"
"Andover School District","=""0010011""","Not Eligible For Lunch","*"
"Ansonia School District","=""0020011""","Eligible For Free Lunch",15.4
"Ansonia School District","=""0020011""","Eligible For Reduced Lunch",4.7
"Ansonia School District","=""0020011""","Not Eligible For Lunch",5.9
"Area Cooperative Educational Services","=""2440014""","Eligible For Free Lunch",31.1
"Area Cooperative Educational Services","=""2440014""","Eligible For Reduced Lunch",13.3
"Area Cooperative Educational Services","=""2440014""","Not Eligible For Lunch",12.4
"Ashford School District","=""0030011""","Eligible For Free Lunch",15.3
"Ashford School District","=""0030011""","Eligible For Reduced Lunch","*"
"Ashford School District","=""0030011""","Not Eligible For Lunch",5.2
"Avon School District","=""0040011""","Eligible For Free Lunch",14.5
"Avon School District","=""0040011""","Eligible For Reduced Lunch",15.0
"Avon School District","=""0040011""","Not Eligible For Lunch",4.2
"Barkhamsted School District","=""0050011""","Eligible For Free Lunch","*"
"Barkhamsted School District","=""0050011""","Eligible For Reduced Lunch","*"
"Barkhamsted School District","=""0050011""","Not Eligible For Lunch",3.8
"Berlin School District","=""0070011""","Eligible For Free Lunch",18.4
"Berlin School District","=""0070011""","Eligible For Reduced Lunch","*"
"Berlin School District","=""0070011""","Not Eligible For Lunch",3.1
"Bethany School District","=""0080011""","Eligible For Free Lunch","*"
"Bethany School District","=""0080011""","Eligible For Reduced Lunch","*"
"Bethany School District","=""0080011""","Not Eligible For Lunch",4.5
"Bethel School District","=""0090011""","Eligible For Free Lunch",14.9
"Bethel School District","=""0090011""","Eligible For Reduced Lunch",7.9
"Bethel School District","=""0090011""","Not Eligible For Lunch",5.9
"Bloomfield School District","=""0110011""","Eligible For Free Lunch",10.6
"Bloomfield School District","=""0110011""","Eligible For Reduced Lunch",3.2
"Bloomfield School District","=""0110011""","Not Eligible For Lunch",6.0
"Bolton School District","=""0120011""","Eligible For Free Lunch",23.4
"Bolton School District","=""0120011""","Eligible For Reduced Lunch","*"
"Bolton School District","=""0120011""","Not Eligible For Lunch",2.4
"Bozrah School District","=""0130011""","Eligible For Free Lunch",11.8
"Bozrah School District","=""0130011""","Eligible For Reduced Lunch","*"
"Bozrah School District","=""0130011""","Not Eligible For Lunch",4.9
"Branford School District","=""0140011""","Eligible For Free Lunch",13.5
"Branford School District","=""0140011""","Eligible For Reduced Lunch",7.2
"Branford School District","=""0140011""","Not Eligible For Lunch",7.8
"Brass City Charter School District","=""2900013""","Eligible For Free Lunch",15.4
"Brass City Charter School District","=""2900013""","Eligible For Reduced Lunch","*"
"Brass City Charter School District","=""2900013""","Not Eligible For Lunch","*"
"Bridgeport Achievement First District","=""2850013""","Eligible For Free Lunch",4.2
"Bridgeport Achievement First District","=""2850013""","Eligible For Reduced Lunch",0.0
"Bridgeport Achievement First District","=""2850013""","Not Eligible For Lunch","*"
"Bridgeport School District","=""0150011""","Eligible For Free Lunch",21.2
"Bristol School District","=""0170011""","Eligible For Free Lunch",22.0
"Bristol School District","=""0170011""","Eligible For Reduced Lunch",7.0
"Bristol School District","=""0170011""","Not Eligible For Lunch",5.5
"Brookfield School District","=""0180011""","Eligible For Free Lunch",9.9
"Brookfield School District","=""0180011""","Eligible For Reduced Lunch","*"
"Brookfield School District","=""0180011""","Not Eligible For Lunch",3.7
"Brooklyn School District","=""0190011""","Eligible For Free Lunch",11.1
"Brooklyn School District","=""0190011""","Eligible For Reduced Lunch","*"
"Brooklyn School District","=""0190011""","Not Eligible For Lunch",1.7
"Canaan School District","=""0210011""","Eligible For Free Lunch","*"
"Canaan School District","=""0210011""","Not Eligible For Lunch",10.1
"Canterbury School District","=""0220011""","Eligible For Free Lunch",8.6
"Canterbury School District","=""0220011""","Eligible For Reduced Lunch","*"
"Canterbury School District","=""0220011""","Not Eligible For Lunch",4.1
"Canton School District","=""0230011""","Eligible For Free Lunch",22.7
"Canton School District","=""0230011""","Eligible For Reduced Lunch","*"
"Canton School District","=""0230011""","Not Eligible For Lunch",7.9
"Capitol Region Education Council","=""2410014""","Eligible For Free Lunch",20.9
"Capitol Region Education Council","=""2410014""","Eligible For Reduced Lunch",9.4
"Capitol Region Education Council","=""2410014""","Not Eligible For Lunch",8.8
"Chaplin School District","=""0240011""","Eligible For Free Lunch","*"
"Chaplin School District","=""0240011""","Eligible For Reduced Lunch","*"
"Chaplin School District","=""0240011""","Not Eligible For Lunch",8.7
"Cheshire School District","=""0250011""","Eligible For Free Lunch",17.8
"Cheshire School District","=""0250011""","Eligible For Reduced Lunch","*"
"Cheshire School District","=""0250011""","Not Eligible For Lunch",4.4
"Chester School District","=""0260011""","Eligible For Free Lunch","*"
"Chester School District","=""0260011""","Eligible For Reduced Lunch","*"
"Chester School District","=""0260011""","Not Eligible For Lunch",3.0
"Clinton School District","=""0270011""","Eligible For Free Lunch",17.0
"Clinton School District","=""0270011""","Eligible For Reduced Lunch","*"
"Clinton School District","=""0270011""","Not Eligible For Lunch",4.8
"Colchester School District","=""0280011""","Eligible For Free Lunch",11.8
"Colchester School District","=""0280011""","Eligible For Reduced Lunch",8.8
"Colchester School District","=""0280011""","Not Eligible For Lunch",4.1
"Colebrook School District","=""0290011""","Eligible For Free Lunch","*"
"Colebrook School District","=""0290011""","Eligible For Reduced Lunch","*"
"Colebrook School District","=""0290011""","Not Eligible For Lunch","*"
"Columbia School District","=""0300011""","Eligible For Free Lunch",0.0
"Columbia School District","=""0300011""","Eligible For Reduced Lunch","*"
"Columbia School District","=""0300011""","Not Eligible For Lunch","*"
"Common Ground High School District","=""2680013""","Eligible For Free Lunch",24.7
"Common Ground High School District","=""2680013""","Eligible For Reduced Lunch","*"
"Common Ground High School District","=""2680013""","Not Eligible For Lunch",7.6
"Connecticut Technical High School System","=""9000016""","Eligible For Free Lunch",18.3
"Connecticut Technical High School System","=""9000016""","Eligible For Reduced Lunch",9.6
"Connecticut Technical High School System","=""9000016""","Not Eligible For Lunch",8.8
"Cooperative Educational Services","=""2430014""","Eligible For Free Lunch",25.5
"Cooperative Educational Services","=""2430014""","Eligible For Reduced Lunch",13.3
"Cooperative Educational Services","=""2430014""","Not Eligible For Lunch",13.3
"Cornwall School District","=""0310011""","Eligible For Free Lunch","*"
"Cornwall School District","=""0310011""","Not Eligible For Lunch","*"
"Coventry School District","=""0320011""","Eligible For Free Lunch",10.9
"Coventry School District","=""0320011""","Eligible For Reduced Lunch",16.3
"Coventry School District","=""0320011""","Not Eligible For Lunch",4.1
"Cromwell School District","=""0330011""","Eligible For Free Lunch",13.6
"Cromwell School District","=""0330011""","Eligible For Reduced Lunch",11.0
"Cromwell School District","=""0330011""","Not Eligible For Lunch",3.8
"Danbury School District","=""0340011""","Eligible For Free Lunch",9.1
"Danbury School District","=""0340011""","Eligible For Reduced Lunch",3.8
"Danbury School District","=""0340011""","Not Eligible For Lunch",4.0
"Darien School District","=""0350011""","Eligible For Free Lunch","*"
"Darien School District","=""0350011""","Eligible For Reduced Lunch","*"
"Darien School District","=""0350011""","Not Eligible For Lunch",3.6
"Deep River School District","=""0360011""","Eligible For Free Lunch",0.0
"Deep River School District","=""0360011""","Eligible For Reduced Lunch","*"
"Deep River School District","=""0360011""","Not Eligible For Lunch",2.5
"Department of Mental Health and Addiction Services","=""3370015""","Eligible For Free Lunch","*"
"Derby School District","=""0370011""","Eligible For Free Lunch",21.4
"Derby School District","=""0370011""","Eligible For Reduced Lunch",9.6
"Derby School District","=""0370011""","Not Eligible For Lunch",11.4
"East Granby School District","=""0400011""","Eligible For Free Lunch",14.3
"East Granby School District","=""0400011""","Not Eligible For Lunch",4.9
"East Haddam School District","=""0410011""","Eligible For Free Lunch",11.0
"East Haddam School District","=""0410011""","Eligible For Reduced Lunch","*"
"East Haddam School District","=""0410011""","Not Eligible For Lunch",6.0
"East Hampton School District","=""0420011""","Eligible For Free Lunch",21.0
"East Hampton School District","=""0420011""","Eligible For Reduced Lunch","*"
"East Hampton School District","=""0420011""","Not Eligible For Lunch",5.4
"East Hartford School District","=""0430011""","Eligible For Free Lunch",16.6
"East Hartford School District","=""0430011""","Eligible For Reduced Lunch",7.3
"East Hartford School District","=""0430011""","Not Eligible For Lunch",7.2
"East Haven School District","=""0440011""","Eligible For Free Lunch",15.0
"East Haven School District","=""0440011""","Eligible For Reduced Lunch",11.7
"East Haven School District","=""0440011""","Not Eligible For Lunch",10.4
"East Lyme School District","=""0450011""","Eligible For Free Lunch",10.4
"East Lyme School District","=""0450011""","Eligible For Reduced Lunch",14.5
"East Lyme School District","=""0450011""","Not Eligible For Lunch",4.2
"East Windsor School District","=""0470011""","Eligible For Free Lunch",18.0
"East Windsor School District","=""0470011""","Eligible For Reduced Lunch",16.5
"East Windsor School District","=""0470011""","Not Eligible For Lunch",6.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible For Free Lunch",17.8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible For Reduced Lunch","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Not Eligible For Lunch",12.1
"Eastford School District","=""0390011""","Eligible For Free Lunch","*"
"Eastford School District","=""0390011""","Not Eligible For Lunch","*"
"Easton School District","=""0460011""","Eligible For Free Lunch","*"
"Easton School District","=""0460011""","Eligible For Reduced Lunch","*"
"Easton School District","=""0460011""","Not Eligible For Lunch",2.3
"Education Connection","=""2420014""","Eligible For Free Lunch","*"
"Education Connection","=""2420014""","Eligible For Reduced Lunch","*"
"Education Connection","=""2420014""","Not Eligible For Lunch","*"
"Ellington School District","=""0480011""","Eligible For Free Lunch",13.3
"Ellington School District","=""0480011""","Eligible For Reduced Lunch",11.7
"Ellington School District","=""0480011""","Not Eligible For Lunch",2.8
"Elm City College Preparatory School District","=""2890013""","Eligible For Free Lunch",6.0
"Elm City College Preparatory School District","=""2890013""","Eligible For Reduced Lunch","*"
"Elm City College Preparatory School District","=""2890013""","Not Eligible For Lunch","*"
"Enfield School District","=""0490011""","Eligible For Free Lunch",20.6
"Enfield School District","=""0490011""","Eligible For Reduced Lunch",11.3
"Enfield School District","=""0490011""","Not Eligible For Lunch",8.3
"Essex School District","=""0500011""","Eligible For Free Lunch","*"
"Essex School District","=""0500011""","Eligible For Reduced Lunch",0.0
"Essex School District","=""0500011""","Not Eligible For Lunch",2.0
"Explorations District","=""2720013""","Eligible For Free Lunch",44.0
"Explorations District","=""2720013""","Not Eligible For Lunch",22.2
"Fairfield School District","=""0510011""","Eligible For Free Lunch",10.0
"Fairfield School District","=""0510011""","Eligible For Reduced Lunch",5.3
"Fairfield School District","=""0510011""","Not Eligible For Lunch",3.1
"Farmington School District","=""0520011""","Eligible For Free Lunch",15.7
"Farmington School District","=""0520011""","Eligible For Reduced Lunch",14.7
"Farmington School District","=""0520011""","Not Eligible For Lunch",5.4
"Franklin School District","=""0530011""","Eligible For Free Lunch","*"
"Franklin School District","=""0530011""","Eligible For Reduced Lunch","*"
"Franklin School District","=""0530011""","Not Eligible For Lunch","*"
"Glastonbury School District","=""0540011""","Eligible For Free Lunch",8.4
"Glastonbury School District","=""0540011""","Eligible For Reduced Lunch","*"
"Glastonbury School District","=""0540011""","Not Eligible For Lunch",2.4
"Granby School District","=""0560011""","Eligible For Free Lunch",16.9
"Granby School District","=""0560011""","Eligible For Reduced Lunch","*"
"Granby School District","=""0560011""","Not Eligible For Lunch",3.9
"Greenwich School District","=""0570011""","Eligible For Free Lunch",11.3
"Greenwich School District","=""0570011""","Eligible For Reduced Lunch",6.5
"Greenwich School District","=""0570011""","Not Eligible For Lunch",3.8
"Griswold School District","=""0580011""","Eligible For Free Lunch",21.1
"Griswold School District","=""0580011""","Eligible For Reduced Lunch",7.9
"Griswold School District","=""0580011""","Not Eligible For Lunch",5.9
"Groton School District","=""0590011""","Eligible For Free Lunch",18.7
"Groton School District","=""0590011""","Eligible For Reduced Lunch",9.1
"Groton School District","=""0590011""","Not Eligible For Lunch",8.0
"Guilford School District","=""0600011""","Eligible For Free Lunch",14.7
"Guilford School District","=""0600011""","Eligible For Reduced Lunch",11.5
"Guilford School District","=""0600011""","Not Eligible For Lunch",5.1
"Hamden School District","=""0620011""","Eligible For Free Lunch",23.0
"Hamden School District","=""0620011""","Eligible For Reduced Lunch",17.8
"Hamden School District","=""0620011""","Not Eligible For Lunch",9.5
"Hampton School District","=""0630011""","Eligible For Free Lunch","*"
"Hampton School District","=""0630011""","Eligible For Reduced Lunch","*"
"Hampton School District","=""0630011""","Not Eligible For Lunch","*"
"Hartford School District","=""0640011""","Eligible For Free Lunch",29.8
"Hartford School District","=""0640011""","Eligible For Reduced Lunch",9.4
"Hartford School District","=""0640011""","Not Eligible For Lunch",8.2
"Hartland School District","=""0650011""","Eligible For Free Lunch","*"
"Hartland School District","=""0650011""","Eligible For Reduced Lunch","*"
"Hartland School District","=""0650011""","Not Eligible For Lunch",4.3
"Hebron School District","=""0670011""","Eligible For Free Lunch","*"
"Hebron School District","=""0670011""","Eligible For Reduced Lunch","*"
"Hebron School District","=""0670011""","Not Eligible For Lunch",1.8
"Highville Charter School District","=""2860013""","Eligible For Free Lunch","*"
"Highville Charter School District","=""2860013""","Eligible For Reduced Lunch","*"
"Highville Charter School District","=""2860013""","Not Eligible For Lunch","*"
"Integrated Day Charter School District","=""2640013""","Eligible For Free Lunch",14.1
"Integrated Day Charter School District","=""2640013""","Eligible For Reduced Lunch","*"
"Integrated Day Charter School District","=""2640013""","Not Eligible For Lunch",3.8
"Interdistrict School for Arts and Comm District","=""2650013""","Eligible For Free Lunch",15.9
"Interdistrict School for Arts and Comm District","=""2650013""","Eligible For Reduced Lunch","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Not Eligible For Lunch","*"
"Jumoke Academy District","=""2610013""","Eligible For Free Lunch",6.7
"Jumoke Academy District","=""2610013""","Eligible For Reduced Lunch",8.9
