"Chronic Absenteeism, 2011-12"
", English Learner Status"

"District","District Code","English Learner Status","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELL","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Non-ELL",8.1
"Amistad Academy District","=""2790013""","ELL","*"
"Amistad Academy District","=""2790013""","Non-ELL",2.9
"Andover School District","=""0010011""","ELL","*"
"Andover School District","=""0010011""","Non-ELL","*"
"Ansonia School District","=""0020011""","ELL",15.2
"Ansonia School District","=""0020011""","Non-ELL",12.1
"Area Cooperative Educational Services","=""2440014""","ELL",15.4
"Area Cooperative Educational Services","=""2440014""","Non-ELL",18.6
"Ashford School District","=""0030011""","ELL","*"
"Ashford School District","=""0030011""","Non-ELL",9.7
"Avon School District","=""0040011""","ELL","*"
"Avon School District","=""0040011""","Non-ELL",4.2
"Barkhamsted School District","=""0050011""","ELL","*"
"Barkhamsted School District","=""0050011""","Non-ELL",3.2
"Berlin School District","=""0070011""","ELL",8.2
"Berlin School District","=""0070011""","Non-ELL",5.7
"Bethany School District","=""0080011""","ELL","*"
"Bethany School District","=""0080011""","Non-ELL",3.2
"Bethel School District","=""0090011""","ELL",14.5
"Bethel School District","=""0090011""","Non-ELL",5.9
"Bloomfield School District","=""0110011""","ELL","*"
"Bloomfield School District","=""0110011""","Non-ELL",7.4
"Bolton School District","=""0120011""","ELL","*"
"Bolton School District","=""0120011""","Non-ELL",2.6
"Bozrah School District","=""0130011""","Non-ELL",5.3
"Branford School District","=""0140011""","ELL",8.7
"Branford School District","=""0140011""","Non-ELL",7.3
"Bridgeport Achievement First District","=""2850013""","ELL","*"
"Bridgeport Achievement First District","=""2850013""","Non-ELL",1.3
"Bridgeport School District","=""0150011""","ELL",20.8
"Bridgeport School District","=""0150011""","Non-ELL",19.5
"Bristol School District","=""0170011""","ELL",23.4
"Bristol School District","=""0170011""","Non-ELL",11.0
"Brookfield School District","=""0180011""","ELL","*"
"Brookfield School District","=""0180011""","Non-ELL",4.9
"Brooklyn School District","=""0190011""","ELL","*"
"Brooklyn School District","=""0190011""","Non-ELL",6.9
"Canaan School District","=""0210011""","Non-ELL",10.7
"Canterbury School District","=""0220011""","Non-ELL",3.7
"Canton School District","=""0230011""","ELL","*"
"Canton School District","=""0230011""","Non-ELL",4.4
"Capitol Region Education Council","=""2410014""","ELL",18.5
"Capitol Region Education Council","=""2410014""","Non-ELL",14.2
"Chaplin School District","=""0240011""","Non-ELL",9.6
"Cheshire School District","=""0250011""","ELL","*"
"Cheshire School District","=""0250011""","Non-ELL",5.4
"Chester School District","=""0260011""","ELL","*"
"Chester School District","=""0260011""","Non-ELL",5.8
"Clinton School District","=""0270011""","ELL",22.5
"Clinton School District","=""0270011""","Non-ELL",10.3
"Colchester School District","=""0280011""","ELL",0.0
"Colchester School District","=""0280011""","Non-ELL",2.5
"Colebrook School District","=""0290011""","Non-ELL","*"
"Columbia School District","=""0300011""","Non-ELL",7.4
"Common Ground High School District","=""2680013""","ELL","*"
"Common Ground High School District","=""2680013""","Non-ELL",12.4
"Connecticut Technical High School System","=""9000016""","ELL",8.7
"Connecticut Technical High School System","=""9000016""","Non-ELL",10.2
"Cooperative Educational Services","=""2430014""","Non-ELL",17.0
"Cornwall School District","=""0310011""","Non-ELL",5.7
"Coventry School District","=""0320011""","ELL","*"
"Coventry School District","=""0320011""","Non-ELL",6.2
"Cromwell School District","=""0330011""","ELL","*"
"Cromwell School District","=""0330011""","Non-ELL",6.2
"Danbury School District","=""0340011""","ELL",14.1
"Danbury School District","=""0340011""","Non-ELL",12.1
"Darien School District","=""0350011""","ELL","*"
"Darien School District","=""0350011""","Non-ELL",4.1
"Deep River School District","=""0360011""","ELL","*"
"Deep River School District","=""0360011""","Non-ELL",5.2
"Department of Mental Health and Addiction Services","=""3370015""","Non-ELL","*"
"Derby School District","=""0370011""","ELL","*"
"Derby School District","=""0370011""","Non-ELL",13.8
"East Granby School District","=""0400011""","ELL","*"
"East Granby School District","=""0400011""","Non-ELL",5.1
"East Haddam School District","=""0410011""","ELL","*"
"East Haddam School District","=""0410011""","Non-ELL",7.7
"East Hampton School District","=""0420011""","ELL","*"
"East Hampton School District","=""0420011""","Non-ELL",5.9
"East Hartford School District","=""0430011""","ELL",11.8
"East Hartford School District","=""0430011""","Non-ELL",9.7
"East Haven School District","=""0440011""","ELL",11.3
"East Haven School District","=""0440011""","Non-ELL",17.8
"East Lyme School District","=""0450011""","ELL","*"
"East Lyme School District","=""0450011""","Non-ELL",6.0
"East Windsor School District","=""0470011""","ELL","*"
"East Windsor School District","=""0470011""","Non-ELL",11.8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELL","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-ELL",19.7
"Eastford School District","=""0390011""","Non-ELL",5.7
"Easton School District","=""0460011""","ELL","*"
"Easton School District","=""0460011""","Non-ELL",4.0
"Education Connection","=""2420014""","Non-ELL",50.0
"Ellington School District","=""0480011""","ELL","*"
"Ellington School District","=""0480011""","Non-ELL",4.3
"Elm City College Preparatory School District","=""2890013""","ELL","*"
"Elm City College Preparatory School District","=""2890013""","Non-ELL",1.6
"Enfield School District","=""0490011""","ELL",9.3
"Enfield School District","=""0490011""","Non-ELL",11.7
"Essex School District","=""0500011""","ELL","*"
"Essex School District","=""0500011""","Non-ELL",2.9
"Explorations District","=""2720013""","Non-ELL",20.3
"Fairfield School District","=""0510011""","ELL",8.6
"Fairfield School District","=""0510011""","Non-ELL",5.1
