"Chronic Absenteeism, 2015-16"
", Gender"

"District","District Code","Gender","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Female",10.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Male",9.4
"Amistad Academy District","=""2790013""","Female",5.0
"Amistad Academy District","=""2790013""","Male",5.7
"Andover School District","=""0010011""","Female","*"
"Andover School District","=""0010011""","Male","*"
"Ansonia School District","=""0020011""","Female",13.4
"Ansonia School District","=""0020011""","Male",15.5
"Area Cooperative Educational Services","=""2440014""","Female",15.5
"Area Cooperative Educational Services","=""2440014""","Male",20.1
"Ashford School District","=""0030011""","Female",5.1
"Ashford School District","=""0030011""","Male",5.2
"Avon School District","=""0040011""","Female",4.6
"Avon School District","=""0040011""","Male",4.4
"Barkhamsted School District","=""0050011""","Female",5.3
"Barkhamsted School District","=""0050011""","Male","*"
"Berlin School District","=""0070011""","Female",3.8
"Berlin School District","=""0070011""","Male",3.5
"Bethany School District","=""0080011""","Female",4.9
"Bethany School District","=""0080011""","Male",5.4
"Bethel School District","=""0090011""","Female",6.3
"Bethel School District","=""0090011""","Male",7.6
"Bloomfield School District","=""0110011""","Female",7.3
"Bloomfield School District","=""0110011""","Male",10.4
"Bolton School District","=""0120011""","Female",4.7
"Bolton School District","=""0120011""","Male",1.8
"Booker T. Washington Academy District","=""2950013""","Female",23.1
"Booker T. Washington Academy District","=""2950013""","Male",18.0
"Bozrah School District","=""0130011""","Female","*"
"Bozrah School District","=""0130011""","Male",8.2
"Branford School District","=""0140011""","Female",9.7
"Branford School District","=""0140011""","Male",9.2
"Brass City Charter School District","=""2900013""","Female",7.8
"Brass City Charter School District","=""2900013""","Male","*"
"Bridgeport Achievement First District","=""2850013""","Female",4.9
"Bridgeport Achievement First District","=""2850013""","Male",4.4
"Bridgeport School District","=""0150011""","Female",17.3
"Bridgeport School District","=""0150011""","Male",17.4
"Bristol School District","=""0170011""","Female",8.6
"Bristol School District","=""0170011""","Male",8.8
"Brookfield School District","=""0180011""","Female",2.3
"Brookfield School District","=""0180011""","Male",2.1
"Brooklyn School District","=""0190011""","Female",3.6
"Brooklyn School District","=""0190011""","Male","*"
"Canaan School District","=""0210011""","Female","*"
"Canaan School District","=""0210011""","Male","*"
"Canterbury School District","=""0220011""","Female","*"
"Canterbury School District","=""0220011""","Male",4.6
"Canton School District","=""0230011""","Female",6.8
"Canton School District","=""0230011""","Male",4.4
"Capital Preparatory Harbor School Inc. District","=""2970013""","Female",13.6
"Capital Preparatory Harbor School Inc. District","=""2970013""","Male",13.7
"Capitol Region Education Council","=""2410014""","Female",13.4
"Capitol Region Education Council","=""2410014""","Male",10.0
"Chaplin School District","=""0240011""","Female",12.5
"Chaplin School District","=""0240011""","Male",7.9
"Cheshire School District","=""0250011""","Female",4.4
"Cheshire School District","=""0250011""","Male",6.0
"Chester School District","=""0260011""","Female","*"
"Chester School District","=""0260011""","Male","*"
"Clinton School District","=""0270011""","Female",5.8
"Clinton School District","=""0270011""","Male",5.1
"Colchester School District","=""0280011""","Female",5.9
"Colchester School District","=""0280011""","Male",5.7
"Colebrook School District","=""0290011""","Female","*"
"Colebrook School District","=""0290011""","Male",0.0
"Columbia School District","=""0300011""","Female",4.4
"Columbia School District","=""0300011""","Male",3.3
"Common Ground High School District","=""2680013""","Female",16.9
