"Chronic Absenteeism, 2012-13"
", English Learner Status"

"District","District Code","English Learner Status","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELL","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Non-ELL",3.2
"Amistad Academy District","=""2790013""","ELL","*"
"Amistad Academy District","=""2790013""","Non-ELL",2.6
"Andover School District","=""0010011""","ELL","*"
"Andover School District","=""0010011""","Non-ELL",3.9
"Ansonia School District","=""0020011""","ELL",15.4
"Ansonia School District","=""0020011""","Non-ELL",14.3
"Area Cooperative Educational Services","=""2440014""","ELL","*"
"Area Cooperative Educational Services","=""2440014""","Non-ELL",19.7
"Ashford School District","=""0030011""","ELL","*"
"Ashford School District","=""0030011""","Non-ELL",7.0
"Avon School District","=""0040011""","ELL","*"
"Avon School District","=""0040011""","Non-ELL",5.0
"Barkhamsted School District","=""0050011""","ELL","*"
"Barkhamsted School District","=""0050011""","Non-ELL",3.7
"Berlin School District","=""0070011""","ELL","*"
"Berlin School District","=""0070011""","Non-ELL",5.7
"Bethany School District","=""0080011""","Non-ELL",5.6
"Bethel School District","=""0090011""","ELL",8.5
"Bethel School District","=""0090011""","Non-ELL",6.8
"Bloomfield School District","=""0110011""","ELL","*"
"Bloomfield School District","=""0110011""","Non-ELL",7.9
"Bolton School District","=""0120011""","ELL","*"
"Bolton School District","=""0120011""","Non-ELL",3.8
"Bozrah School District","=""0130011""","ELL","*"
"Bozrah School District","=""0130011""","Non-ELL",8.0
"Branford School District","=""0140011""","ELL","*"
"Branford School District","=""0140011""","Non-ELL",8.0
"Bridgeport Achievement First District","=""2850013""","ELL","*"
"Bridgeport Achievement First District","=""2850013""","Non-ELL",2.7
"Bridgeport School District","=""0150011""","ELL",25.0
"Bridgeport School District","=""0150011""","Non-ELL",25.1
"Bristol School District","=""0170011""","ELL",21.3
"Bristol School District","=""0170011""","Non-ELL",9.7
"Brookfield School District","=""0180011""","ELL","*"
"Brookfield School District","=""0180011""","Non-ELL",1.8
"Brooklyn School District","=""0190011""","ELL","*"
"Brooklyn School District","=""0190011""","Non-ELL",6.7
"Canaan School District","=""0210011""","ELL","*"
"Canaan School District","=""0210011""","Non-ELL","*"
"Canterbury School District","=""0220011""","Non-ELL",6.4
"Canton School District","=""0230011""","ELL","*"
"Canton School District","=""0230011""","Non-ELL",4.4
"Capitol Region Education Council","=""2410014""","ELL",24.6
"Capitol Region Education Council","=""2410014""","Non-ELL",13.9
"Chaplin School District","=""0240011""","ELL","*"
"Chaplin School District","=""0240011""","Non-ELL",8.5
"Cheshire School District","=""0250011""","ELL","*"
"Cheshire School District","=""0250011""","Non-ELL",4.1
"Chester School District","=""0260011""","Non-ELL",9.2
"Clinton School District","=""0270011""","ELL","*"
"Clinton School District","=""0270011""","Non-ELL",7.9
"Colchester School District","=""0280011""","ELL","*"
"Colchester School District","=""0280011""","Non-ELL",6.1
"Colebrook School District","=""0290011""","Non-ELL","*"
"Columbia School District","=""0300011""","Non-ELL",4.1
"Common Ground High School District","=""2680013""","ELL","*"
"Common Ground High School District","=""2680013""","Non-ELL",14.6
"Connecticut Technical High School System","=""9000016""","ELL",8.9
"Connecticut Technical High School System","=""9000016""","Non-ELL",12.1
"Cooperative Educational Services","=""2430014""","Non-ELL",18.5
"Cornwall School District","=""0310011""","ELL","*"
"Cornwall School District","=""0310011""","Non-ELL","*"
"Coventry School District","=""0320011""","Non-ELL",6.9
"Cromwell School District","=""0330011""","ELL",0.0
"Cromwell School District","=""0330011""","Non-ELL",4.7
"Danbury School District","=""0340011""","ELL",11.9
