"Chronic Absenteeism, 2014-15"
", Grade"

"District","District Code","Grade","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Kindergarten",17.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   1",8.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   2",12.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   3",8.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   4",7.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   5",10.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   6",10.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   7",18.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   8",16.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   9","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 11",0.0
"Amistad Academy District","=""2790013""","Kindergarten",7.6
"Amistad Academy District","=""2790013""","Grade   1","*"
"Amistad Academy District","=""2790013""","Grade   2","*"
"Amistad Academy District","=""2790013""","Grade   3","*"
"Amistad Academy District","=""2790013""","Grade   4",0.0
"Amistad Academy District","=""2790013""","Grade   5",10.0
"Amistad Academy District","=""2790013""","Grade   6",6.9
"Amistad Academy District","=""2790013""","Grade   7","*"
"Amistad Academy District","=""2790013""","Grade   8","*"
"Amistad Academy District","=""2790013""","Grade   9","*"
"Amistad Academy District","=""2790013""","Grade 10",13.2
"Amistad Academy District","=""2790013""","Grade 11",0.0
"Amistad Academy District","=""2790013""","Grade 12","*"
"Andover School District","=""0010011""","Kindergarten",0.0
"Andover School District","=""0010011""","Grade   1",0.0
"Andover School District","=""0010011""","Grade   2","*"
"Andover School District","=""0010011""","Grade   3",0.0
"Andover School District","=""0010011""","Grade   4","*"
"Andover School District","=""0010011""","Grade   5",0.0
"Andover School District","=""0010011""","Grade   6","*"
"Ansonia School District","=""0020011""","Kindergarten",18.6
"Ansonia School District","=""0020011""","Grade   1",10.7
"Ansonia School District","=""0020011""","Grade   2",9.8
"Ansonia School District","=""0020011""","Grade   3",7.3
"Ansonia School District","=""0020011""","Grade   4",12.8
"Ansonia School District","=""0020011""","Grade   5",7.9
"Ansonia School District","=""0020011""","Grade   6",13.9
"Ansonia School District","=""0020011""","Grade   7",13.0
"Ansonia School District","=""0020011""","Grade   8",20.6
"Ansonia School District","=""0020011""","Grade   9",27.3
"Ansonia School District","=""0020011""","Grade 10",23.2
"Ansonia School District","=""0020011""","Grade 11",17.9
"Ansonia School District","=""0020011""","Grade 12",30.4
"Area Cooperative Educational Services","=""2440014""","Kindergarten",16.2
"Area Cooperative Educational Services","=""2440014""","Grade   1","*"
"Area Cooperative Educational Services","=""2440014""","Grade   2",19.8
"Area Cooperative Educational Services","=""2440014""","Grade   3",15.1
"Area Cooperative Educational Services","=""2440014""","Grade   4",19.5
"Area Cooperative Educational Services","=""2440014""","Grade   5",14.0
"Area Cooperative Educational Services","=""2440014""","Grade   6",10.4
"Area Cooperative Educational Services","=""2440014""","Grade   7",22.4
"Area Cooperative Educational Services","=""2440014""","Grade   8",18.2
"Area Cooperative Educational Services","=""2440014""","Grade   9",42.9
"Area Cooperative Educational Services","=""2440014""","Grade 10",44.3
"Area Cooperative Educational Services","=""2440014""","Grade 11",51.1
"Area Cooperative Educational Services","=""2440014""","Grade 12",47.1
"Ashford School District","=""0030011""","Kindergarten","*"
"Ashford School District","=""0030011""","Grade   1","*"
"Ashford School District","=""0030011""","Grade   2","*"
"Ashford School District","=""0030011""","Grade   3","*"
"Ashford School District","=""0030011""","Grade   4","*"
"Ashford School District","=""0030011""","Grade   5","*"
"Ashford School District","=""0030011""","Grade   6","*"
"Ashford School District","=""0030011""","Grade   7","*"
"Ashford School District","=""0030011""","Grade   8",12.2
"Avon School District","=""0040011""","Kindergarten",3.2
"Avon School District","=""0040011""","Grade   1",2.8
"Avon School District","=""0040011""","Grade   2",2.7
"Avon School District","=""0040011""","Grade   3","*"
"Avon School District","=""0040011""","Grade   4","*"
"Avon School District","=""0040011""","Grade   5",5.0
"Avon School District","=""0040011""","Grade   6",3.9
"Avon School District","=""0040011""","Grade   7",0.0
"Avon School District","=""0040011""","Grade   8","*"
"Avon School District","=""0040011""","Grade   9",4.5
"Avon School District","=""0040011""","Grade 10",3.5
"Avon School District","=""0040011""","Grade 11",4.9
"Avon School District","=""0040011""","Grade 12",6.0
"Barkhamsted School District","=""0050011""","Kindergarten","*"
"Barkhamsted School District","=""0050011""","Grade   1",0.0
"Barkhamsted School District","=""0050011""","Grade   2","*"
"Barkhamsted School District","=""0050011""","Grade   3","*"
"Barkhamsted School District","=""0050011""","Grade   4","*"
"Barkhamsted School District","=""0050011""","Grade   5",0.0
"Barkhamsted School District","=""0050011""","Grade   6",0.0
"Berlin School District","=""0070011""","Kindergarten","*"
"Berlin School District","=""0070011""","Grade   1",3.0
"Berlin School District","=""0070011""","Grade   2","*"
"Berlin School District","=""0070011""","Grade   3",3.2
"Berlin School District","=""0070011""","Grade   4","*"
"Berlin School District","=""0070011""","Grade   5","*"
"Berlin School District","=""0070011""","Grade   6",3.3
"Berlin School District","=""0070011""","Grade   7","*"
"Berlin School District","=""0070011""","Grade   8",3.7
"Berlin School District","=""0070011""","Grade   9",6.8
"Berlin School District","=""0070011""","Grade 10",15.2
"Berlin School District","=""0070011""","Grade 11",11.2
"Berlin School District","=""0070011""","Grade 12",20.0
"Bethany School District","=""0080011""","Kindergarten","*"
"Bethany School District","=""0080011""","Grade   1","*"
"Bethany School District","=""0080011""","Grade   2","*"
"Bethany School District","=""0080011""","Grade   3","*"
"Bethany School District","=""0080011""","Grade   4","*"
"Bethany School District","=""0080011""","Grade   5","*"
"Bethany School District","=""0080011""","Grade   6","*"
"Bethel School District","=""0090011""","Kindergarten",7.3
"Bethel School District","=""0090011""","Grade   1",2.7
"Bethel School District","=""0090011""","Grade   2",2.8
"Bethel School District","=""0090011""","Grade   3",5.0
"Bethel School District","=""0090011""","Grade   4","*"
"Bethel School District","=""0090011""","Grade   5",3.8
"Bethel School District","=""0090011""","Grade   6",4.1
"Bethel School District","=""0090011""","Grade   7",6.0
"Bethel School District","=""0090011""","Grade   8",8.6
"Bethel School District","=""0090011""","Grade   9","*"
"Bethel School District","=""0090011""","Grade 10",3.3
"Bethel School District","=""0090011""","Grade 11",4.0
"Bethel School District","=""0090011""","Grade 12",7.4
