"Chronic Absenteeism, 2014-15"
", English Learner Status"

"District","District Code","English Learner Status","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELL",24.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Non-ELL",9.9
"Amistad Academy District","=""2790013""","ELL",10.3
"Amistad Academy District","=""2790013""","Non-ELL",4.7
"Andover School District","=""0010011""","ELL","*"
"Andover School District","=""0010011""","Non-ELL","*"
"Ansonia School District","=""0020011""","ELL",18.0
"Ansonia School District","=""0020011""","Non-ELL",16.2
"Area Cooperative Educational Services","=""2440014""","ELL",12.1
"Area Cooperative Educational Services","=""2440014""","Non-ELL",20.9
"Ashford School District","=""0030011""","ELL","*"
"Ashford School District","=""0030011""","Non-ELL",6.4
"Avon School District","=""0040011""","ELL","*"
"Avon School District","=""0040011""","Non-ELL",3.1
"Barkhamsted School District","=""0050011""","Non-ELL",2.0
"Berlin School District","=""0070011""","ELL","*"
"Berlin School District","=""0070011""","Non-ELL",6.0
"Bethany School District","=""0080011""","ELL","*"
"Bethany School District","=""0080011""","Non-ELL",4.8
"Bethel School District","=""0090011""","ELL",5.6
"Bethel School District","=""0090011""","Non-ELL",4.5
"Bloomfield School District","=""0110011""","ELL","*"
"Bloomfield School District","=""0110011""","Non-ELL",8.9
"Bolton School District","=""0120011""","ELL","*"
"Bolton School District","=""0120011""","Non-ELL",5.7
"Booker T. Washington Academy District","=""2950013""","Non-ELL",30.4
"Bozrah School District","=""0130011""","ELL","*"
"Bozrah School District","=""0130011""","Non-ELL",3.2
"Branford School District","=""0140011""","ELL",9.2
"Branford School District","=""0140011""","Non-ELL",9.2
"Brass City Charter School District","=""2900013""","Non-ELL",10.5
"Bridgeport Achievement First District","=""2850013""","ELL","*"
"Bridgeport Achievement First District","=""2850013""","Non-ELL",3.0
"Bridgeport School District","=""0150011""","ELL",18.2
"Bridgeport School District","=""0150011""","Non-ELL",19.1
"Bristol School District","=""0170011""","ELL",16.3
"Bristol School District","=""0170011""","Non-ELL",10.6
"Brookfield School District","=""0180011""","ELL","*"
"Brookfield School District","=""0180011""","Non-ELL",3.8
"Brooklyn School District","=""0190011""","ELL","*"
"Brooklyn School District","=""0190011""","Non-ELL",5.5
"Canaan School District","=""0210011""","ELL","*"
"Canaan School District","=""0210011""","Non-ELL","*"
"Canterbury School District","=""0220011""","Non-ELL",3.8
"Canton School District","=""0230011""","ELL","*"
"Canton School District","=""0230011""","Non-ELL",9.3
"Capitol Region Education Council","=""2410014""","ELL",27.3
"Capitol Region Education Council","=""2410014""","Non-ELL",14.5
"Chaplin School District","=""0240011""","ELL","*"
"Chaplin School District","=""0240011""","Non-ELL",11.5
"Cheshire School District","=""0250011""","ELL","*"
"Cheshire School District","=""0250011""","Non-ELL",4.0
"Chester School District","=""0260011""","Non-ELL","*"
"Clinton School District","=""0270011""","ELL","*"
"Clinton School District","=""0270011""","Non-ELL",6.9
"Colchester School District","=""0280011""","ELL",0.0
"Colchester School District","=""0280011""","Non-ELL",4.0
"Colebrook School District","=""0290011""","Non-ELL","*"
"Columbia School District","=""0300011""","Non-ELL",5.2
"Common Ground High School District","=""2680013""","ELL","*"
"Common Ground High School District","=""2680013""","Non-ELL",15.4
"Connecticut Technical High School System","=""9000016""","ELL",16.4
"Connecticut Technical High School System","=""9000016""","Non-ELL",13.6
"Cooperative Educational Services","=""2430014""","Non-ELL",18.9
"Cornwall School District","=""0310011""","ELL","*"
"Cornwall School District","=""0310011""","Non-ELL","*"
"Coventry School District","=""0320011""","ELL","*"
"Coventry School District","=""0320011""","Non-ELL",6.9
"Cromwell School District","=""0330011""","ELL","*"
"Cromwell School District","=""0330011""","Non-ELL",3.0
"Danbury School District","=""0340011""","ELL",6.7
"Danbury School District","=""0340011""","Non-ELL",7.2
"Darien School District","=""0350011""","ELL","*"
"Darien School District","=""0350011""","Non-ELL",4.2
"Deep River School District","=""0360011""","ELL","*"
"Deep River School District","=""0360011""","Non-ELL","*"
"Department of Mental Health and Addiction Services","=""3370015""","Non-ELL","*"
"Derby School District","=""0370011""","ELL",12.0
"Derby School District","=""0370011""","Non-ELL",17.0
"East Granby School District","=""0400011""","ELL","*"
"East Granby School District","=""0400011""","Non-ELL",7.0
"East Haddam School District","=""0410011""","Non-ELL",6.8
"East Hampton School District","=""0420011""","ELL","*"
"East Hampton School District","=""0420011""","Non-ELL",7.5
"East Hartford School District","=""0430011""","ELL",20.2
"East Hartford School District","=""0430011""","Non-ELL",15.6
"East Haven School District","=""0440011""","ELL",4.9
"East Haven School District","=""0440011""","Non-ELL",11.8
"East Lyme School District","=""0450011""","ELL","*"
"East Lyme School District","=""0450011""","Non-ELL",5.7
"East Windsor School District","=""0470011""","ELL",0.0
"East Windsor School District","=""0470011""","Non-ELL",10.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELL","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-ELL",32.2
"Eastford School District","=""0390011""","Non-ELL",5.8
"Easton School District","=""0460011""","ELL","*"
"Easton School District","=""0460011""","Non-ELL",2.3
"Education Connection","=""2420014""","Non-ELL",65.4
"Ellington School District","=""0480011""","ELL",20.0
"Ellington School District","=""0480011""","Non-ELL",4.3
"Elm City College Preparatory School District","=""2890013""","ELL","*"
"Elm City College Preparatory School District","=""2890013""","Non-ELL",4.6
"Elm City Montessori School District","=""2910013""","ELL","*"
"Elm City Montessori School District","=""2910013""","Non-ELL","*"
"Enfield School District","=""0490011""","ELL",10.3
"Enfield School District","=""0490011""","Non-ELL",12.0
"Essex School District","=""0500011""","ELL","*"
"Essex School District","=""0500011""","Non-ELL",2.7
"Explorations District","=""2720013""","Non-ELL",28.4
"Fairfield School District","=""0510011""","ELL",4.3
"Fairfield School District","=""0510011""","Non-ELL",3.7
"Farmington School District","=""0520011""","ELL","*"
"Farmington School District","=""0520011""","Non-ELL",5.9
"Franklin School District","=""0530011""","Non-ELL",4.3
"Glastonbury School District","=""0540011""","ELL",10.6
"Glastonbury School District","=""0540011""","Non-ELL",2.9
"Granby School District","=""0560011""","ELL","*"
"Granby School District","=""0560011""","Non-ELL",4.7
"Great Oaks Charter School District","=""2940013""","ELL","*"
"Great Oaks Charter School District","=""2940013""","Non-ELL",20.6
"Greenwich School District","=""0570011""","ELL",3.9
"Greenwich School District","=""0570011""","Non-ELL",3.1
"Griswold School District","=""0580011""","ELL","*"
"Griswold School District","=""0580011""","Non-ELL",10.4
"Groton School District","=""0590011""","ELL",16.2
"Groton School District","=""0590011""","Non-ELL",11.2
"Guilford School District","=""0600011""","ELL","*"
"Guilford School District","=""0600011""","Non-ELL",4.9
"Hamden School District","=""0620011""","ELL",15.1
"Hamden School District","=""0620011""","Non-ELL",14.6
"Hampton School District","=""0630011""","Non-ELL",6.8
"Hartford School District","=""0640011""","ELL",33.9
"Hartford School District","=""0640011""","Non-ELL",23.7
"Hartland School District","=""0650011""","Non-ELL",3.2
"Hebron School District","=""0670011""","ELL","*"
"Hebron School District","=""0670011""","Non-ELL",2.2
"Highville Charter School District","=""2860013""","Non-ELL",6.6
"Integrated Day Charter School District","=""2640013""","ELL","*"
"Integrated Day Charter School District","=""2640013""","Non-ELL",5.5
"Interdistrict School for Arts and Comm District","=""2650013""","ELL",25.8
"Interdistrict School for Arts and Comm District","=""2650013""","Non-ELL",10.4
"Jumoke Academy District","=""2610013""","Non-ELL",7.9
"Kent School District","=""0680011""","ELL","*"
"Kent School District","=""0680011""","Non-ELL",2.5
"Killingly School District","=""0690011""","ELL","*"
"Killingly School District","=""0690011""","Non-ELL",9.8
"Learn","=""2450014""","ELL",12.0
"Learn","=""2450014""","Non-ELL",16.3
"Lebanon School District","=""0710011""","ELL","*"
"Lebanon School District","=""0710011""","Non-ELL",7.6
"Ledyard School District","=""0720011""","ELL",0.0
"Ledyard School District","=""0720011""","Non-ELL",3.6
"Lisbon School District","=""0730011""","ELL","*"
"Lisbon School District","=""0730011""","Non-ELL",6.5
"Litchfield School District","=""0740011""","ELL","*"
"Litchfield School District","=""0740011""","Non-ELL",6.3
"Madison School District","=""0760011""","ELL","*"
"Madison School District","=""0760011""","Non-ELL",2.9
"Manchester School District","=""0770011""","ELL",14.8
"Manchester School District","=""0770011""","Non-ELL",13.1
"Mansfield School District","=""0780011""","ELL","*"
"Mansfield School District","=""0780011""","Non-ELL",4.7
"Marlborough School District","=""0790011""","ELL","*"
"Marlborough School District","=""0790011""","Non-ELL",5.0
"Meriden School District","=""0800011""","ELL",19.4
"Meriden School District","=""0800011""","Non-ELL",16.1
"Middletown School District","=""0830011""","ELL",15.2
"Middletown School District","=""0830011""","Non-ELL",9.3
"Milford School District","=""0840011""","ELL",9.3
"Milford School District","=""0840011""","Non-ELL",8.5
"Monroe School District","=""0850011""","ELL","*"
"Monroe School District","=""0850011""","Non-ELL",2.8
"Montville School District","=""0860011""","ELL","*"
"Montville School District","=""0860011""","Non-ELL",6.6
"Naugatuck School District","=""0880011""","ELL",7.9
"Naugatuck School District","=""0880011""","Non-ELL",11.1
"New Beginnings Inc., Family Academy District","=""2800013""","ELL","*"
"New Beginnings Inc., Family Academy District","=""2800013""","Non-ELL",17.1
"New Britain School District","=""0890011""","ELL",25.7
"New Britain School District","=""0890011""","Non-ELL",19.5
"New Canaan School District","=""0900011""","ELL","*"
"New Canaan School District","=""0900011""","Non-ELL",2.7
"New Fairfield School District","=""0910011""","ELL","*"
"New Fairfield School District","=""0910011""","Non-ELL",2.9
"New Hartford School District","=""0920011""","ELL","*"
"New Hartford School District","=""0920011""","Non-ELL",2.7
"New Haven School District","=""0930011""","ELL",25.5
"New Haven School District","=""0930011""","Non-ELL",25.7
"New London School District","=""0950011""","ELL",17.9
"New London School District","=""0950011""","Non-ELL",17.7
"New Milford School District","=""0960011""","ELL",7.1
"New Milford School District","=""0960011""","Non-ELL",6.4
"Newington School District","=""0940011""","ELL",5.9
"Newington School District","=""0940011""","Non-ELL",6.5
"Newtown School District","=""0970011""","ELL","*"
"Newtown School District","=""0970011""","Non-ELL",3.7
"Norfolk School District","=""0980011""","Non-ELL","*"
"North Branford School District","=""0990011""","ELL","*"
"North Branford School District","=""0990011""","Non-ELL",4.1
"North Canaan School District","=""1000011""","ELL","*"
"North Canaan School District","=""1000011""","Non-ELL",5.4
"North Haven School District","=""1010011""","ELL",12.9
"North Haven School District","=""1010011""","Non-ELL",17.6
"North Stonington School District","=""1020011""","ELL","*"
"North Stonington School District","=""1020011""","Non-ELL",1.8
"Norwalk School District","=""1030011""","ELL",9.1
"Norwalk School District","=""1030011""","Non-ELL",8.2
"Norwich Free Academy District","=""9010022""","ELL",14.0
"Norwich Free Academy District","=""9010022""","Non-ELL",15.3
"Norwich School District","=""1040011""","ELL",10.9
"Norwich School District","=""1040011""","Non-ELL",13.8
"Odyssey Community School District","=""2630013""","ELL","*"
"Odyssey Community School District","=""2630013""","Non-ELL",7.0
"Old Saybrook School District","=""1060011""","ELL","*"
"Old Saybrook School District","=""1060011""","Non-ELL",11.9
"Orange School District","=""1070011""","ELL","*"
"Orange School District","=""1070011""","Non-ELL",3.0
"Oxford School District","=""1080011""","ELL","*"
"Oxford School District","=""1080011""","Non-ELL",7.3
"Park City Prep Charter School District","=""2830013""","Non-ELL",8.1
"Path Academy District","=""2930013""","ELL",77.1
