"Chronic Absenteeism, 2012-13"
", Grade"

"District","District Code","Grade","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Kindergarten","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   1","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   2","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   3","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   4",0.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   5","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   6","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   7",8.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   8","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   9","*"
"Amistad Academy District","=""2790013""","Kindergarten","*"
"Amistad Academy District","=""2790013""","Grade   1","*"
"Amistad Academy District","=""2790013""","Grade   2","*"
"Amistad Academy District","=""2790013""","Grade   3","*"
"Amistad Academy District","=""2790013""","Grade   4",0.0
"Amistad Academy District","=""2790013""","Grade   5","*"
"Amistad Academy District","=""2790013""","Grade   6","*"
"Amistad Academy District","=""2790013""","Grade   7","*"
"Amistad Academy District","=""2790013""","Grade   8","*"
"Amistad Academy District","=""2790013""","Grade   9","*"
"Amistad Academy District","=""2790013""","Grade 10","*"
"Amistad Academy District","=""2790013""","Grade 11","*"
"Amistad Academy District","=""2790013""","Grade 12",0.0
"Andover School District","=""0010011""","Kindergarten","*"
"Andover School District","=""0010011""","Grade   1","*"
"Andover School District","=""0010011""","Grade   2","*"
"Andover School District","=""0010011""","Grade   3","*"
"Andover School District","=""0010011""","Grade   4","*"
"Andover School District","=""0010011""","Grade   5","*"
"Andover School District","=""0010011""","Grade   6","*"
"Ansonia School District","=""0020011""","Kindergarten",18.8
"Ansonia School District","=""0020011""","Grade   1",13.5
"Ansonia School District","=""0020011""","Grade   2",10.2
"Ansonia School District","=""0020011""","Grade   3",6.0
"Ansonia School District","=""0020011""","Grade   4",11.9
"Ansonia School District","=""0020011""","Grade   5",8.3
"Ansonia School District","=""0020011""","Grade   6",13.7
