"Chronic Absenteeism, 2012-13"
", All Students"

"District","District Code","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""",3.4
"Amistad Academy District","=""2790013""",2.6
"Andover School District","=""0010011""",3.8
"Ansonia School District","=""0020011""",14.3
"Area Cooperative Educational Services","=""2440014""",19.5
"Ashford School District","=""0030011""",7.2
"Avon School District","=""0040011""",5.0
"Barkhamsted School District","=""0050011""",4.0
"Berlin School District","=""0070011""",5.7
"Bethany School District","=""0080011""",5.6
"Bethel School District","=""0090011""",6.8
"Bloomfield School District","=""0110011""",7.9
"Bolton School District","=""0120011""",3.8
"Bozrah School District","=""0130011""",8.4
"Branford School District","=""0140011""",7.9
"Bridgeport Achievement First District","=""2850013""",2.5
"Bridgeport School District","=""0150011""",25.1
"Bristol School District","=""0170011""",10.2
"Brookfield School District","=""0180011""",1.9
"Brooklyn School District","=""0190011""",6.9
"Canaan School District","=""0210011""","*"
"Canterbury School District","=""0220011""",6.4
"Canton School District","=""0230011""",4.7
"Capitol Region Education Council","=""2410014""",14.3
"Chaplin School District","=""0240011""",8.3
"Cheshire School District","=""0250011""",4.1
"Chester School District","=""0260011""",9.2
"Clinton School District","=""0270011""",7.8
"Colchester School District","=""0280011""",6.1
"Colebrook School District","=""0290011""","*"
"Columbia School District","=""0300011""",4.1
"Common Ground High School District","=""2680013""",14.5
"Connecticut Technical High School System","=""9000016""",12.1
"Cooperative Educational Services","=""2430014""",18.5
"Cornwall School District","=""0310011""","*"
"Coventry School District","=""0320011""",6.9
"Cromwell School District","=""0330011""",4.6
"Danbury School District","=""0340011""",11.0
"Darien School District","=""0350011""",3.6
"Deep River School District","=""0360011""",3.4
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Derby School District","=""0370011""",14.3
"East Granby School District","=""0400011""",7.0
"East Haddam School District","=""0410011""",7.6
"East Hampton School District","=""0420011""",5.9
"East Hartford School District","=""0430011""",19.0
"East Haven School District","=""0440011""",16.1
"East Lyme School District","=""0450011""",4.9
"East Windsor School District","=""0470011""",10.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",70.2
"Eastford School District","=""0390011""",5.9
"Easton School District","=""0460011""",3.2
"Education Connection","=""2420014""","*"
"Ellington School District","=""0480011""",5.7
"Elm City College Preparatory School District","=""2890013""",3.5
"Enfield School District","=""0490011""",11.4
"Essex School District","=""0500011""",2.1
"Explorations District","=""2720013""",39.5
"Fairfield School District","=""0510011""",3.4
"Farmington School District","=""0520011""",6.9
"Franklin School District","=""0530011""",8.3
"Glastonbury School District","=""0540011""",3.3
"Granby School District","=""0560011""",4.7
"Greenwich School District","=""0570011""",8.0
"Griswold School District","=""0580011""",10.6
"Groton School District","=""0590011""",12.4
"Guilford School District","=""0600011""",7.0
"Hamden School District","=""0620011""",15.1
"Hampton School District","=""0630011""","*"
"Hartford School District","=""0640011""",24.9
"Hartland School District","=""0650011""",5.6
"Hebron School District","=""0670011""",3.5
"Highville Charter School District","=""2860013""",5.7
"Integrated Day Charter School District","=""2640013""",7.6
"Interdistrict School for Arts and Comm District","=""2650013""",9.7
"Jumoke Academy District","=""2610013""",6.1
"Kent School District","=""0680011""",4.2
"Killingly School District","=""0690011""",16.2
"Learn","=""2450014""",31.7
"Lebanon School District","=""0710011""",12.8
"Ledyard School District","=""0720011""",8.4
"Lisbon School District","=""0730011""",7.8
"Litchfield School District","=""0740011""",7.9
"Madison School District","=""0760011""",3.6
"Manchester School District","=""0770011""",13.3
"Mansfield School District","=""0780011""",6.0
"Marlborough School District","=""0790011""",3.6
"Meriden School District","=""0800011""",16.2
"Middletown School District","=""0830011""",11.2
"Milford School District","=""0840011""",12.8
"Monroe School District","=""0850011""",6.1
"Montville School District","=""0860011""",6.9
"Naugatuck School District","=""0880011""",13.9
"New Beginnings Inc., Family Academy District","=""2800013""",9.3
"New Britain School District","=""0890011""",24.6
"New Canaan School District","=""0900011""",4.3
"New Fairfield School District","=""0910011""",6.0
"New Hartford School District","=""0920011""",4.4
"New Haven School District","=""0930011""",16.1
"New London School District","=""0950011""",19.6
"New Milford School District","=""0960011""",9.5
"Newington School District","=""0940011""",3.6
"Newtown School District","=""0970011""",5.0
"Norfolk School District","=""0980011""",12.3
"North Branford School District","=""0990011""",14.5
"North Canaan School District","=""1000011""",14.8
"North Haven School District","=""1010011""",9.9
"North Stonington School District","=""1020011""",11.3
"Norwalk School District","=""1030011""",11.6
"Norwich Free Academy District","=""9010022""",11.5
"Norwich School District","=""1040011""",13.5
"Odyssey Community School District","=""2630013""",9.4
"Old Saybrook School District","=""1060011""",16.2
"Orange School District","=""1070011""",4.6
"Oxford School District","=""1080011""",8.1
"Park City Prep Charter School District","=""2830013""",4.9
