"Chronic Absenteeism, 2013-14"
", All Students"

"District","District Code","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""",6.1
"Amistad Academy District","=""2790013""",3.5
"Andover School District","=""0010011""","*"
"Ansonia School District","=""0020011""",11.3
"Area Cooperative Educational Services","=""2440014""",21.7
"Ashford School District","=""0030011""",7.8
"Avon School District","=""0040011""",4.9
"Barkhamsted School District","=""0050011""",3.5
"Berlin School District","=""0070011""",4.9
"Bethany School District","=""0080011""",4.9
"Bethel School District","=""0090011""",7.3
"Bloomfield School District","=""0110011""",7.7
"Bolton School District","=""0120011""",5.2
"Bozrah School District","=""0130011""",7.3
"Branford School District","=""0140011""",8.7
"Brass City Charter School District","=""2900013""",12.3
"Bridgeport Achievement First District","=""2850013""",2.9
"Bridgeport School District","=""0150011""",21.2
"Bristol School District","=""0170011""",11.8
"Brookfield School District","=""0180011""",4.1
"Brooklyn School District","=""0190011""",4.2
"Canaan School District","=""0210011""",10.1
"Canterbury School District","=""0220011""",4.8
"Canton School District","=""0230011""",9.1
"Capitol Region Education Council","=""2410014""",13.7
"Chaplin School District","=""0240011""",8.6
"Cheshire School District","=""0250011""",5.1
"Chester School District","=""0260011""",3.2
"Clinton School District","=""0270011""",6.9
"Colchester School District","=""0280011""",5.2
"Colebrook School District","=""0290011""","*"
"Columbia School District","=""0300011""","*"
"Common Ground High School District","=""2680013""",16.6
"Connecticut Technical High School System","=""9000016""",12.9
"Cooperative Educational Services","=""2430014""",15.8
"Cornwall School District","=""0310011""","*"
"Coventry School District","=""0320011""",5.4
"Cromwell School District","=""0330011""",5.5
"Danbury School District","=""0340011""",6.1
"Darien School District","=""0350011""",3.6
"Deep River School District","=""0360011""",2.2
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Derby School District","=""0370011""",16.3
"East Granby School District","=""0400011""",5.6
"East Haddam School District","=""0410011""",6.7
"East Hampton School District","=""0420011""",7.0
"East Hartford School District","=""0430011""",12.9
"East Haven School District","=""0440011""",12.3
"East Lyme School District","=""0450011""",5.2
"East Windsor School District","=""0470011""",10.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",13.4
"Eastford School District","=""0390011""",5.2
"Easton School District","=""0460011""",2.3
"Education Connection","=""2420014""","*"
"Ellington School District","=""0480011""",3.8
"Elm City College Preparatory School District","=""2890013""",4.6
"Enfield School District","=""0490011""",12.0
"Essex School District","=""0500011""",2.4
"Explorations District","=""2720013""",29.1
"Fairfield School District","=""0510011""",3.6
"Farmington School District","=""0520011""",6.4
"Franklin School District","=""0530011""","*"
"Glastonbury School District","=""0540011""",2.8
"Granby School District","=""0560011""",5.0
"Greenwich School District","=""0570011""",4.7
"Griswold School District","=""0580011""",10.6
"Groton School District","=""0590011""",11.8
"Guilford School District","=""0600011""",5.9
"Hamden School District","=""0620011""",14.4
"Hampton School District","=""0630011""","*"
"Hartford School District","=""0640011""",26.6
"Hartland School District","=""0650011""",5.1
"Hebron School District","=""0670011""",2.1
"Highville Charter School District","=""2860013""",2.9
"Integrated Day Charter School District","=""2640013""",6.1
"Interdistrict School for Arts and Comm District","=""2650013""",11.2
"Jumoke Academy District","=""2610013""",6.2
"Kent School District","=""0680011""",2.7
"Killingly School District","=""0690011""",12.8
"Learn","=""2450014""",16.2
"Lebanon School District","=""0710011""",7.7
"Ledyard School District","=""0720011""",5.6
"Lisbon School District","=""0730011""",4.5
"Litchfield School District","=""0740011""",7.4
"Madison School District","=""0760011""",2.3
"Manchester School District","=""0770011""",12.4
"Mansfield School District","=""0780011""",4.1
"Marlborough School District","=""0790011""",2.0
"Meriden School District","=""0800011""",15.4
"Middletown School District","=""0830011""",10.1
"Milford School District","=""0840011""",10.7
"Monroe School District","=""0850011""",3.9
"Montville School District","=""0860011""",7.0
"Naugatuck School District","=""0880011""",13.6
"New Beginnings Inc., Family Academy District","=""2800013""",9.8
