"Chronic Absenteeism, 2011-12"
", Free/Reduced Price Meal Eligibility"

"District","District Code","Free/Reduced Price Meal Eligibility","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Eligible For Free Lunch",8.1
"Amistad Academy District","=""2790013""","Eligible For Free Lunch",3.0
"Amistad Academy District","=""2790013""","Eligible For Reduced Lunch","*"
"Amistad Academy District","=""2790013""","Not Eligible For Lunch","*"
"Andover School District","=""0010011""","Eligible For Free Lunch","*"
"Andover School District","=""0010011""","Eligible For Reduced Lunch","*"
"Andover School District","=""0010011""","Not Eligible For Lunch",0.0
"Ansonia School District","=""0020011""","Eligible For Free Lunch",16.2
"Ansonia School District","=""0020011""","Eligible For Reduced Lunch",9.0
"Ansonia School District","=""0020011""","Not Eligible For Lunch",7.1
"Area Cooperative Educational Services","=""2440014""","Eligible For Free Lunch",26.7
"Area Cooperative Educational Services","=""2440014""","Eligible For Reduced Lunch",14.6
"Area Cooperative Educational Services","=""2440014""","Not Eligible For Lunch",10.7
"Ashford School District","=""0030011""","Eligible For Free Lunch",12.5
"Ashford School District","=""0030011""","Eligible For Reduced Lunch","*"
"Ashford School District","=""0030011""","Not Eligible For Lunch",7.7
"Avon School District","=""0040011""","Eligible For Free Lunch",14.8
"Avon School District","=""0040011""","Eligible For Reduced Lunch","*"
"Avon School District","=""0040011""","Not Eligible For Lunch",3.8
"Barkhamsted School District","=""0050011""","Eligible For Free Lunch","*"
"Barkhamsted School District","=""0050011""","Eligible For Reduced Lunch","*"
"Barkhamsted School District","=""0050011""","Not Eligible For Lunch",3.1
"Berlin School District","=""0070011""","Eligible For Free Lunch",21.2
"Berlin School District","=""0070011""","Eligible For Reduced Lunch","*"
"Berlin School District","=""0070011""","Not Eligible For Lunch",4.1
"Bethany School District","=""0080011""","Eligible For Free Lunch","*"
"Bethany School District","=""0080011""","Eligible For Reduced Lunch","*"
"Bethany School District","=""0080011""","Not Eligible For Lunch",2.9
"Bethel School District","=""0090011""","Eligible For Free Lunch",15.7
"Bethel School District","=""0090011""","Eligible For Reduced Lunch",11.1
"Bethel School District","=""0090011""","Not Eligible For Lunch",4.4
"Bloomfield School District","=""0110011""","Eligible For Free Lunch",11.2
"Bloomfield School District","=""0110011""","Eligible For Reduced Lunch",8.1
"Bloomfield School District","=""0110011""","Not Eligible For Lunch",4.4
"Bolton School District","=""0120011""","Eligible For Free Lunch",13.3
"Bolton School District","=""0120011""","Eligible For Reduced Lunch","*"
"Bolton School District","=""0120011""","Not Eligible For Lunch",1.4
"Bozrah School District","=""0130011""","Eligible For Free Lunch","*"
"Bozrah School District","=""0130011""","Eligible For Reduced Lunch","*"
"Bozrah School District","=""0130011""","Not Eligible For Lunch",5.1
"Branford School District","=""0140011""","Eligible For Free Lunch",13.0
"Branford School District","=""0140011""","Eligible For Reduced Lunch",7.0
"Branford School District","=""0140011""","Not Eligible For Lunch",6.3
"Bridgeport Achievement First District","=""2850013""","Eligible For Free Lunch","*"
"Bridgeport Achievement First District","=""2850013""","Eligible For Reduced Lunch",0.0
"Bridgeport Achievement First District","=""2850013""","Not Eligible For Lunch","*"
"Bridgeport School District","=""0150011""","Eligible For Free Lunch",19.7
"Bridgeport School District","=""0150011""","Eligible For Reduced Lunch",19.6
"Bridgeport School District","=""0150011""","Not Eligible For Lunch",10.1
"Bristol School District","=""0170011""","Eligible For Free Lunch",22.2
"Bristol School District","=""0170011""","Eligible For Reduced Lunch",10.5
"Bristol School District","=""0170011""","Not Eligible For Lunch",5.5
"Brookfield School District","=""0180011""","Eligible For Free Lunch",9.1
"Brookfield School District","=""0180011""","Eligible For Reduced Lunch","*"
"Brookfield School District","=""0180011""","Not Eligible For Lunch",4.5
"Brooklyn School District","=""0190011""","Eligible For Free Lunch",15.6
