"Chronic Absenteeism, 2011-12"
", All Students"

"District","District Code","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""",8.1
"Amistad Academy District","=""2790013""",2.6
"Andover School District","=""0010011""","*"
"Ansonia School District","=""0020011""",12.2
"Area Cooperative Educational Services","=""2440014""",18.5
"Ashford School District","=""0030011""",9.5
"Avon School District","=""0040011""",4.3
"Barkhamsted School District","=""0050011""",3.2
"Berlin School District","=""0070011""",5.8
"Bethany School District","=""0080011""",3.1
"Bethel School District","=""0090011""",6.1
"Bloomfield School District","=""0110011""",7.5
"Bolton School District","=""0120011""",2.6
"Bozrah School District","=""0130011""",5.3
"Branford School District","=""0140011""",7.4
"Bridgeport Achievement First District","=""2850013""",1.4
"Bridgeport School District","=""0150011""",19.6
"Bristol School District","=""0170011""",11.5
"Brookfield School District","=""0180011""",4.9
"Brooklyn School District","=""0190011""",7.0
"Canaan School District","=""0210011""",10.7
"Canterbury School District","=""0220011""",3.7
"Canton School District","=""0230011""",4.5
"Capitol Region Education Council","=""2410014""",14.4
"Chaplin School District","=""0240011""",9.6
"Cheshire School District","=""0250011""",5.4
"Chester School District","=""0260011""",6.1
"Clinton School District","=""0270011""",10.5
"Colchester School District","=""0280011""",2.5
"Colebrook School District","=""0290011""","*"
"Columbia School District","=""0300011""",7.4
"Common Ground High School District","=""2680013""",12.8
"Connecticut Technical High School System","=""9000016""",10.2
"Cooperative Educational Services","=""2430014""",17.0
"Cornwall School District","=""0310011""",5.7
"Coventry School District","=""0320011""",6.2
"Cromwell School District","=""0330011""",6.2
"Danbury School District","=""0340011""",12.5
"Darien School District","=""0350011""",4.1
"Deep River School District","=""0360011""",5.6
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Derby School District","=""0370011""",13.2
"East Granby School District","=""0400011""",5.2
"East Haddam School District","=""0410011""",7.8
"East Hampton School District","=""0420011""",5.9
"East Hartford School District","=""0430011""",9.8
"East Haven School District","=""0440011""",17.4
"East Lyme School District","=""0450011""",6.0
"East Windsor School District","=""0470011""",11.8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",20.1
"Eastford School District","=""0390011""",5.7
"Easton School District","=""0460011""",4.1
"Education Connection","=""2420014""","*"
"Ellington School District","=""0480011""",4.4
"Elm City College Preparatory School District","=""2890013""",1.6
"Enfield School District","=""0490011""",11.7
"Essex School District","=""0500011""",2.9
"Explorations District","=""2720013""",20.3
"Fairfield School District","=""0510011""",5.2
