"Chronic Absenteeism, Trend"
", Grade"

"",,,"% Chronically Absent",,,,
"District","District Code","Grade","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","Kindergarten","*","*","*",17.2,15.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   1",10.1,"*","*",8.3,6.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   2","*","*","*",12.3,"*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   3","*","*","*",8.9,7.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   4","*",0.0,"*",7.5,"*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   5",9.5,"*",6.9,10.2,19.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   6",6.7,"*",15.1,10.1,8.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   7",16.9,8.8,8.0,18.7,14.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   8",13.0,"*",10.1,16.9,13.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   9","N/A","*",0.0,"*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","N/A","N/A","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 11","N/A","N/A","N/A",0.0,"*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 12","N/A","N/A","N/A","N/A","*"
"Amistad Academy District","=""2790013""","Kindergarten",0.0,"*","*",7.6,"*"
"Amistad Academy District","=""2790013""","Grade   1","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Grade   2","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Grade   3",0.0,"*","*","*","*"
"Amistad Academy District","=""2790013""","Grade   4","*",0.0,"*",0.0,"*"
"Amistad Academy District","=""2790013""","Grade   5","*","*","*",10.0,7.4
"Amistad Academy District","=""2790013""","Grade   6","*","*","*",6.9,8.8
"Amistad Academy District","=""2790013""","Grade   7","*","*",0.0,"*",8.8
"Amistad Academy District","=""2790013""","Grade   8","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Grade   9","*","*","*","*",9.2
"Amistad Academy District","=""2790013""","Grade 10","*","*","*",13.2,"*"
"Amistad Academy District","=""2790013""","Grade 11",0.0,"*","*",0.0,"*"
"Amistad Academy District","=""2790013""","Grade 12","*",0.0,"*","*","*"
"Andover School District","=""0010011""","Kindergarten",0.0,"*","*",0.0,0.0
"Andover School District","=""0010011""","Grade   1",0.0,"*","*",0.0,0.0
"Andover School District","=""0010011""","Grade   2",0.0,"*",0.0,"*","*"
"Andover School District","=""0010011""","Grade   3","*","*",0.0,0.0,"*"
"Andover School District","=""0010011""","Grade   4",0.0,"*","*","*",0.0
