"Chronic Absenteeism, 2014-15"
", All Students"

"District","District Code","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""",10.6
"Amistad Academy District","=""2790013""",5.3
"Andover School District","=""0010011""","*"
"Ansonia School District","=""0020011""",16.3
"Area Cooperative Educational Services","=""2440014""",20.6
"Ashford School District","=""0030011""",6.8
"Avon School District","=""0040011""",3.0
"Barkhamsted School District","=""0050011""",2.0
"Berlin School District","=""0070011""",6.0
"Bethany School District","=""0080011""",5.0
"Bethel School District","=""0090011""",4.5
"Bloomfield School District","=""0110011""",9.0
"Bolton School District","=""0120011""",5.6
"Booker T. Washington Academy District","=""2950013""",30.4
"Bozrah School District","=""0130011""",3.2
"Branford School District","=""0140011""",9.2
"Brass City Charter School District","=""2900013""",10.5
"Bridgeport Achievement First District","=""2850013""",3.2
"Bridgeport School District","=""0150011""",19.0
"Bristol School District","=""0170011""",10.8
"Brookfield School District","=""0180011""",3.9
"Brooklyn School District","=""0190011""",5.5
"Canaan School District","=""0210011""","*"
"Canterbury School District","=""0220011""",3.8
"Canton School District","=""0230011""",9.2
"Capitol Region Education Council","=""2410014""",15.0
"Chaplin School District","=""0240011""",11.4
"Cheshire School District","=""0250011""",4.1
"Chester School District","=""0260011""","*"
"Clinton School District","=""0270011""",6.9
"Colchester School District","=""0280011""",3.9
"Colebrook School District","=""0290011""","*"
"Columbia School District","=""0300011""",5.2
"Common Ground High School District","=""2680013""",15.3
"Connecticut Technical High School System","=""9000016""",13.7
"Cooperative Educational Services","=""2430014""",18.9
"Cornwall School District","=""0310011""","*"
"Coventry School District","=""0320011""",6.9
"Cromwell School District","=""0330011""",3.0
"Danbury School District","=""0340011""",7.1
"Darien School District","=""0350011""",4.3
"Deep River School District","=""0360011""","*"
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Derby School District","=""0370011""",16.7
"East Granby School District","=""0400011""",7.1
"East Haddam School District","=""0410011""",6.8
"East Hampton School District","=""0420011""",7.5
"East Hartford School District","=""0430011""",16.1
"East Haven School District","=""0440011""",11.2
"East Lyme School District","=""0450011""",5.7
"East Windsor School District","=""0470011""",10.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",32.3
"Eastford School District","=""0390011""",5.8
"Easton School District","=""0460011""",2.5
