"Chronic Absenteeism, 2013-14"
", Grade"

"District","District Code","Grade","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Kindergarten","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   1","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   2","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   3","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   4","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   5",6.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   6",15.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   7",8.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   8",10.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   9",0.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","*"
"Amistad Academy District","=""2790013""","Kindergarten","*"
"Amistad Academy District","=""2790013""","Grade   1","*"
"Amistad Academy District","=""2790013""","Grade   2","*"
"Amistad Academy District","=""2790013""","Grade   3","*"
"Amistad Academy District","=""2790013""","Grade   4","*"
"Amistad Academy District","=""2790013""","Grade   5","*"
"Amistad Academy District","=""2790013""","Grade   6","*"
"Amistad Academy District","=""2790013""","Grade   7",0.0
"Amistad Academy District","=""2790013""","Grade   8","*"
"Amistad Academy District","=""2790013""","Grade   9","*"
"Amistad Academy District","=""2790013""","Grade 10","*"
"Amistad Academy District","=""2790013""","Grade 11","*"
"Amistad Academy District","=""2790013""","Grade 12","*"
"Andover School District","=""0010011""","Kindergarten","*"
"Andover School District","=""0010011""","Grade   1","*"
"Andover School District","=""0010011""","Grade   2",0.0
"Andover School District","=""0010011""","Grade   3",0.0
"Andover School District","=""0010011""","Grade   4","*"
"Andover School District","=""0010011""","Grade   5",0.0
"Andover School District","=""0010011""","Grade   6",0.0
"Ansonia School District","=""0020011""","Kindergarten",13.9
"Ansonia School District","=""0020011""","Grade   1",13.0
"Ansonia School District","=""0020011""","Grade   2",5.8
"Ansonia School District","=""0020011""","Grade   3",6.2
"Ansonia School District","=""0020011""","Grade   4",4.7
"Ansonia School District","=""0020011""","Grade   5",8.9
