"Chronic Absenteeism, 2014-15"
", Free/Reduced Price Meal Eligibility"

"District","District Code","Free/Reduced Price Meal Eligibility","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Eligible For Free Lunch",10.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Not Eligible For Lunch","*"
"Amistad Academy District","=""2790013""","Eligible For Free Lunch",6.7
"Amistad Academy District","=""2790013""","Not Eligible For Lunch","*"
"Amistad Academy District","=""2790013""","Eligible For Reduced Lunch","*"
"Andover School District","=""0010011""","Eligible For Free Lunch","*"
"Andover School District","=""0010011""","Not Eligible For Lunch","*"
"Andover School District","=""0010011""","Eligible For Reduced Lunch","*"
"Ansonia School District","=""0020011""","Eligible For Free Lunch",21.3
"Ansonia School District","=""0020011""","Not Eligible For Lunch",9.6
"Ansonia School District","=""0020011""","Eligible For Reduced Lunch",8.2
"Area Cooperative Educational Services","=""2440014""","Eligible For Free Lunch",30.3
"Area Cooperative Educational Services","=""2440014""","Not Eligible For Lunch",9.6
"Area Cooperative Educational Services","=""2440014""","Eligible For Reduced Lunch",13.7
"Ashford School District","=""0030011""","Eligible For Free Lunch",10.0
"Ashford School District","=""0030011""","Not Eligible For Lunch",5.5
"Ashford School District","=""0030011""","Eligible For Reduced Lunch","*"
"Avon School District","=""0040011""","Eligible For Free Lunch",10.5
"Avon School District","=""0040011""","Not Eligible For Lunch",2.7
"Avon School District","=""0040011""","Eligible For Reduced Lunch","*"
"Barkhamsted School District","=""0050011""","Eligible For Free Lunch","*"
"Barkhamsted School District","=""0050011""","Not Eligible For Lunch","*"
"Barkhamsted School District","=""0050011""","Eligible For Reduced Lunch","*"
"Berlin School District","=""0070011""","Eligible For Free Lunch",22.7
"Berlin School District","=""0070011""","Not Eligible For Lunch",3.6
"Berlin School District","=""0070011""","Eligible For Reduced Lunch","*"
"Bethany School District","=""0080011""","Eligible For Free Lunch","*"
"Bethany School District","=""0080011""","Not Eligible For Lunch",4.3
"Bethany School District","=""0080011""","Eligible For Reduced Lunch","*"
"Bethel School District","=""0090011""","Eligible For Free Lunch",10.5
"Bethel School District","=""0090011""","Not Eligible For Lunch",3.4
"Bethel School District","=""0090011""","Eligible For Reduced Lunch",5.0
"Bloomfield School District","=""0110011""","Eligible For Free Lunch",12.2
"Bloomfield School District","=""0110011""","Not Eligible For Lunch",6.4
"Bloomfield School District","=""0110011""","Eligible For Reduced Lunch",6.3
"Bolton School District","=""0120011""","Eligible For Free Lunch",25.6
"Bolton School District","=""0120011""","Not Eligible For Lunch",2.1
"Bolton School District","=""0120011""","Eligible For Reduced Lunch","*"
"Booker T. Washington Academy District","=""2950013""","Eligible For Free Lunch",31.9
"Booker T. Washington Academy District","=""2950013""","Not Eligible For Lunch","*"
"Booker T. Washington Academy District","=""2950013""","Eligible For Reduced Lunch","*"
"Bozrah School District","=""0130011""","Eligible For Free Lunch","*"
"Bozrah School District","=""0130011""","Not Eligible For Lunch","*"
"Bozrah School District","=""0130011""","Eligible For Reduced Lunch","*"
"Branford School District","=""0140011""","Eligible For Free Lunch",16.3
"Branford School District","=""0140011""","Not Eligible For Lunch",7.5
"Branford School District","=""0140011""","Eligible For Reduced Lunch",7.8
"Brass City Charter School District","=""2900013""","Eligible For Free Lunch",18.0
"Brass City Charter School District","=""2900013""","Not Eligible For Lunch",0.0
"Brass City Charter School District","=""2900013""","Eligible For Reduced Lunch","*"
"Bridgeport Achievement First District","=""2850013""","Eligible For Free Lunch",4.1
"Bridgeport Achievement First District","=""2850013""","Not Eligible For Lunch","*"
"Bridgeport Achievement First District","=""2850013""","Eligible For Reduced Lunch","*"
"Bridgeport School District","=""0150011""","Eligible For Free Lunch",19.0
"Bridgeport School District","=""0150011""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Eligible For Free Lunch",19.3
"Bristol School District","=""0170011""","Not Eligible For Lunch",4.7
"Bristol School District","=""0170011""","Eligible For Reduced Lunch",9.5
"Brookfield School District","=""0180011""","Eligible For Free Lunch",6.8
"Brookfield School District","=""0180011""","Not Eligible For Lunch",3.5
"Brookfield School District","=""0180011""","Eligible For Reduced Lunch",13.6
"Brooklyn School District","=""0190011""","Eligible For Free Lunch",14.8
"Brooklyn School District","=""0190011""","Not Eligible For Lunch",2.2
"Brooklyn School District","=""0190011""","Eligible For Reduced Lunch","*"
"Canaan School District","=""0210011""","Eligible For Free Lunch","*"
"Canaan School District","=""0210011""","Not Eligible For Lunch","*"
"Canterbury School District","=""0220011""","Eligible For Free Lunch","*"
"Canterbury School District","=""0220011""","Not Eligible For Lunch",3.1
"Canterbury School District","=""0220011""","Eligible For Reduced Lunch","*"
"Canton School District","=""0230011""","Eligible For Free Lunch",25.2
"Canton School District","=""0230011""","Not Eligible For Lunch",7.7
"Canton School District","=""0230011""","Eligible For Reduced Lunch","*"
"Capitol Region Education Council","=""2410014""","Eligible For Free Lunch",23.8
"Capitol Region Education Council","=""2410014""","Not Eligible For Lunch",8.4
"Capitol Region Education Council","=""2410014""","Eligible For Reduced Lunch",9.7
"Chaplin School District","=""0240011""","Eligible For Free Lunch","*"
"Chaplin School District","=""0240011""","Not Eligible For Lunch",13.8
"Chaplin School District","=""0240011""","Eligible For Reduced Lunch","*"
"Cheshire School District","=""0250011""","Eligible For Free Lunch",12.3
"Cheshire School District","=""0250011""","Not Eligible For Lunch",3.4
"Cheshire School District","=""0250011""","Eligible For Reduced Lunch",7.7
"Chester School District","=""0260011""","Eligible For Free Lunch","*"
"Chester School District","=""0260011""","Not Eligible For Lunch","*"
"Chester School District","=""0260011""","Eligible For Reduced Lunch","*"
"Clinton School District","=""0270011""","Eligible For Free Lunch",13.6
"Clinton School District","=""0270011""","Not Eligible For Lunch",5.0
"Clinton School District","=""0270011""","Eligible For Reduced Lunch",12.6
"Colchester School District","=""0280011""","Eligible For Free Lunch",10.3
"Colchester School District","=""0280011""","Not Eligible For Lunch",2.6
"Colchester School District","=""0280011""","Eligible For Reduced Lunch",9.1
"Colebrook School District","=""0290011""","Eligible For Free Lunch",0.0
"Colebrook School District","=""0290011""","Not Eligible For Lunch","*"
"Colebrook School District","=""0290011""","Eligible For Reduced Lunch","*"
"Columbia School District","=""0300011""","Eligible For Free Lunch",9.1
"Columbia School District","=""0300011""","Not Eligible For Lunch",4.7
"Columbia School District","=""0300011""","Eligible For Reduced Lunch","*"
"Common Ground High School District","=""2680013""","Eligible For Free Lunch",25.7
"Common Ground High School District","=""2680013""","Not Eligible For Lunch","*"
"Common Ground High School District","=""2680013""","Eligible For Reduced Lunch","*"
"Connecticut Technical High School System","=""9000016""","Eligible For Free Lunch",18.9
"Connecticut Technical High School System","=""9000016""","Not Eligible For Lunch",9.6
"Connecticut Technical High School System","=""9000016""","Eligible For Reduced Lunch",10.0
"Cooperative Educational Services","=""2430014""","Eligible For Free Lunch",29.3
"Cooperative Educational Services","=""2430014""","Not Eligible For Lunch",15.3
"Cooperative Educational Services","=""2430014""","Eligible For Reduced Lunch",18.3
"Cornwall School District","=""0310011""","Eligible For Free Lunch","*"
"Cornwall School District","=""0310011""","Not Eligible For Lunch",0.0
"Coventry School District","=""0320011""","Eligible For Free Lunch",15.1
"Coventry School District","=""0320011""","Not Eligible For Lunch",4.9
"Coventry School District","=""0320011""","Eligible For Reduced Lunch","*"
"Cromwell School District","=""0330011""","Eligible For Free Lunch",9.3
"Cromwell School District","=""0330011""","Not Eligible For Lunch",1.8
"Cromwell School District","=""0330011""","Eligible For Reduced Lunch","*"
"Danbury School District","=""0340011""","Eligible For Free Lunch",9.8
"Danbury School District","=""0340011""","Not Eligible For Lunch",5.1
"Danbury School District","=""0340011""","Eligible For Reduced Lunch",4.7
"Darien School District","=""0350011""","Eligible For Free Lunch",10.4
"Darien School District","=""0350011""","Not Eligible For Lunch",4.2
"Darien School District","=""0350011""","Eligible For Reduced Lunch","*"
