"Overall Expenditures, 2014-15"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
"District","Instructional Staff and Services","Instructional Supplies and Equipment","Improvement of Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Maintenance","Transportation","Students Tuitioned Out","Other","Total Expenditures"
"Achievement First Hartford Academy Inc. District",6863137,646646,310629,1086042,3699477,83095,98398,N/A,17440,12804864
="Amistad Academy District",6249225,355875,466714,1218680,2523973,512598,191428,N/A,590732,12109225
="Andover School District",2712516,122533,84239,157766,615105,489907,192339,67287,0,4441692
="Ansonia School District",18603903,523762,517593,1523838,3968787,2915289,2239547,4120043,601798,35014560
="Ashford School District",4435066,414340,74245,270144,913197,637922,443685,349950,63305,7601854
="Avon School District",30874408,1015549,1077534,3666632,6175923,4535271,2518388,2681073,1064743,53609521
="Barkhamsted School District",2609535,43321,192124,58613,494930,437061,295868,105726,3387,4240565
="Berlin School District",23529251,981028,1754985,4781649,4710563,5597824,2436676,2047913,1143775,46983664
="Bethany School District",4186145,276873,99900,170134,932341,999508,377227,0,0,7042128
="Bethel School District",25938730,754157,3350534,3449705,4624333,4004524,2472202,1660359,647712,46902256
="Bloomfield School District",23751262,804486,1398784,2986034,6899306,4868897,2819981,2755828,662231,46946809
="Bolton School District",7461584,247952,561255,999296,1916724,1435957,681494,761523,226062,14291847
="Booker T. Washington Academy District",641184,45879,29482,43249,526782,289187,9562,N/A,3599,1588924
="Bozrah School District",2402764,84254,43464,220633,430251,428716,344579,410486,13808,4378955
="Branford School District",30307538,1008278,2459872,3580773,5552487,4423188,2883326,2788469,1159209,54163140
="Brass City Charter School District",1021407,173053,20301,15575,499695,217096,2260,N/A,127140,2076527
="Bridgeport Achievement First District",6341480,452178,415007,700097,2707177,501297,250828,N/A,628968,11997032
="Bridgeport School District",162144284,8967320,7058028,19397789,37009609,26323634,18936887,22500905,902815,303241271
="Bristol School District",68362491,1183532,4405968,7777416,8166191,10264291,7576708,8171193,2834104,118741894
="Brookfield School District",22456681,366561,1765400,2782338,5111627,2953124,2741352,1532862,893089,40603034
="Brooklyn School District",7167793,208280,273871,968217,1006758,1327075,1092625,827458,38575,12910652
="Canaan School District",1304305,32325,74068,108025,301203,230401,147334,213,12044,2209918
="Canterbury School District",5105965,89658,111329,475097,860861,1205970,693789,934437,32720,9509826
="Canton School District",13031307,673720,556324,3371545,2745072,2423143,1538154,1078069,1130792,26548126
="Chaplin School District",2200277,43362,119975,309321,372477,330222,234851,109764,11411,3731660
="Cheshire School District",39852145,1066157,2675819,4010271,6433172,6257467,3842473,2572438,996664,67706606
="Chester School District",2198570,92984,43755,630994,594894,450277,135625,18562,63651,4229312
="Clinton School District",20567558,383589,658692,1969879,2973562,2700041,1631019,1167803,135755,32187898
="Colchester School District",22337829,712307,824879,3108239,4512440,4215815,2685566,2377942,459684,41234701
="Colebrook School District",1167919,20834,21184,39646,298222,209951,120039,73993,9522,1961310
="Columbia School District",3865952,138362,105628,1755124,745332,1298982,721634,780351,364239,9775604
="Common Ground High School District",1196809,43311,520669,177205,575090,162405,7064,N/A,261001,2943554
="Cornwall School District",1874316,46740,90553,115846,388651,330758,302468,0,864,3150196
="Coventry School District",16545638,524040,354123,1564300,2781800,2611111,1800855,1595360,22414,27799641
="Cromwell School District",17456090,511914,328605,1430333,3031807,2744404,1267251,1956330,412617,29139351
="Danbury School District",91588394,3824445,2197302,6358806,13564212,11242822,8184167,3211984,930842,141102974
="Darien School District",57451592,1978876,4394289,2703413,7753042,8641749,3611913,5345658,1347101,93227633
="Deep River School District",2958721,66302,82283,792802,678091,546632,248049,330718,84663,5788261
="Derby School District",12325703,996048,13015,1898971,2618673,6163751,937630,1731040,214156,26898987
="East Granby School District",8583773,586829,903314,851489,1870662,1670948,801507,1147267,200248,16616037
="East Haddam School District",11106304,597609,418489,1132936,2222262,2687139,1317535,1433103,5634,20921011
="East Hampton School District",17699379,376705,883460,1797623,3562201,2474290,1370868,1028873,13877,29207276
="East Hartford School District",63674064,1820920,2596984,9459086,13751718,12356008,5380501,7083838,80975,116204094
="East Haven School District",27927427,1060741,741007,4283497,6143785,3938789,2921473,4646307,1019165,52682191
="East Lyme School District",26315189,269419,1749190,2517067,4152577,5612363,1778900,915388,1140401,44450494
="East Windsor School District",11824109,281555,568563,1740791,3515430,1316519,1481513,2024569,168120,22921169
="Eastford School District",1689673,33545,97407,276063,403327,290504,240434,80638,0,3111591
