"Overall Expenditures, 2013-14"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
"District","Instructional Staff and Services","Instructional Supplies and Equipment","Improvement of Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Maintenance","Transportation","Students Tuitioned Out","Other","Total Expenditures"
"Achievement First Hartford Academy Inc. District",6717091,638398,167419,162108,2638821,83107,44960,N/A,31346,10483250
="Amistad Academy District",6610454,339082,408911,822835,3035797,451599,114853,N/A,521168,12304699
="Andover School District",2740679,104999,82287,163260,664002,452540,259261,221859,0,4688887
="Ansonia School District",17277476,1681633,557803,1137741,3921772,2815904,1877652,3656009,688317,33614307
="Ashford School District",4502683,305786,63764,259379,877580,744651,440977,225216,34032,7454068
="Avon School District",30147184,812467,874568,3608843,5417351,4708992,2618100,2348859,814054,51350418
="Barkhamsted School District",2530127,72868,197217,53743,462787,425058,270010,128148,444,4140402
="Berlin School District",23332208,1570577,1263609,5111618,4587408,5834822,2328866,1840108,990866,46860082
="Bethany School District",4157960,316971,90469,176813,784969,950367,340764,41058,0,6859371
="Bethel School District",25965355,563467,3342847,3279412,4289083,3824551,2347409,1368935,629612,45610671
="Bloomfield School District",22949787,1560460,1919984,3081262,6519565,5077775,2588202,1958550,573188,46228773
="Bolton School District",7587194,409448,467324,971717,1701456,1157061,701835,852819,235383,14084237
="Bozrah School District",2518670,161374,36126,209614,437135,407083,340958,334454,0,4445414
="Branford School District",29900579,1182496,2326136,3366533,5088951,4854542,2995782,3119879,1145750,53980648
="Brass City Charter School District",541267,121923,23508,14700,327378,156639,930,N/A,114490,1300835
="Bridgeport Achievement First District",5654792,493589,279019,958828,2622743,401299,140326,N/A,558214,11108810
="Bridgeport School District",176667378,11700133,4021582,18452380,27424935,25293527,17488407,18681764,1043995,300774101
="Bristol School District",65587827,1357724,4036685,7375529,8161594,9903795,7188103,7759348,2937399,114308004
="Brookfield School District",24302352,593402,2064501,2681944,4495614,2869625,2280216,621580,704182,40613416
="Brooklyn School District",7333678,157896,226417,828345,958303,1208156,1156918,1087695,0,12957408
="Canaan School District",1280526,43514,38969,104947,281735,259451,133412,0,12470,2155024
="Canterbury School District",4918129,127908,74424,499530,848716,1109296,881614,932481,33628,9425726
="Canton School District",12900895,745548,583553,3230116,2775050,2253655,1593443,970634,917995,25970889
="Chaplin School District",2136076,99932,144126,300573,338661,286283,222557,53404,13950,3595562
="Cheshire School District",37531994,1560098,2595062,3973568,6212393,6321792,4011422,2206890,978440,65391659
="Chester School District",2250518,128058,38305,607721,632018,482286,137236,9638,42252,4328032
="Clinton School District",19305103,1123223,655042,1996232,2955956,2398036,1583925,1167803,158542,31343862
="Colchester School District",22649592,1053227,854751,3247524,4254650,3729473,2596093,2116885,480605,40982800
="Colebrook School District",1090568,19166,16266,39215,301065,203833,104103,73676,14198,1862090
="Columbia School District",3899036,162980,103487,1709755,785318,1306369,709958,760285,377509,9814697
="Common Ground High School District",1042985,52095,384981,264650,558692,141142,6391,N/A,248654,2699590
="Cornwall School District",1743544,58829,73219,134017,384278,315144,278999,0,631,2988661
="Coventry School District",16033783,843173,409529,1616537,2646636,2605090,1833924,1895442,30670,27914784
="Cromwell School District",17708835,509826,305815,1432342,2796893,2758228,1283452,1166777,388311,28350479
="Danbury School District",89557803,3548092,1999964,6931540,13096581,11017169,9132280,2635389,973908,138892726
="Darien School District",54074579,1633149,4436186,2768100,7908795,8499653,3422126,4422887,1332952,88498427
="Deep River School District",3080383,119988,75345,816381,708894,510778,277323,301163,21960,5912215
="Derby School District",11805695,529869,88946,1883730,2481459,2133786,957798,1601203,245571,21728057
="East Granby School District",8196034,568585,910033,842316,1878144,1579102,637775,665852,261769,15539610
="East Haddam School District",11028326,297486,398205,1142671,2255550,2483880,1314415,1239255,8863,20168651
="East Hampton School District",16898928,424568,892504,1846030,3397490,2678600,1561493,1212881,19300,28931794
="East Hartford School District",66724188,2757991,1030725,6764058,11850547,11962005,5649050,6295689,99606,113133859
="East Haven School District",25804592,1146370,259256,4604718,6156429,3830487,2775217,6530767,968588,52076424
="East Lyme School District",25703720,502764,1895312,2452273,3967785,5964305,1747124,1121078,875344,44229705
="East Windsor School District",12183394,176000,411687,1673705,3141031,1540291,1586095,1034394,76608,21823205
="Eastford School District",1663594,67692,138030,286889,371202,271519,247541,54694,0,3101161
="Easton School District",10669578,296105,425228,201349,2111928,1565616,1119097,275077,30,16664008
="Ellington School District",20595568,857475,1609598,2611165,2688934,3322270,1941802,1345591,443393,35415796
="Elm City College Preparatory School District",4100035,305199,257841,946719,2247901,362384,73809,N/A,413494,8707382
="Enfield School District",48535866,954661,1134708,1111376,10089270,7427724,4310074,4157838,1032693,78754210
="Essex School District",4436382,152833,85991,1009505,949940,683001,300915,247350,28757,7894674
="Explorations District",716408,9549,24223,65984,204759,207894,63595,N/A,6250,1298662
="Fairfield School District",88489633,1342890,9894093,11968582,17556461,16049264,8368377,6440182,2051300,162160782
="Farmington School District",38791387,1756146,3897251,4083724,4263235,5146136,3052298,2270156,207460,63467793
="Franklin School District",1611243,1746,21308,147890,374995,401090,321364,280490,7516,3167642
="Glastonbury School District",53450185,2591245,5167883,5635837,11288970,10291617,5351795,3890179,1300308,98968019
="Granby School District",15776568,835105,951397,2021106,2952726,3368594,1173925,1219975,627892,28927288
="Greenwich School District",123795353,3161850,4062061,12283827,16574532,14042393,5232144,4732224,0,183884384
="Griswold School District",14955992,160883,595780,735770,4115958,2799703,1691867,1457925,352641,26866519
="Groton School District",43728356,1154881,2058296,5249761,7215867,7320951,5218444,4957309,100000,77003865
="Guilford School District",31842450,1026090,1831344,3440345,5721128,5091838,3357953,3713829,788293,56813270
="Hamden School District",63288405,1369728,1499809,8104349,9726732,10804015,7374492,10385491,987190,113540211
="Hampton School District",1221077,52356,60869,240655,372458,216803,158110,9000,7589,2338917
="Hartford School District",194348611,11314153,9074801,30558051,53208272,38940865,25295126,55532756,206433,418479068
="Hartland School District",1893049,62271,221392,391289,426872,299264,229156,194000,621134,4338427
="Hebron School District",7710621,173960,523258,864130,1539505,1029534,516403,146268,0,12503679
="Highville Charter School District",2178576,114378,96447,67075,718818,753777,43673,N/A,322689,4295433
="Integrated Day Charter School District",2030781,104454,157502,172711,722651,395607,6937,N/A,152693,3743336
="Interdistrict School for Arts and Comm District",1844083,112213,280453,132315,698053,293991,6077,N/A,0,3367185
="Jumoke Academy District",3991265,340153,24675,883618,1258299,941390,735,N/A,1076,7441211
="Kent School District",3144482,143560,114317,337134,581739,549053,389771,182288,29794,5472138
="Killingly School District",21077602,615294,2307317,2146123,4035883,4288657,2255686,5576908,0,42303470
="Lebanon School District",10482140,502665,397331,591137,1774429,2562259,1299718,1701254,341954,19652887
="Ledyard School District",19963295,514194,952723,2178548,4354454,2894074,2581167,2298052,419045,36155552
="Lisbon School District",4014506,158615,46100,572039,630838,564540,647098,740219,12156,7386111
="Litchfield School District",9186243,200177,964004,1312302,1651773,1896620,1140301,872138,428995,17652553
="Madison School District",28322051,1299395,2124311,4023399,3894217,5328809,3460910,1811137,1326632,51590861
="Manchester School District",60999421,1640133,5945408,7397622,11900716,11221221,5178471,6724969,1546475,112554436
="Mansfield School District",13515463,816359,568343,1300370,2789744,1691488,935870,479199,81912,22178748
="Marlborough School District",4923856,171123,281844,132200,754037,727520,358363,36911,0,7385854
="Meriden School District",67239127,2565828,1016108,8141372,10506948,12720231,6428055,11271479,1002470,120891618
="Middletown School District",45793499,1011165,1431031,4368191,6177366,8951460,6653928,6282463,1338310,82007413
="Milford School District",72491397,3023819,2001561,3378782,11014021,11143512,4699076,4418368,2025851,114196387
="Monroe School District",30970059,474964,2618153,3533027,5507948,5428281,2569418,1847741,539479,53489070
="Montville School District",21880785,1058837,807310,2301221,3316696,4177237,2258996,1168182,576566,37545830
="Naugatuck School District",40980395,846342,745056,4365822,8397205,6434125,3371661,1576780,538411,67255797
="New Beginnings Inc., Family Academy District",3090736,245896,4696,340402,897239,507239,10000,N/A,359268,5455476
="New Britain School District",94751321,2022283,1219762,4295246,11934645,11767913,11776331,11982747,0,149750248
="New Canaan School District",42729911,1140848,2761772,8319839,9477707,7937765,4112240,2998867,1379240,80858189
="New Fairfield School District",22437901,979451,1128469,2841278,3900753,3355819,1653416,566151,564106,37427344
="New Hartford School District",5140668,140081,83498,336411,801144,965027,648900,176225,3865,8295819
