"Overall Expenditures, 2005-06"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
"District","Instructional Staff and Services","Instructional Supplies and Equipment","Improvement of Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Maintenance","Transportation","Students Tuitioned Out","Other","Total Expenditures"
"Amistad Academy District",1879830,257416,33859,529454,291786,223941,1315,N/A,20943,3238544
="Andover School District",2163852,219144,42294,110562,460568,351227,182191,52682,0,3582520
="Ansonia School District",14885275,869499,951296,1535497,2708810,2093081,1021874,1505543,172349,25743224
="Ashford School District",3844518,150898,51346,67120,537285,497695,365968,511230,42303,6068363
="Avon School District",21447006,735191,907629,2670999,2907510,3723340,1877766,1255852,761387,36286680
="Barkhamsted School District",2118658,63825,108998,44449,364670,278508,261466,154791,4528,3399893
="Berlin School District",18726225,758195,929527,2999013,3550485,4544210,1682780,771231,691153,34652819
="Bethany School District",3631806,156847,240011,54609,586080,562069,297494,18060,0,5546976
="Bethel School District",20706868,484057,2264102,2545466,3795266,3304213,1685693,1011281,284698,36081644
="Bloomfield School District",18375132,1259567,491606,2772727,5063962,3797206,1687658,2481777,429869,36359504
="Bolton School District",6494477,112365,496762,700321,1271220,897655,564092,412019,195463,11144374
="Bozrah School District",1787976,64488,12993,197467,346612,310421,284021,306405,24725,3335108
="Branford School District",23866111,1201078,1744395,2450455,3908291,3531083,2317361,2345195,749126,42113095
="Bridgeport School District",151989095,5509321,4838061,13265038,21453731,24391501,11668414,15960811,3484353,252560325
="Bristol School District",57023605,2088975,4116860,3693769,9059944,7988995,4418444,3560964,1444136,93395692
="Brookfield School District",18589584,560528,1780141,2413581,3738141,3134043,1587906,739649,697003,33240576
="Brooklyn School District",5724435,129222,148492,764012,868244,884604,933110,679532,54540,10186191
="Canaan School District",1185027,99703,2784,90381,234744,172133,127076,275,12831,1924954
="Canterbury School District",3970913,215880,70446,386400,775938,919692,697200,613038,16845,7666352
="Canton School District",10470691,482505,698508,1219050,2069866,2237806,1029239,412312,226373,18846350
="Chaplin School District",1755911,63337,62188,291225,340020,228210,169264,0,4485,2914640
="Cheshire School District",30843204,1229285,2014365,3204909,4829149,5175287,2954989,1383577,813464,52448229
="Chester School District",2170683,81807,37177,426408,485147,291700,97310,71731,9132,3671095
="Clinton School District",16646722,954302,663565,1651317,2176843,1861460,1318949,786248,66579,26125985
="Colchester School District",17397144,681334,899845,2387992,3225201,2345056,2125413,1519470,379391,30960846
="Colebrook School District",963691,19529,32336,33748,204170,179685,84509,55845,11558,1585071
="Columbia School District",3862700,151478,166602,1405977,661703,503211,659333,323418,48511,7782933
="Common Ground High School District",950910,30700,22315,95374,180683,101547,1790,N/A,83319,1466638
="Cornwall School District",1318476,48914,147124,118302,337642,244427,253817,275,0,2468977
="Coventry School District",12342767,446278,892172,1678824,1847921,1803532,1366853,780747,267486,21426580
="Cromwell School District",14016711,339070,294242,1001796,2729117,1840709,813671,502794,251803,21789913
="Danbury School District",67255275,2680675,4436439,5993388,9484455,8177499,5559072,1708502,735908,106031213
="Darien School District",37921635,1081869,1958887,1864511,5878384,5995833,2579950,718464,1121852,59121385
="Deep River School District",2356941,88262,48350,534065,586864,406293,109330,57063,0,4187168
="Derby School District",9140165,504389,281200,1092556,2462949,1181147,675617,1265584,225352,16828959
="East Granby School District",6325047,234494,481126,627475,1359605,968034,521088,274646,174307,10965822
="East Haddam School District",8719847,418643,370588,938576,1835850,2068555,953220,1015070,9688,16330037
="East Hampton School District",12262513,472179,592160,1334675,2333543,2279288,1482099,1691122,14699,22462278
="East Hartford School District",58039937,1238557,1206494,2966351,8948186,8627026,4173646,2517281,606669,88324147
="East Haven School District",23320590,854575,1235842,1608673,4995936,5240818,1987635,4196210,842128,44282407
="East Lyme School District",21192312,553468,1398196,1304969,3584718,4472133,1279513,1289829,720089,35795227
="East Windsor School District",9177065,322674,254438,781650,2040282,1433679,1022317,1133451,99700,16265256
="Eastford School District",1257947,76690,32379,172478,307664,203661,213141,209950,0,2473910
="Easton School District",8557549,192868,131156,141052,1471731,1137726,993858,170451,0,12796391
="Ellington School District",15900190,316554,644730,1023764,2048269,2949842,1437439,667119,339717,25327624
="Elm City College Preparatory School",1487932,314570,22213,141236,374452,109039,0,N/A,20349,2469791
="Enfield School District",41441042,807105,1456528,4811643,6571486,7433498,3111319,2248030,1351136,69231787
="Essex School District",3514055,164443,51678,663707,798225,483421,196064,780,2360,5874733
="Explorations District",338700,9483,23722,27032,157858,118237,25118,N/A,0,700150
="Fairfield School District",69231585,2633597,7746830,9347362,14048902,14443288,5631346,2218977,1537738,126839625
="Farmington School District",26741722,931519,1628100,3293813,4612952,4798818,2390282,1411765,844436,46653407
="Franklin School District",1576727,83582,10315,157123,375120,342293,252008,186131,868,2984167
="Glastonbury School District",39147327,1009744,3233291,3943963,7107843,8075874,3994348,3558925,1026711,71098026
="Granby School District",13348586,999141,781576,1441866,2332123,2399116,1043456,654270,411410,23411544
="Greenwich School District",92433423,3300900,2058400,8801509,12707612,16723460,4540797,3494809,274087,144334997
="Griswold School District",13145983,530502,355121,804986,2844692,2301389,1459981,725934,420321,22588909
="Groton School District",38808034,1812398,2601579,5620429,6539860,7645320,3892232,3051543,0,69971395
="Guilford School District",24118433,706517,921953,2518228,5556787,4148938,2510990,1552043,636185,42670074
="Hamden School District",49402463,1523216,483078,4741594,7749426,8941020,5151541,10690583,136123,88819044
="Hampton School District",1224954,99518,62781,185307,294544,155783,157103,28084,0,2208074
="Hartford School District",178964395,7669164,16123155,28502488,36341643,34202723,16366585,21022828,0,339192981
="Hartland School District",1408293,72487,113448,319130,345229,182367,239028,94915,110163,2885060
="Hebron School District",6797521,151663,384760,525725,882285,907680,491256,67469,0,10208359
="Highville Mustard Seed Charter School District",988953,49465,81012,395536,570151,441445,0,N/A,126125,2652687
="Integrated Day Charter School District",1505308,80797,278644,29561,403463,312491,3675,N/A,69443,2683382
="Interdistrict School for Arts and Comm District",825545,59304,21853,40649,321307,165494,1364,N/A,16558,1452074
="Jumoke Academy District",1212614,101864,115344,480072,664857,299704,0,N/A,181,2874636
="Kent School District",2397011,86368,88614,208046,418207,415276,273978,0,26921,3914421
="Killingly School District",18535782,776323,1411895,1748891,3790077,3255277,1618208,1808285,15325,32960063
="Lebanon School District",8077172,483732,445178,1046952,1748143,1640741,885574,512994,175248,15015734
="Ledyard School District",18909607,714987,547567,1898497,3862425,2661388,1827574,1113310,417346,31952701
="Lisbon School District",4305739,150291,1575,89355,332984,700376,592004,212399,47435,6432158
="Litchfield School District",8502912,298911,812915,1307961,1403785,1298352,817329,367038,254236,15063439
="Madison School District",21494850,952372,1355368,2530860,3165781,4167856,2480657,1912345,946193,39006282
="Manchester School District",50595648,1151858,2093984,5903778,8929238,9828304,3363759,5498245,1209828,88574642
="Mansfield School District",11975834,442212,602739,1146939,2287937,1788634,878563,463786,77441,19664085
="Marlborough School District",4328835,175213,211769,156384,723333,572640,318734,89596,0,6576504
="Meriden School District",58433335,1952541,1408180,7562710,10981593,10941416,4357287,10151959,680693,106469714
="Middletown School District",37682085,1179818,1237608,2923677,5091596,6526097,5123587,3430420,1072618,64267506
="Milford School District",58333388,3081269,1742824,2731146,7762441,9399845,2649499,2294940,1273649,89269001
="Monroe School District",26786660,583472,796837,3012028,4189386,4930743,2139805,1129597,450172,44018700
="Montville School District",20003431,1201244,818333,1971196,2841675,3225689,1909078,654686,435879,33061211
="Naugatuck School District",37007625,986142,463482,2976822,4428939,4830706,2385765,1197390,747617,55024488
="New Beginnings Inc., Family Academy District",1519305,125082,173058,292978,575413,161680,51362,N/A,121548,3020426
="New Britain School District",78180576,3039277,3574110,4085819,9799966,9924331,8901616,7941136,263695,125710526
="New Canaan School District",32252665,704136,1304660,5186807,8925015,7384172,3286341,1417433,971994,61433223
="New Fairfield School District",18891445,673682,464384,2312374,3017061,2853296,1269396,590759,329335,30401732
